AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.22361
AGID00111	913	sc-23957	Old	1433EPSILON	0.052599
AGID00101	883	sc-1019	Old	1433ZETA	-0.55112
AGID00001	2	9452	Old	4EBP1	0.41203
AGID00002	3	9456	Old	4EBP1_pS65	-0.46722
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.56973
AGID00443	8	9455	Old	4EBP1_pT70	-0.017042
AGID00120	985	4937	Old	53BP1	-0.11232
AGID00004	13	3661	Old	ACC_pS79	0.011693
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.23088
AGID00408	2372	3658	Set179	AceCS1	2.318544
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.3697
AGID00404	2367	9189	Set179	ACSL1	-0.8328562
AGID02144	2450	PA5-27081	Old	ACVRL1	0.11746
AGID00186	1198	ab88574	Old	ADAR1	-0.0028539
AGID00146	1084	4691	Old	AKT	-0.72223
AGID00028	230	9271	Old	AKT_pS473	-0.34684
AGID00170	1154	2965	Old	AKT_pT308	-0.71693
AGID00316	1800	3063	Set179	Akt2	-0.6078771
AGID00347	2009	8599	Set179	Akt2_pS474	-0.217641
AGID02215	2577	ab195377	Set179	ALKBH5	0.3963935
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.1008337
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.2024682
AGID00006	39	2532	Old	AMPKALPHA	0.085386
AGID00007	40	2535	Old	AMPKALPHA_pT172	1.2858
AGID00193	1208	610066	Old	ANNEXIN1	-0.071167
AGID00166	1142	610668	Old	ANNEXINVII	0.22528
AGID00371	756	1852-1/ab52615	Old	AR	-1.3138
AGID00194	1217	4432	Old	ARAF	0.42979
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.25179
AGID00260	1053	sc-32761	Old	ARID1A	0.11906
AGID00264	1560	HPA029318	Old	ASNS	0.24197
AGID00276	1612	3415	Set179	Atg3	-0.223199
AGID00309	1775	13507	Set179	Atg4B	-0.477715
AGID00310	1776	12994	Set179	Atg5	-0.02581391
AGID00277	1613	8558	Set179	Atg7	0.09445464
AGID00242	1363	2873	Old	ATM	0.3025
AGID02142	2447	13050	Set179	ATM_pS1981	1.745758
AGID00217	1289	ab14748	Set179	ATP5A	-0.4940483
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.4242671
AGID02150	2456	13934	Set179	ATR	-0.145412
AGID00315	1795	ab178407	Set179	ATR_pS428	0.2348539
AGID00268	1569	ab97508	Set179	ATRX	0.1279868
AGID00391	2332	14475	Set179	Aurora-A	1.474935
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.2494618
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.1238053
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.5093441
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.1444455
AGID00301	1725	14058	Set179	B7-H3	-0.1182178
AGID00302	1726	14572	Set179	B7-H4	-0.500636
AGID00008	63	9291	Old	BAD_pS112	-0.48951
AGID00009	71	1542-1/ab32371	Old	BAK	-0.5249
AGID00192	1207	sc-28383	Old	BAP1C4	0.35153
AGID00010	73	2772	Old	BAX	-0.60713
AGID00433	80	M0887	Old	BCL2	-0.45052
AGID00219	1299	PAB8528	Old	BCL2A1	-0.30191
AGID00012	84	1018-1	Old	BCLXL	-0.28313
AGID00377	87	sc-10086	Old	BECLIN	-0.08558
AGID00011	75	9562	Old	BETACATENIN	0.14059
AGID00013	88	1008-1/ab32060	Old	BID	-0.46724
AGID00180	90	1036-1/ab32158	Old	BIM	-0.38358
AGID00221	1311	610978	Set179	BiP-GRP78	0.2426406
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.1378374
AGID00355	92	1647/ab33899	Old	BRAF	-0.92694
AGID00014	94	2696	Old	BRAF_pS445	-0.21079
AGID00445	761	9012	Old	BRCA2	-0.014883
AGID00266	1567	13440	Old	BRD4	0.029251
AGID00168	1146	2865	Set179	c-Abl_pY412	0.1036926
AGID00278	1615	3130	Set179	c-IAP2	0.5257533
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.042088
AGID00429	2407	2679	Set179	Calnexin	-0.3696953
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.07051101
AGID00623	111	9665	Old	CASPASE3	0.14511
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.30121
AGID00118	951	9746	Old	CASPASE8	-0.24119
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.14925
AGID00358	2100	ab76000	Set179	CD134	-0.3201653
AGID00303	1737	826701	Set179	CD171	-0.04758021
AGID00410	125	1632-1/ab78237	Old	CD20	-0.0838
AGID00220	1308	ab28340	Old	CD26	0.091239
AGID00191	1206	610467	Set179	CD29	0.3727489
AGID00017	127	M0823	Old	CD31	0.12024
AGID00369	2174	ab108403	Set179	CD38	-0.01905626
AGID00359	2104	ab133616	Set179	CD4	-0.7911603
AGID00411	1398	3570	Set179	CD44	-0.2688049
AGID00237	1352	M070101-2	Set179	CD45	-0.06822793
AGID00115	937	611016	Old	CD49B	0.19722
AGID02171	2482	91882	Set179	CD86	0.1327219
AGID00329	1873	4688	Set179	cdc25C	0.4420001
AGID00227	1332	4651	Set179	Cdc42	-0.2453538
AGID00422	2396	3387	Set179	Cdc6	0.1289629
AGID00501	1007	9112	Old	CDK1	0.18119
AGID00293	1658	ab32384	Set179	CDK1_pT14	0.5084234
AGID00314	1783	4539	Old	CDK1_pY15	0.45414
AGID00423	2397	8064	Set179	CDT1	-0.7442994
AGID02101	2348	15102	Set179	cGAS	0.3332043
AGID00447	2410	13460	Set179	CHD1L	0.6047818
AGID00189	1203	2360	Old	CHK1	-0.26375
AGID00234	1348	ab79758	Old	CHK1_pS296	0.06848
AGID00107	903	2348	Old	CHK1_pS345	-0.25536
AGID00018	146	3440	Old	CHK2	0.31599
AGID00019	147	2197	Old	CHK2_pT68	0.29919
AGID00527	2078	4952	Old	CIAP	0.26135
AGID00350	2018	3793	Set179	CIITA	0.01405708
AGID00434	155	9164	Old	CJUN_pS73	0.12338
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.26672
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.8962
AGID00466	726	3127	Old	CMET	-0.046849
AGID00079	727	3129	Old	CMET_pY1235	0.069098
AGID00167	161	9402	Old	CMYC	-0.56794
AGID00292	1656	11130-1-AP	Old	COG3	-0.14627
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.34123
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	0.1039071
AGID00269	1571	6434	Set179	Coup-TFII	0.06802987
AGID00150	1116	4850	Set179	Cox-IV	0.8832287
AGID00195	1218	4842	Set179	Cox2	0.299912
AGID00188	803	05-739	Old	CRAF	0.054134
AGID00022	179	9427	Old	CRAF_pS338	-0.0098928
AGID00023	181	9197	Set179	Creb	-0.5651436
AGID00393	2334	9198	Set179	CREB_pS133	-0.2962035
AGID00365	2155	4980	Set179	CSK	0.2235078
AGID00367	2160	9201	Set179	CtIP	-0.2460303
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.0754141
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.54261
AGID00382	194	sc-718	Old	CYCLIND1	-0.24541
AGID00437	199	sc-25303	Old	CYCLINE1	0.020238
AGID00449	202	1142-1	Old	CYCLINE2	-0.18895
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.8253488
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.609716
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	-0.08786886
AGID00304	1744	ab51601	Set179	DAPK2	-0.02787925
AGID00343	1980	6998	Set179	DDB-1	0.3835119
AGID00427	2402	5583	Set179	DDR1	-0.2977591
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.2539782
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.053447
AGID00104	891	ab76008	Old	DJ1	-0.33663
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.4804969
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.002007791
AGID00352	2030	14649	Set179	DNA-Ligase-IV	-0.09511917
AGID00407	2371	13609	Set179	DNA_POLG	0.2880234
AGID00399	2344	5032	Set179	DNMT1	0.3615635
AGID00409	2373	5391	Set179	DRP1	0.01858943
AGID00253	1406	5149	Old	DUSP4	1.9044
AGID00334	1936	ab76310	Set179	DUSP6	-0.3049876
AGID00116	940	3218	Old	DVL3	-0.028004
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.52278
AGID00135	1060	2332	Old	EEF2	-0.21192
AGID00136	1061	3692	Old	EEF2K	0.093888
AGID00152	1120	2232	Old	EGFR	0.064324
AGID00450	217	2234	Old	EGFR_pY1068	0.64227
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.029736
AGID00078	722	9742	Old	EIF4E	-0.12663
AGID00328	1871	ab76256	Set179	eIF4E_pS209	-0.3140608
AGID00154	1124	2498	Old	EIF4G	0.51937
AGID00027	228	9181	Set179	Elk1_pS383	-0.5052798
AGID00235	1350	M061329-2	Set179	EMA	2.106975
