AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.11409
AGID00111	913	sc-23957	Old	1433EPSILON	0.098849
AGID00101	883	sc-1019	Old	1433ZETA	0.14243
AGID00001	2	9452	Old	4EBP1	-0.043705
AGID00002	3	9456	Old	4EBP1_pS65	-0.065381
AGID00003	6	9459	Old	4EBP1_pT37T46	0.057726
AGID00443	8	9455	Old	4EBP1_pT70	0.09113
AGID00120	985	4937	Old	53BP1	-0.20075
AGID00004	13	3661	Old	ACC_pS79	1.0975
AGID00005	14	1768-1/ab45174	Old	ACC1	1.282
AGID00408	2372	3658	Set179	AceCS1	0.3410985
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.62972
AGID00404	2367	9189	Set179	ACSL1	0.35322
AGID02144	2450	PA5-27081	Old	ACVRL1	0.042061
AGID00186	1198	ab88574	Old	ADAR1	1.1443
AGID00146	1084	4691	Old	AKT	-0.64935
AGID00028	230	9271	Old	AKT_pS473	0.1947
AGID00170	1154	2965	Old	AKT_pT308	0.20275
AGID00316	1800	3063	Set179	Akt2	-0.06890234
AGID00347	2009	8599	Set179	Akt2_pS474	0.05786919
AGID02215	2577	ab195377	Set179	ALKBH5	-0.07212655
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.1592764
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.1711179
AGID00006	39	2532	Old	AMPKALPHA	-0.29792
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.4252
AGID00193	1208	610066	Old	ANNEXIN1	-0.94322
AGID00166	1142	610668	Old	ANNEXINVII	0.11628
AGID00371	756	1852-1/ab52615	Old	AR	-0.074903
AGID00194	1217	4432	Old	ARAF	0.3877
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.14143
AGID00260	1053	sc-32761	Old	ARID1A	0.4606
AGID00264	1560	HPA029318	Old	ASNS	2.1056
AGID00276	1612	3415	Set179	Atg3	-0.08096091
AGID00309	1775	13507	Set179	Atg4B	-0.3784362
AGID00310	1776	12994	Set179	Atg5	-0.8505945
AGID00277	1613	8558	Set179	Atg7	-0.297792
AGID00242	1363	2873	Old	ATM	-0.052205
AGID02142	2447	13050	Set179	ATM_pS1981	0.8975429
AGID00217	1289	ab14748	Set179	ATP5A	1.037491
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.4756035
AGID02150	2456	13934	Set179	ATR	-0.08409145
AGID00315	1795	ab178407	Set179	ATR_pS428	0.1385402
AGID00268	1569	ab97508	Set179	ATRX	-0.515349
AGID00391	2332	14475	Set179	Aurora-A	0.9591563
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.2802259
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.7627884
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.2775634
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.3160616
AGID00301	1725	14058	Set179	B7-H3	-0.2072992
AGID00302	1726	14572	Set179	B7-H4	-0.6314377
AGID00008	63	9291	Old	BAD_pS112	-0.20285
AGID00009	71	1542-1/ab32371	Old	BAK	0.44499
AGID00192	1207	sc-28383	Old	BAP1C4	0.19753
AGID00010	73	2772	Old	BAX	-0.65365
AGID00433	80	M0887	Old	BCL2	-0.46673
AGID00219	1299	PAB8528	Old	BCL2A1	-0.23578
AGID00012	84	1018-1	Old	BCLXL	-0.57818
AGID00377	87	sc-10086	Old	BECLIN	-0.036425
AGID00011	75	9562	Old	BETACATENIN	-1.3676
AGID00013	88	1008-1/ab32060	Old	BID	-0.26478
AGID00180	90	1036-1/ab32158	Old	BIM	0.80835
AGID00221	1311	610978	Set179	BiP-GRP78	-0.0437072
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.03476473
AGID00355	92	1647/ab33899	Old	BRAF	0.84128
AGID00014	94	2696	Old	BRAF_pS445	0.44198
AGID00445	761	9012	Old	BRCA2	-0.26024
AGID00266	1567	13440	Old	BRD4	0.68529
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.4708395
AGID00278	1615	3130	Set179	c-IAP2	-0.4024833
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.066069
AGID00429	2407	2679	Set179	Calnexin	-0.7399713
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.08228713
AGID00623	111	9665	Old	CASPASE3	0.25686
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.75364
AGID00118	951	9746	Old	CASPASE8	-0.041859
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	-1.032
AGID00358	2100	ab76000	Set179	CD134	-0.5375579
AGID00303	1737	826701	Set179	CD171	-0.7256783
AGID00410	125	1632-1/ab78237	Old	CD20	0.031753
AGID00220	1308	ab28340	Old	CD26	-0.10641
AGID00191	1206	610467	Set179	CD29	0.03685114
AGID00017	127	M0823	Old	CD31	-0.040565
AGID00369	2174	ab108403	Set179	CD38	-0.1386471
AGID00359	2104	ab133616	Set179	CD4	-0.2389255
AGID00411	1398	3570	Set179	CD44	-0.1585015
AGID00237	1352	M070101-2	Set179	CD45	0.3427839
AGID00115	937	611016	Old	CD49B	-0.08214
AGID02171	2482	91882	Set179	CD86	-0.2082948
AGID00329	1873	4688	Set179	cdc25C	0.9084822
AGID00227	1332	4651	Set179	Cdc42	-0.2892985
AGID00422	2396	3387	Set179	Cdc6	0.2814584
AGID00501	1007	9112	Old	CDK1	0.12171
AGID00293	1658	ab32384	Set179	CDK1_pT14	1.853036
AGID00314	1783	4539	Old	CDK1_pY15	0.56817
AGID00423	2397	8064	Set179	CDT1	-0.5147815
AGID02101	2348	15102	Set179	cGAS	0.109056
AGID00447	2410	13460	Set179	CHD1L	0.1823841
AGID00189	1203	2360	Old	CHK1	-0.086681
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.039711
AGID00107	903	2348	Old	CHK1_pS345	-0.047373
AGID00018	146	3440	Old	CHK2	0.40867
AGID00019	147	2197	Old	CHK2_pT68	0.39982
AGID00527	2078	4952	Old	CIAP	-0.34744
AGID00350	2018	3793	Set179	CIITA	0.3041356
AGID00434	155	9164	Old	CJUN_pS73	-0.013922
AGID00020	157	1522-1/ab32363	Old	CKIT	0.44729
AGID00400	852	NB100-91714	Old	CLAUDIN7	1.6565
AGID00466	726	3127	Old	CMET	-0.20316
AGID00079	727	3129	Old	CMET_pY1235	0.059215
AGID00167	161	9402	Old	CMYC	0.11088
AGID00292	1656	11130-1-AP	Old	COG3	-0.15121
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.48356
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-0.7321752
AGID00269	1571	6434	Set179	Coup-TFII	-1.274676
AGID00150	1116	4850	Set179	Cox-IV	-0.04564669
AGID00195	1218	4842	Set179	Cox2	-0.2808251
AGID00188	803	05-739	Old	CRAF	0.0031983
AGID00022	179	9427	Old	CRAF_pS338	-0.0038177
AGID00023	181	9197	Set179	Creb	-0.4351524
AGID00393	2334	9198	Set179	CREB_pS133	0.058003
AGID00365	2155	4980	Set179	CSK	1.076092
AGID00367	2160	9201	Set179	CtIP	0.06099071
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	-0.2678417
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	1.9032
AGID00382	194	sc-718	Old	CYCLIND1	-0.19013
AGID00437	199	sc-25303	Old	CYCLINE1	0.18564
AGID00449	202	1142-1	Old	CYCLINE2	0.40637
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.1623264
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.06508893
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.8343692
AGID00304	1744	ab51601	Set179	DAPK2	-0.1573263
AGID00343	1980	6998	Set179	DDB-1	0.2525493
AGID00427	2402	5583	Set179	DDR1	0.003659642
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.04466123
AGID00532	1273	Bast Lab	Old	DIRAS3	0.17751
AGID00104	891	ab76008	Old	DJ1	-0.41218
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.4890147
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	0.04443866
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.2321353
AGID00407	2371	13609	Set179	DNA_POLG	0.07232536
AGID00399	2344	5032	Set179	DNMT1	2.346997
AGID00409	2373	5391	Set179	DRP1	-0.005243186
AGID00253	1406	5149	Old	DUSP4	0.18449
AGID00334	1936	ab76310	Set179	DUSP6	0.1033324
AGID00116	940	3218	Old	DVL3	-0.24158
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.042312
AGID00135	1060	2332	Old	EEF2	-0.61874
AGID00136	1061	3692	Old	EEF2K	0.32146
AGID00152	1120	2232	Old	EGFR	-0.095137
AGID00450	217	2234	Old	EGFR_pY1068	0.15686
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.011296
AGID00078	722	9742	Old	EIF4E	0.08636
AGID00328	1871	ab76256	Set179	eIF4E_pS209	0.1555214
AGID00154	1124	2498	Old	EIF4G	0.6897
AGID00027	228	9181	Set179	Elk1_pS383	-0.4307039
AGID00235	1350	M061329-2	Set179	EMA	0.1858094
AGID00394	2337	3810	Set179	Enolase-1	0.2796457
AGID00395	2338	8171	Set179	Enolase-2	-0.7087762
AGID00196	1219	GTX629542	Old	ENY2	NA
