AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.078577
AGID00111	913	sc-23957	Old	1433EPSILON	0.13612
AGID00101	883	sc-1019	Old	1433ZETA	-0.058655
AGID00001	2	9452	Old	4EBP1	0.54505
AGID00002	3	9456	Old	4EBP1_pS65	0.090356
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.798
AGID00443	8	9455	Old	4EBP1_pT70	-0.067314
AGID00120	985	4937	Old	53BP1	-0.37731
AGID00004	13	3661	Old	ACC_pS79	-0.42803
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.029421
AGID00408	2372	3658	Set179	AceCS1	-0.442952
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.85275
AGID00404	2367	9189	Set179	ACSL1	-0.1698122
AGID02144	2450	PA5-27081	Old	ACVRL1	0.27117
AGID00186	1198	ab88574	Old	ADAR1	0.53956
AGID00146	1084	4691	Old	AKT	0.015239
AGID00028	230	9271	Old	AKT_pS473	-1.1151
AGID00170	1154	2965	Old	AKT_pT308	-1.146
AGID00316	1800	3063	Set179	Akt2	-0.1096283
AGID00347	2009	8599	Set179	Akt2_pS474	0.4779044
AGID02215	2577	ab195377	Set179	ALKBH5	0.000531557
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.2426911
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.4405541
AGID00006	39	2532	Old	AMPKALPHA	0.021795
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.45487
AGID00193	1208	610066	Old	ANNEXIN1	0.81928
AGID00166	1142	610668	Old	ANNEXINVII	0.1063
AGID00371	756	1852-1/ab52615	Old	AR	-1.2087
AGID00194	1217	4432	Old	ARAF	0.2374
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.13886
AGID00260	1053	sc-32761	Old	ARID1A	0.26905
AGID00264	1560	HPA029318	Old	ASNS	0.29189
AGID00276	1612	3415	Set179	Atg3	-0.3253369
AGID00309	1775	13507	Set179	Atg4B	0.03903969
AGID00310	1776	12994	Set179	Atg5	-0.9206356
AGID00277	1613	8558	Set179	Atg7	-0.7064651
AGID00242	1363	2873	Old	ATM	-0.0644
AGID02142	2447	13050	Set179	ATM_pS1981	1.373563
AGID00217	1289	ab14748	Set179	ATP5A	0.1637269
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.5183763
AGID02150	2456	13934	Set179	ATR	0.03640485
AGID00315	1795	ab178407	Set179	ATR_pS428	0.0511369
AGID00268	1569	ab97508	Set179	ATRX	-0.5285606
AGID00391	2332	14475	Set179	Aurora-A	0.1667835
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.09887717
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.4892171
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.1349114
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.6345826
AGID00301	1725	14058	Set179	B7-H3	0.1728211
AGID00302	1726	14572	Set179	B7-H4	-0.3110799
AGID00008	63	9291	Old	BAD_pS112	-0.69347
AGID00009	71	1542-1/ab32371	Old	BAK	0.058512
AGID00192	1207	sc-28383	Old	BAP1C4	-0.067876
AGID00010	73	2772	Old	BAX	-0.4036
AGID00433	80	M0887	Old	BCL2	-0.68755
AGID00219	1299	PAB8528	Old	BCL2A1	0.13432
AGID00012	84	1018-1	Old	BCLXL	-0.49403
AGID00377	87	sc-10086	Old	BECLIN	0.0082772
AGID00011	75	9562	Old	BETACATENIN	-0.31436
AGID00013	88	1008-1/ab32060	Old	BID	-0.089727
AGID00180	90	1036-1/ab32158	Old	BIM	0.32515
AGID00221	1311	610978	Set179	BiP-GRP78	0.1667162
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.07376583
AGID00355	92	1647/ab33899	Old	BRAF	-0.1215
AGID00014	94	2696	Old	BRAF_pS445	-0.18533
AGID00445	761	9012	Old	BRCA2	0.073637
AGID00266	1567	13440	Old	BRD4	-0.11865
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.37724
AGID00278	1615	3130	Set179	c-IAP2	-0.1271429
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.14405
AGID00429	2407	2679	Set179	Calnexin	-0.4931344
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.4826421
AGID00623	111	9665	Old	CASPASE3	0.18084
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.33268
AGID00118	951	9746	Old	CASPASE8	-0.22998
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.9884
AGID00358	2100	ab76000	Set179	CD134	-0.3134163
AGID00303	1737	826701	Set179	CD171	0.9397327
AGID00410	125	1632-1/ab78237	Old	CD20	-0.1203
AGID00220	1308	ab28340	Old	CD26	0.12098
AGID00191	1206	610467	Set179	CD29	0.1164888
AGID00017	127	M0823	Old	CD31	0.0068977
AGID00369	2174	ab108403	Set179	CD38	-0.1725931
AGID00359	2104	ab133616	Set179	CD4	-0.4564005
AGID00411	1398	3570	Set179	CD44	0.5190227
AGID00237	1352	M070101-2	Set179	CD45	-0.1022094
AGID00115	937	611016	Old	CD49B	0.45429
AGID02171	2482	91882	Set179	CD86	0.08635426
AGID00329	1873	4688	Set179	cdc25C	0.003141852
AGID00227	1332	4651	Set179	Cdc42	-0.08638699
AGID00422	2396	3387	Set179	Cdc6	-0.1720418
AGID00501	1007	9112	Old	CDK1	-0.043299
AGID00293	1658	ab32384	Set179	CDK1_pT14	-0.0877199
AGID00314	1783	4539	Old	CDK1_pY15	-0.17333
AGID00423	2397	8064	Set179	CDT1	-0.2256434
AGID02101	2348	15102	Set179	cGAS	0.09827848
AGID00447	2410	13460	Set179	CHD1L	-0.1259073
AGID00189	1203	2360	Old	CHK1	-0.32828
AGID00234	1348	ab79758	Old	CHK1_pS296	0.22932
AGID00107	903	2348	Old	CHK1_pS345	-0.50775
AGID00018	146	3440	Old	CHK2	-0.33929
AGID00019	147	2197	Old	CHK2_pT68	0.57417
AGID00527	2078	4952	Old	CIAP	0.40352
AGID00350	2018	3793	Set179	CIITA	0.1513604
AGID00434	155	9164	Old	CJUN_pS73	-0.33734
AGID00020	157	1522-1/ab32363	Old	CKIT	0.031264
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.74362
AGID00466	726	3127	Old	CMET	-0.20396
AGID00079	727	3129	Old	CMET_pY1235	0.071394
AGID00167	161	9402	Old	CMYC	-0.39169
AGID00292	1656	11130-1-AP	Old	COG3	0.16858
AGID00021	171	sc-20649	Old	COLLAGENVI	0.18019
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	1.866251
AGID00269	1571	6434	Set179	Coup-TFII	-0.7605091
AGID00150	1116	4850	Set179	Cox-IV	-0.04223412
AGID00195	1218	4842	Set179	Cox2	-0.2859927
AGID00188	803	05-739	Old	CRAF	-0.11712
AGID00022	179	9427	Old	CRAF_pS338	-0.0054122
AGID00023	181	9197	Set179	Creb	-0.4849861
AGID00393	2334	9198	Set179	CREB_pS133	-1.63967
AGID00365	2155	4980	Set179	CSK	0.1266643
AGID00367	2160	9201	Set179	CtIP	-0.004550675
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.4187589
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.5963
AGID00382	194	sc-718	Old	CYCLIND1	0.01668
AGID00437	199	sc-25303	Old	CYCLINE1	-0.078051
AGID00449	202	1142-1	Old	CYCLINE2	0.035913
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.2467247
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.1743431
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.206246
AGID00304	1744	ab51601	Set179	DAPK2	-0.1956769
AGID00343	1980	6998	Set179	DDB-1	0.6837843
AGID00427	2402	5583	Set179	DDR1	0.271364
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.2907936
AGID00532	1273	Bast Lab	Old	DIRAS3	0.37881
AGID00104	891	ab76008	Old	DJ1	-0.12781
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.1985272
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.04703409
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.4420201
AGID00407	2371	13609	Set179	DNA_POLG	-0.1102668
AGID00399	2344	5032	Set179	DNMT1	0.4410515
AGID00409	2373	5391	Set179	DRP1	0.3407991
AGID00253	1406	5149	Old	DUSP4	-0.26732
AGID00334	1936	ab76310	Set179	DUSP6	0.2563522
AGID00116	940	3218	Old	DVL3	0.66478
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-1.1479
AGID00135	1060	2332	Old	EEF2	-0.024764
AGID00136	1061	3692	Old	EEF2K	0.13447
AGID00152	1120	2232	Old	EGFR	1.2381
AGID00450	217	2234	Old	EGFR_pY1068	0.58109
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.35959
AGID00078	722	9742	Old	EIF4E	-0.32305
AGID00328	1871	ab76256	Set179	eIF4E_pS209	-0.3101889
AGID00154	1124	2498	Old	EIF4G	0.50796
AGID00027	228	9181	Set179	Elk1_pS383	-0.8083824
AGID00235	1350	M061329-2	Set179	EMA	-3.736592
AGID00394	2337	3810	Set179	Enolase-1	1.126091
AGID00395	2338	8171	Set179	Enolase-2	-0.334821
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	0.7431178
AGID00552	2422	6347	Set179	EphA2_pS897	-0.3972048
AGID00553	2423	12677	Set179	EphA2_pY588	-0.2127208
AGID00075	693	556347	Old	EPPK1	4.2521
AGID00335	238	RM-9101	Old	ERALPHA	-1.5623
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.22514
AGID00240	247	MS-671	Old	ERCC1	-0.57663
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.37649
AGID00484	249	sc-154	Old	ERK2	-0.060845
AGID00372	2193	3552	Set179	Erk5	0.4114696
AGID00405	2369	13826	Set179	ERRalpha	0.7329949
AGID00187	1200	A303-501A	Old	ETS1	-0.46355
AGID00511	2492	2593	Set179	EVI1	-0.4101076
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set179	FAK	-0.8843335
AGID02151	2457	8556	Set179	FAK_pY397	-0.4014286
AGID00171	1156	3180	Old	FASN	0.53042
AGID00356	2085	500-P18/10775-082	Set179	FGF-basic	-0.5714471
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	1.7791
AGID00339	1959	4403	Set179	FN14	0.3615474
AGID02152	2458	20459	Old	FOXM1	0.30517
AGID00378	269	9467	Old	FOXO3A	0.20649
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	-0.040162
AGID02167	2475	PA5-64616	Set179	FRS2-alpha_pY196	-0.3678062
AGID02213	2575	ab124892	Set179	FTO	0.568156
AGID02141	2446	12263	Old	G6PD	0.56443
AGID00117	943	3239	Old	GAB2	-0.71226
AGID00412	274	AM4300	Old	GAPDH	-1.0278
AGID00086	764	558686	Old	GATA3	-0.8333
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set179	GCLC	3.525244
AGID00305	1745	ab124827	Set179	GCLM	-0.1906639
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set179	Gli1	0.09480942
AGID00263	1520	ab69838	Set179	Gli3	0.0955716
AGID00548	2530	3660	Set179	Glucocorticoid-Receptor	-0.4370235
AGID00387	1617	12793	Set179	Glutamate-D1-2	0.1168752
AGID00262	1491	ab156876	Set179	Glutaminase	1.076553
AGID00319	1807	4275	Set179	Granzyme-B	-0.317921
AGID00368	2169	ab183737	Set179	GRB7	0.1724593
AGID00396	2339	3593	Set179	Grp75	0.02825973
AGID00174	1163	9315	Set179	GSK-3B	0.2084939
AGID00502	1082	9336	Old	GSK3_pS9	-1.6347
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	0.17696
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-1.3238
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set179	H2AX_pS139	-0.0832439
AGID00363	1409	MA1-2022	Set179	H2AX_pS140	0.1500924
AGID00131	1038	MS-325-P1	Old	HER2	-0.54926
AGID00142	299	06-229	Old	HER2_pY1248	-0.11295
AGID00110	911	sc-285	Old	HER3	-0.61428
AGID00080	728	4791	Old	HER3_pY1289	0.056478
AGID00103	890	2573	Old	HEREGULIN	0.20974
AGID00271	1582	11988	Set179	HES1	-0.1609414
AGID00397	2340	2024	Set179	Hexokinase-I	0.3694955
AGID00442	1023	2867	Set179	Hexokinase-II	0.1465101
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set179	Histone-H3	-1.796953
AGID00398	2341	3377	Set179	Histone-H3_pS10	-0.8494261
AGID00332	1901	ab128959	Set179	HLA-DQA1	-0.7499306
AGID00333	1902	14832-1-AP	Set179	HMHA1	-0.8432983
AGID00035	321	2402	Set179	HSP27	-0.1166525
AGID00036	323	2401	Set179	HSP27_pS82	-1.727486
AGID00320	1808	12165	Set179	HSP60	0.3432335
AGID00037	325	4872	Old	HSP70	-0.65826
AGID00366	2158	86630	Set179	IDO	0.003329971
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.27062
AGID00038	335	3922	Old	IGFBP2	0.57847
AGID00090	793	611504	Set179	IGFBP3	0.7953102
AGID00039	336	3027	Set179	IGFRb	-0.1693809
AGID00336	1949	12153	Set179	IL-6	0.158091
AGID02221	2583	57145	Set179	IMP3	0.1741577
AGID02153	2459	14543	Old	INPP4B	-0.046146
AGID00272	1586	3025	Set179	IR-b	-0.5387147
AGID00519	2519	4302	Set179	IRF-3	0.1089905
AGID00520	2520	4947	Set179	IRF-3_pS396	0.1450402
AGID00223	1316	sc-497	Old	IRF1	0.31958
AGID00092	802	06-248	Old	IRS1	0.83917
AGID00040	371	4502	Set179	IRS2	-0.2184761
AGID00250	1394	sc-13157	Old	JAB1	0.14558
AGID00256	1413	ab109536	Set179	Jagged1	0.1191059
AGID00177	1166	3230	Old	JAK2	-0.13761
AGID00758	377	4671	Old	JNK_pT183Y185	-0.16634
AGID02136	2439	PA5-28262	Old	JNK2	-0.27121
AGID00307	1757	ab10484	Set179	KAP1	-0.6512689
AGID00528	904	2180	Old	KU80	0.15479
AGID00375	2237	HPA028732	Set179	LAD1	2.096003
AGID00290	1643	IHC-00439	Set179	Lasu1	-0.1402582
AGID00279	1618	4108	Set179	LC3A-B	0.6807234
AGID00042	397	2752	Old	LCK	0.045313
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.15399
AGID00244	1367	2568	Set179	LRP6_pS1490	-0.2745956
AGID00439	2424	2796	Set179	Lyn	0.03775466
AGID02154	2460	4370	Old	MAPK_pT202Y204	-0.14661
AGID00198	1222	5453	Set179	Mcl-1	-0.1234583
AGID00288	1633	AB3314P	Set179	MCT4	0.7344441
AGID00175	1164	3521	Set179	MDM2_pS166	-0.6298673
AGID00044	417	1235-1/ab32576	Old	MEK1	-0.12504
AGID00143	1076	9154	Old	MEK1_pS217S221	0.40358
AGID00201	1243	9125	Set179	MEK2	-0.05434917
AGID00361	2118	ab51061	Set179	MelanA	0.2664503
AGID00362	2119	ab137078	Set179	Melanoma-gp100	0.5026293
AGID00337	1951	12711	Set179	MERIT40	-0.1127301
AGID00338	1952	12110	Set179	MERIT40_pS29	-0.327559
AGID02212	2574	ab195352	Set179	METTL3	0.07949257
AGID00225	1323	sc-20121	Set179	MIF	-0.21986
AGID00137	1062	WH0054206M1	Old	MIG6	0.18985
AGID00403	2117	ab20663	Set179	MITF	-0.09599741
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set179	Mitofusin-1	0.7291434
AGID00322	1810	11925	Set179	Mitofusin-2	-0.207662
AGID00389	2324	3515	Set179	MLH1	0.0996861
AGID00312	1780	14993	Set179	MLKL	0.5337373
AGID00402	2359	MAB3328	Set179	MMP14	1.843303
AGID00045	435	4022	Set179	MMP2	-0.07328443
AGID00122	1005	2195	Set179	Mnk1	1.000133
AGID00331	1899	sc-377312	Set179	MR1	-0.2089273
AGID00273	1589	ab103319	Set179	MRAP	0.05408077
AGID00530	440	4847	Old	MRE11	0.58467
AGID00390	905	2850	Old	MSH2	0.10255
AGID00138	1063	22030002	Old	MSH6	-0.15962
AGID00299	1675	ab76148	Set179	MSI2	0.03862634
AGID00232	1344	ab14705	Set179	MTCO1	0.5803729
AGID00046	444	2983	Old	MTOR	-0.023671
AGID00047	446	2971	Old	MTOR_pS2448	-0.28639
AGID00204	1247	H00009788-M01A	Set179	MTSS1	0.2666591
AGID00401	1139	21370002	Old	MYH11	-0.023481
AGID00291	1647	3403	Old	MYOSINIIA	NA
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	0.74221
AGID00318	1803	4282	Set179	Myt1	-0.1295614
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	-0.23088
AGID00156	1126	3217	Old	NDRG1_pT346	-0.60911
AGID02133	2436	PA5-45913	Set179	NDUFB4	0.04061389
AGID00134	1046	22710002	Old	NF2	-0.47352
AGID00048	457	3033	Old	NFKBP65_pS536	-0.25222
AGID02155	2461	3608	Old	NOTCH1	0.66602
AGID00340	1969	4147	Set179	Notch1-cleaved	0.02528221
AGID00087	767	sc-5593	Set179	Notch3	-0.01336023
AGID00258	1420	3187	Set179	NQO1	-1.177535
AGID00162	1136	sc-31	Old	NRAS	0.20055
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set179	Oct-4	-0.2127409
AGID00420	466	1712-1/ab40803	Old	P16INK4A	-0.46923
AGID00384	470	sc-6246	Old	P21	-1.1614
AGID00105	897	1591-1/ab32034	Old	P27	-0.37923
AGID00096	842	AF1555	Old	P27_pT157	0.032037
AGID00099	878	ab64949	Old	P27_pT198	-0.0096621
AGID00181	1175	9228	Set179	p38-a	-0.05327779
AGID00098	479	9211	Old	P38_pT180Y182	-1.2378
AGID00049	478	9212	Old	P38MAPK	0.018128
AGID00151	1119	4695	Set179	p44-42-MAPK	-0.3397785
AGID00050	481	9282	Old	P53	0.42899
