AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.33788
AGID00111	913	sc-23957	Old	1433EPSILON	0.049843
AGID00101	883	sc-1019	Old	1433ZETA	-0.22464
AGID00001	2	9452	Old	4EBP1	-0.28449
AGID00002	3	9456	Old	4EBP1_pS65	-0.13922
AGID00003	6	9459	Old	4EBP1_pT37T46	0.0097233
AGID00443	8	9455	Old	4EBP1_pT70	0.11648
AGID00120	985	4937	Old	53BP1	-0.74359
AGID00004	13	3661	Old	ACC_pS79	-0.48466
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.70947
AGID00408	2372	3658	Set179	AceCS1	0.5272994
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-2.6808
AGID00404	2367	9189	Set179	ACSL1	-0.5180745
AGID02144	2450	PA5-27081	Old	ACVRL1	0.43811
AGID00186	1198	ab88574	Old	ADAR1	0.36075
AGID00146	1084	4691	Old	AKT	0.059755
AGID00028	230	9271	Old	AKT_pS473	-0.82879
AGID00170	1154	2965	Old	AKT_pT308	-0.97161
AGID00316	1800	3063	Set179	Akt2	-0.1545784
AGID00347	2009	8599	Set179	Akt2_pS474	0.2951504
AGID02215	2577	ab195377	Set179	ALKBH5	-0.09456176
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.150324
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.2759749
AGID00006	39	2532	Old	AMPKALPHA	0.27391
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.77713
AGID00193	1208	610066	Old	ANNEXIN1	0.11506
AGID00166	1142	610668	Old	ANNEXINVII	0.30446
AGID00371	756	1852-1/ab52615	Old	AR	-1.4357
AGID00194	1217	4432	Old	ARAF	0.036071
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.0031267
AGID00260	1053	sc-32761	Old	ARID1A	0.047325
AGID00264	1560	HPA029318	Old	ASNS	-0.44167
AGID00276	1612	3415	Set179	Atg3	-0.05812252
AGID00309	1775	13507	Set179	Atg4B	-0.3105319
AGID00310	1776	12994	Set179	Atg5	0.1269512
AGID00277	1613	8558	Set179	Atg7	0.1869713
AGID00242	1363	2873	Old	ATM	0.67748
AGID02142	2447	13050	Set179	ATM_pS1981	1.477221
AGID00217	1289	ab14748	Set179	ATP5A	-0.1075232
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.05545355
AGID02150	2456	13934	Set179	ATR	-0.2328918
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.1791792
AGID00268	1569	ab97508	Set179	ATRX	-0.6843944
AGID00391	2332	14475	Set179	Aurora-A	-0.5347575
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.2895804
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.3445365
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.7461581
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.2238592
AGID00301	1725	14058	Set179	B7-H3	-0.624333
AGID00302	1726	14572	Set179	B7-H4	-0.2509233
AGID00008	63	9291	Old	BAD_pS112	-0.048771
AGID00009	71	1542-1/ab32371	Old	BAK	-0.84483
AGID00192	1207	sc-28383	Old	BAP1C4	-0.41162
AGID00010	73	2772	Old	BAX	-0.53709
AGID00433	80	M0887	Old	BCL2	0.079308
AGID00219	1299	PAB8528	Old	BCL2A1	-0.14725
AGID00012	84	1018-1	Old	BCLXL	-0.32431
AGID00377	87	sc-10086	Old	BECLIN	0.28018
AGID00011	75	9562	Old	BETACATENIN	-0.95803
AGID00013	88	1008-1/ab32060	Old	BID	-0.22011
AGID00180	90	1036-1/ab32158	Old	BIM	0.13583
AGID00221	1311	610978	Set179	BiP-GRP78	0.26502
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.07762141
AGID00355	92	1647/ab33899	Old	BRAF	-1.1795
AGID00014	94	2696	Old	BRAF_pS445	0.23314
AGID00445	761	9012	Old	BRCA2	0.021735
AGID00266	1567	13440	Old	BRD4	-0.55774
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.02790889
AGID00278	1615	3130	Set179	c-IAP2	0.5288141
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.088076
AGID00429	2407	2679	Set179	Calnexin	-0.08626341
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.05660867
AGID00623	111	9665	Old	CASPASE3	0.036304
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	-0.29242
AGID00118	951	9746	Old	CASPASE8	0.39471
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.5669
AGID00358	2100	ab76000	Set179	CD134	-0.1245369
AGID00303	1737	826701	Set179	CD171	1.182357
AGID00410	125	1632-1/ab78237	Old	CD20	-0.17942
AGID00220	1308	ab28340	Old	CD26	0.23319
AGID00191	1206	610467	Set179	CD29	0.2114496
AGID00017	127	M0823	Old	CD31	0.28032
AGID00369	2174	ab108403	Set179	CD38	0.3331683
AGID00359	2104	ab133616	Set179	CD4	0.09798102
AGID00411	1398	3570	Set179	CD44	-0.1210748
AGID00237	1352	M070101-2	Set179	CD45	0.8340449
AGID00115	937	611016	Old	CD49B	-0.036604
AGID02171	2482	91882	Set179	CD86	0.3604477
AGID00329	1873	4688	Set179	cdc25C	-0.587571
AGID00227	1332	4651	Set179	Cdc42	-0.004776337
AGID00422	2396	3387	Set179	Cdc6	-0.3012903
AGID00501	1007	9112	Old	CDK1	0.078512
AGID00293	1658	ab32384	Set179	CDK1_pT14	-1.537887
AGID00314	1783	4539	Old	CDK1_pY15	0.083522
AGID00423	2397	8064	Set179	CDT1	-0.3689195
AGID02101	2348	15102	Set179	cGAS	0.09275103
AGID00447	2410	13460	Set179	CHD1L	-0.06126997
AGID00189	1203	2360	Old	CHK1	-0.6122
AGID00234	1348	ab79758	Old	CHK1_pS296	0.21763
AGID00107	903	2348	Old	CHK1_pS345	-0.46079
AGID00018	146	3440	Old	CHK2	-0.30925
AGID00019	147	2197	Old	CHK2_pT68	0.28799
AGID00527	2078	4952	Old	CIAP	0.18876
AGID00350	2018	3793	Set179	CIITA	0.2328495
AGID00434	155	9164	Old	CJUN_pS73	0.043079
AGID00020	157	1522-1/ab32363	Old	CKIT	0.82975
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.56631
AGID00466	726	3127	Old	CMET	0.082903
AGID00079	727	3129	Old	CMET_pY1235	0.048581
AGID00167	161	9402	Old	CMYC	-0.41321
AGID00292	1656	11130-1-AP	Old	COG3	-0.12426
