AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.64182
AGID00111	913	sc-23957	Old	1433EPSILON	0.09674
AGID00101	883	sc-1019	Old	1433ZETA	-0.094757
AGID00001	2	9452	Old	4EBP1	-0.065368
AGID00002	3	9456	Old	4EBP1_pS65	-0.056145
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.2186
AGID00443	8	9455	Old	4EBP1_pT70	-0.05533
AGID00120	985	4937	Old	53BP1	-0.48363
AGID00004	13	3661	Old	ACC_pS79	-0.60732
AGID00005	14	1768-1/ab45174	Old	ACC1	0.30399
AGID00408	2372	3658	Set179	AceCS1	0.724220318419729
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.97699
AGID00404	2367	9189	Set179	ACSL1	-0.553756852486319
AGID02144	2450	PA5-27081	Old	ACVRL1	0.17435
AGID00186	1198	ab88574	Old	ADAR1	0.59083
AGID00146	1084	4691	Old	AKT	-0.6758
AGID00028	230	9271	Old	AKT_pS473	-1.0933
AGID00170	1154	2965	Old	AKT_pT308	-1.1745
AGID00316	1800	3063	Set179	Akt2	-0.82745949974701
AGID00347	2009	8599	Set179	Akt2_pS474	-0.408508025666182
AGID02215	2577	ab195377	Set179	ALKBH5	-0.109846343923701
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.0494433527391721
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.126009546315126
AGID00006	39	2532	Old	AMPKALPHA	-0.015902
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.49376
AGID00193	1208	610066	Old	ANNEXIN1	-0.30996
AGID00166	1142	610668	Old	ANNEXINVII	0.070012
AGID00371	756	1852-1/ab52615	Old	AR	-1.3582
AGID00194	1217	4432	Old	ARAF	0.77744
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.066189
AGID00260	1053	sc-32761	Old	ARID1A	0.21999
AGID00264	1560	HPA029318	Old	ASNS	0.87756
AGID00276	1612	3415	Set179	Atg3	0.0180083989131266
AGID00309	1775	13507	Set179	Atg4B	-0.514819332186629
AGID00310	1776	12994	Set179	Atg5	-0.00191088377753072
AGID00277	1613	8558	Set179	Atg7	0.344899383907729
AGID00242	1363	2873	Old	ATM	-0.19266
AGID02142	2447	13050	Set179	ATM_pS1981	0.0995994459931328
AGID00217	1289	ab14748	Set179	ATP5A	0.222091602402551
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.199840049787683
AGID02150	2456	13934	Set179	ATR	-0.191734513173488
AGID00315	1795	ab178407	Set179	ATR_pS428	0.182081674638336
AGID00268	1569	ab97508	Set179	ATRX	0.347931049317944
AGID00391	2332	14475	Set179	Aurora-A	0.812342341961211
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.420181904029023
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.760168934956558
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.445701062355025
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.464207650305746
AGID00301	1725	14058	Set179	B7-H3	-0.256007872096636
AGID00302	1726	14572	Set179	B7-H4	-0.547369862885601
AGID00008	63	9291	Old	BAD_pS112	-0.77578
AGID00009	71	1542-1/ab32371	Old	BAK	-0.44432
AGID00192	1207	sc-28383	Old	BAP1C4	0.25986
AGID00010	73	2772	Old	BAX	-0.8026
AGID00433	80	M0887	Old	BCL2	-0.43199
AGID00219	1299	PAB8528	Old	BCL2A1	-0.11773
AGID00012	84	1018-1	Old	BCLXL	-0.36112
AGID00377	87	sc-10086	Old	BECLIN	0.26457
AGID00011	75	9562	Old	BETACATENIN	-0.32254
AGID00013	88	1008-1/ab32060	Old	BID	-0.45066
AGID00180	90	1036-1/ab32158	Old	BIM	-0.41927
AGID00221	1311	610978	Set179	BiP-GRP78	0.113464873775107
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.148614950039829
AGID00355	92	1647/ab33899	Old	BRAF	-0.69989
AGID00014	94	2696	Old	BRAF_pS445	-0.42453
AGID00445	761	9012	Old	BRCA2	0.022495
AGID00266	1567	13440	Old	BRD4	-0.093393
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.0906758393371542
AGID00278	1615	3130	Set179	c-IAP2	0.212517721533013
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.024385
AGID00429	2407	2679	Set179	Calnexin	0.174598346900404
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.132456313890398
AGID00623	111	9665	Old	CASPASE3	0.29422
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.0727
AGID00118	951	9746	Old	CASPASE8	0.66006
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.25319
AGID00358	2100	ab76000	Set179	CD134	-0.418876896188021
AGID00303	1737	826701	Set179	CD171	1.61075592695447
AGID00410	125	1632-1/ab78237	Old	CD20	-0.080995
AGID00220	1308	ab28340	Old	CD26	0.41979
AGID00191	1206	610467	Set179	CD29	0.40316554916815
AGID00017	127	M0823	Old	CD31	0.23573
AGID00369	2174	ab108403	Set179	CD38	0.165636940807431
AGID00359	2104	ab133616	Set179	CD4	-0.179956415737464
AGID00411	1398	3570	Set179	CD44	0.558310647715027
AGID00237	1352	M070101-2	Set179	CD45	0.0885085672582621
AGID00115	937	611016	Old	CD49B	0.14974
AGID02171	2482	91882	Set179	CD86	0.181216490627961
AGID00329	1873	4688	Set179	cdc25C	0.798582896546653
AGID00227	1332	4651	Set179	Cdc42	-0.0958110829950748
AGID00422	2396	3387	Set179	Cdc6	0.736987626283129
AGID00501	1007	9112	Old	CDK1	0.18007
AGID00293	1658	ab32384	Set179	CDK1_pT14	1.52458948430194
AGID00314	1783	4539	Old	CDK1_pY15	0.029737
AGID00423	2397	8064	Set179	CDT1	-0.743514340088194
AGID02101	2348	15102	Set179	cGAS	0.200953887918313
AGID00447	2410	13460	Set179	CHD1L	0.31597950778801
AGID00189	1203	2360	Old	CHK1	-0.12136
AGID00234	1348	ab79758	Old	CHK1_pS296	0.23769
AGID00107	903	2348	Old	CHK1_pS345	-0.43049
AGID00018	146	3440	Old	CHK2	-0.43066
AGID00019	147	2197	Old	CHK2_pT68	0.2716
AGID00527	2078	4952	Old	CIAP	0.20536
AGID00350	2018	3793	Set179	CIITA	0.15662689149261
AGID00434	155	9164	Old	CJUN_pS73	-0.044374
AGID00020	157	1522-1/ab32363	Old	CKIT	0.455
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.2847
AGID00466	726	3127	Old	CMET	0.038259
AGID00079	727	3129	Old	CMET_pY1235	0.016398
AGID00167	161	9402	Old	CMYC	-0.29327
AGID00292	1656	11130-1-AP	Old	COG3	-0.16069
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.17289
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-1.46998547440702
AGID00269	1571	6434	Set179	Coup-TFII	0.262432610877592
AGID00150	1116	4850	Set179	Cox-IV	0.971172438788571
AGID00195	1218	4842	Set179	Cox2	-0.263161462599678
AGID00188	803	05-739	Old	CRAF	-0.19171
AGID00022	179	9427	Old	CRAF_pS338	-0.30676
AGID00023	181	9197	Set179	Creb	-0.53135482934525
AGID00393	2334	9198	Set179	CREB_pS133	-1.72573834563462
AGID00365	2155	4980	Set179	CSK	0.070359191639297
AGID00367	2160	9201	Set179	CtIP	-0.656171383586821
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.329907337329101
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	1.0382
AGID00382	194	sc-718	Old	CYCLIND1	-0.1578
AGID00437	199	sc-25303	Old	CYCLINE1	-0.27634
AGID00449	202	1142-1	Old	CYCLINE2	-0.00052914
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.631149613490394
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.766666812622841
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	-0.155776136765018
AGID00304	1744	ab51601	Set179	DAPK2	-0.0573087557210752
AGID00343	1980	6998	Set179	DDB-1	0.411717579219978
AGID00427	2402	5583	Set179	DDR1	0.209732759300662
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.0929978275654325
AGID00532	1273	Bast Lab	Old	DIRAS3	0.16289
AGID00104	891	ab76008	Old	DJ1	-0.21143
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.457991338560593
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.167200865511414
AGID00352	2030	14649	Set179	DNA-Ligase-IV	-0.0528113104486753
AGID00407	2371	13609	Set179	DNA_POLG	0.282468537705615
AGID00399	2344	5032	Set179	DNMT1	0.817759760368884
AGID00409	2373	5391	Set179	DRP1	0.025533193566022
AGID00253	1406	5149	Old	DUSP4	0.76665
AGID00334	1936	ab76310	Set179	DUSP6	0.379125881917031
AGID00116	940	3218	Old	DVL3	-0.50299
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	0.54426
AGID00135	1060	2332	Old	EEF2	-0.51186
AGID00136	1061	3692	Old	EEF2K	0.36496
AGID00152	1120	2232	Old	EGFR	0.16724
AGID00450	217	2234	Old	EGFR_pY1068	0.35071
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	-0.12065
AGID00078	722	9742	Old	EIF4E	-0.060904
AGID00328	1871	ab76256	Set179	eIF4E_pS209	-0.361336614872373
AGID00154	1124	2498	Old	EIF4G	0.39182
AGID00027	228	9181	Set179	Elk1_pS383	-0.560547152430349
AGID00235	1350	M061329-2	Set179	EMA	0.710167151609324
AGID00394	2337	3810	Set179	Enolase-1	0.245639838900714
AGID00395	2338	8171	Set179	Enolase-2	-0.748479945473671
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	1.21207926858683
AGID00552	2422	6347	Set179	EphA2_pS897	-0.226163261364816
AGID00553	2423	12677	Set179	EphA2_pY588	-0.606170501301726
AGID00075	693	556347	Old	EPPK1	3.266
AGID00335	238	RM-9101	Old	ERALPHA	-1.5164
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.3927
AGID00240	247	MS-671	Old	ERCC1	-0.44883
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.61132
AGID00484	249	sc-154	Old	ERK2	-0.32629
AGID00372	2193	3552	Set179	Erk5	-0.337180453524754
AGID00405	2369	13826	Set179	ERRalpha	0.545575831527556
AGID00187	1200	A303-501A	Old	ETS1	-0.1191
AGID00511	2492	2593	Set179	EVI1	0.585188179366298
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set179	FAK	-0.824439189411841
AGID02151	2457	8556	Set179	FAK_pY397	-0.614457205869486
AGID00171	1156	3180	Old	FASN	-0.50213
AGID00356	2085	500-P18/10775-082	Set179	FGF-basic	-0.490520122874651
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.62067
AGID00339	1959	4403	Set179	FN14	0.793749981947941
AGID02152	2458	20459	Old	FOXM1	0.56192
AGID00378	269	9467	Old	FOXO3A	0.29184
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	-0.087791
AGID02167	2475	PA5-64616	Set179	FRS2-alpha_pY196	-0.405182557009214
AGID02213	2575	ab124892	Set179	FTO	0.0279140154031117
AGID02141	2446	12263	Old	G6PD	0.80332
AGID00117	943	3239	Old	GAB2	-0.75549
AGID00412	274	AM4300	Old	GAPDH	-1.9516
AGID00086	764	558686	Old	GATA3	-0.65512
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set179	GCLC	0.679867575983555
AGID00305	1745	ab124827	Set179	GCLM	-0.332114098597115
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set179	Gli1	-0.360285512501772
AGID00263	1520	ab69838	Set179	Gli3	-0.306374747074092
AGID00548	2530	3660	Set179	Glucocorticoid-Receptor	-0.401393137545593
AGID00387	1617	12793	Set179	Glutamate-D1-2	0.0637295798697928
AGID00262	1491	ab156876	Set179	Glutaminase	0.95841056646671
AGID00319	1807	4275	Set179	Granzyme-B	-0.386824398569141
