AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.20734
AGID00111	913	sc-23957	Old	1433EPSILON	0.15262
AGID00101	883	sc-1019	Old	1433ZETA	-0.49514
AGID00001	2	9452	Old	4EBP1	0.083843
AGID00002	3	9456	Old	4EBP1_pS65	-0.11378
AGID00003	6	9459	Old	4EBP1_pT37T46	0.33315
AGID00443	8	9455	Old	4EBP1_pT70	0.14907
AGID00120	985	4937	Old	53BP1	-0.7557
AGID00004	13	3661	Old	ACC_pS79	-0.33851
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.26991
AGID00408	2372	3658	Set179	AceCS1	-0.40945
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.1194
AGID00404	2367	9189	Set179	ACSL1	-0.2411405
AGID02144	2450	PA5-27081	Old	ACVRL1	0.2845
AGID00186	1198	ab88574	Old	ADAR1	-0.10657
AGID00146	1084	4691	Old	AKT	-0.64984
AGID00028	230	9271	Old	AKT_pS473	0.71822
AGID00170	1154	2965	Old	AKT_pT308	0.38768
AGID00316	1800	3063	Set179	Akt2	-0.4775863
AGID00347	2009	8599	Set179	Akt2_pS474	-0.09215151
AGID02215	2577	ab195377	Set179	ALKBH5	0.1216566
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.337111
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.1256767
AGID00006	39	2532	Old	AMPKALPHA	-0.24465
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.54613
AGID00193	1208	610066	Old	ANNEXIN1	-0.39751
AGID00166	1142	610668	Old	ANNEXINVII	0.29072
AGID00371	756	1852-1/ab52615	Old	AR	-1.4935
AGID00194	1217	4432	Old	ARAF	0.34836
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.010408
AGID00260	1053	sc-32761	Old	ARID1A	0.26781
AGID00264	1560	HPA029318	Old	ASNS	1.4158
AGID00276	1612	3415	Set179	Atg3	-0.2702545
AGID00309	1775	13507	Set179	Atg4B	-0.5894399
AGID00310	1776	12994	Set179	Atg5	-0.3060588
AGID00277	1613	8558	Set179	Atg7	-0.03909626
AGID00242	1363	2873	Old	ATM	0.031345
AGID02142	2447	13050	Set179	ATM_pS1981	-0.3606868
AGID00217	1289	ab14748	Set179	ATP5A	2.480935
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.3215367
AGID02150	2456	13934	Set179	ATR	0.1224759
AGID00315	1795	ab178407	Set179	ATR_pS428	0.2184316
AGID00268	1569	ab97508	Set179	ATRX	-0.6937632
AGID00391	2332	14475	Set179	Aurora-A	1.160645
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	0.2576429
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.4242788
