AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.14687
AGID00111	913	sc-23957	Old	1433EPSILON	0.10197
AGID00101	883	sc-1019	Old	1433ZETA	0.03558
AGID00001	2	9452	Old	4EBP1	0.28379
AGID00002	3	9456	Old	4EBP1_pS65	0.11638
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.15954
AGID00443	8	9455	Old	4EBP1_pT70	0.26162
AGID00120	985	4937	Old	53BP1	-1.3353
AGID00004	13	3661	Old	ACC_pS79	0.20053
AGID00005	14	1768-1/ab45174	Old	ACC1	0.58037
AGID00408	2372	3658	Set179	AceCS1	0.7359519
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-2.1972
AGID00404	2367	9189	Set179	ACSL1	-0.5628215
AGID02144	2450	PA5-27081	Old	ACVRL1	0.17521
AGID00186	1198	ab88574	Old	ADAR1	0.1536
AGID00146	1084	4691	Old	AKT	-0.53755
AGID00028	230	9271	Old	AKT_pS473	-0.30412
AGID00170	1154	2965	Old	AKT_pT308	-0.42528
AGID00316	1800	3063	Set179	Akt2	-0.03266096
AGID00347	2009	8599	Set179	Akt2_pS474	0.2940866
AGID02215	2577	ab195377	Set179	ALKBH5	0.5815465
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.5151036
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.09309714
AGID00006	39	2532	Old	AMPKALPHA	-0.33026
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.1566
AGID00193	1208	610066	Old	ANNEXIN1	1.9906
AGID00166	1142	610668	Old	ANNEXINVII	0.31226
AGID00371	756	1852-1/ab52615	Old	AR	-1.886
AGID00194	1217	4432	Old	ARAF	0.20953
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.057311
AGID00260	1053	sc-32761	Old	ARID1A	0.1892
AGID00264	1560	HPA029318	Old	ASNS	1.033
AGID00276	1612	3415	Set179	Atg3	-0.2584397
AGID00309	1775	13507	Set179	Atg4B	-0.3535686
AGID00310	1776	12994	Set179	Atg5	-0.1186755
AGID00277	1613	8558	Set179	Atg7	-0.1841009
AGID00242	1363	2873	Old	ATM	-1.0536
AGID02142	2447	13050	Set179	ATM_pS1981	0.9844915
