AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.46046
AGID00111	913	sc-23957	Old	1433EPSILON	0.29444
AGID00101	883	sc-1019	Old	1433ZETA	0.59757
AGID00001	2	9452	Old	4EBP1	-0.42178
AGID00002	3	9456	Old	4EBP1_pS65	-0.72937
AGID00003	6	9459	Old	4EBP1_pT37T46	-2.0922
AGID00443	8	9455	Old	4EBP1_pT70	0.1411
AGID00120	985	4937	Old	53BP1	-2.2358
AGID00004	13	3661	Old	ACC_pS79	-1.3439
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.37102
AGID00408	2372	3658	Set179	AceCS1	-1.147626
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4562
AGID00404	2367	9189	Set179	ACSL1	-0.6130864
AGID02144	2450	PA5-27081	Old	ACVRL1	0.65014
AGID00186	1198	ab88574	Old	ADAR1	2.1965
AGID00146	1084	4691	Old	AKT	-2.9084
AGID00028	230	9271	Old	AKT_pS473	-1.4766
AGID00170	1154	2965	Old	AKT_pT308	-0.93154
AGID00316	1800	3063	Set179	Akt2	-1.355385
AGID00347	2009	8599	Set179	Akt2_pS474	1.546748
AGID02215	2577	ab195377	Set179	ALKBH5	-1.232312
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.2620822
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.4514476
AGID00006	39	2532	Old	AMPKALPHA	-0.49284
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.2992
AGID00193	1208	610066	Old	ANNEXIN1	1.1411
AGID00166	1142	610668	Old	ANNEXINVII	0.47659
AGID00371	756	1852-1/ab52615	Old	AR	-1.0629
AGID00194	1217	4432	Old	ARAF	0.10374
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.053567
AGID00260	1053	sc-32761	Old	ARID1A	-0.45302
AGID00264	1560	HPA029318	Old	ASNS	2.0163
AGID00276	1612	3415	Set179	Atg3	-0.6051732
AGID00309	1775	13507	Set179	Atg4B	0.09244398
AGID00310	1776	12994	Set179	Atg5	-1.245623
AGID00277	1613	8558	Set179	Atg7	-1.217668
AGID00242	1363	2873	Old	ATM	-1.9717
AGID02142	2447	13050	Set179	ATM_pS1981	3.478113
AGID00217	1289	ab14748	Set179	ATP5A	-1.092084
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.4040704
AGID02150	2456	13934	Set179	ATR	0.1672763
AGID00315	1795	ab178407	Set179	ATR_pS428	0.4192782
AGID00268	1569	ab97508	Set179	ATRX	-2.262764
AGID00391	2332	14475	Set179	Aurora-A	-0.2369743
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	0.03276916
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.2586884
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.05482184
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.1530598
AGID00301	1725	14058	Set179	B7-H3	0.6321803
AGID00302	1726	14572	Set179	B7-H4	0.07604124
AGID00008	63	9291	Old	BAD_pS112	-0.93582
AGID00009	71	1542-1/ab32371	Old	BAK	0.05522
AGID00192	1207	sc-28383	Old	BAP1C4	-1.4061
AGID00010	73	2772	Old	BAX	-0.37377
AGID00433	80	M0887	Old	BCL2	-0.27379
AGID00219	1299	PAB8528	Old	BCL2A1	1.0033
AGID00012	84	1018-1	Old	BCLXL	-0.43386
AGID00377	87	sc-10086	Old	BECLIN	0.5203
AGID00011	75	9562	Old	BETACATENIN	-3.5381
AGID00013	88	1008-1/ab32060	Old	BID	0.29688
AGID00180	90	1036-1/ab32158	Old	BIM	-1.1355
AGID00221	1311	610978	Set179	BiP-GRP78	0.2812541
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.1964729
AGID00355	92	1647/ab33899	Old	BRAF	-2.72
AGID00014	94	2696	Old	BRAF_pS445	-0.29585
AGID00445	761	9012	Old	BRCA2	0.17079
AGID00266	1567	13440	Old	BRD4	-1.9422
