"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.1",11.0416550832235,-0.0343428494967835,0.729446434897597,-0.0470807009997995,0.962448908650008,NA
"AL669831.5",51.6258535376074,0.31988949183213,0.418758884293609,0.763898997323345,0.444927435007842,0.999884470867876
"SAMD11",14.1582970143571,0.169344827677415,0.861365149826556,0.196600509913263,0.844140171546054,NA
"NOC2L",34.1660115179919,-0.478803712716769,0.490454340512811,-0.976245234604592,0.328942951937077,0.999884470867876
"KLHL17",19.6297903956821,-0.0477672783160945,0.671636803783718,-0.0711206980424448,0.94330169522583,0.999884470867876
"HES4",30.2646945236826,0.0368466827369902,0.524695060335739,0.0702249468737384,0.944014618604312,0.999884470867876
"AGRN",104.424319531633,-0.260043176963351,0.450391957723673,-0.577370826685353,0.563688977309525,0.999884470867876
"C1orf159",60.6496306699975,0.00391576171306459,0.42072109649258,0.00930726256826451,0.992573986106843,0.999884470867876
"SDF4",70.6749867728379,0.0561209526890166,0.404334618561517,0.138798287637788,0.889609547155349,0.999884470867876
"B3GALT6",7.97109807463617,0.694259902471932,0.855438007549717,0.811584119883267,0.417030306425126,NA
"UBE2J2",51.6040276344814,-0.429301028117625,0.443243130461905,-0.96854524890267,0.332772132131076,0.999884470867876
"SCNN1D",62.1123442914944,-0.549770832468886,0.43828280333579,-1.25437463729938,0.209705866750837,0.999884470867876
"ACAP3",212.919287826386,-0.585308251941978,0.429685847554734,-1.36217717030445,0.1731419787967,0.999884470867876
"PUSL1",8.33315712812205,0.0293927755886185,0.816099501436142,0.036016166578823,0.971269468251496,NA
"INTS11",130.408759942689,-0.27927683071424,0.369730056358051,-0.755353333903112,0.450037005542321,0.999884470867876
"CPTP",13.4856708035449,0.161605530424528,0.691694438740277,0.233637168919336,0.815266669588484,NA
"DVL1",63.5359950831158,-0.358564101180943,0.477060332726857,-0.751611644446323,0.45228463862732,0.999884470867876
"MXRA8",27.2835614215902,0.513469458417692,0.531462976006407,0.966143422211788,0.333972419100265,0.999884470867876
"AURKAIP1",32.5000372351376,-0.367358734317292,0.494955671527635,-0.742205323526191,0.457962943653264,0.999884470867876
"CCNL2",215.877830230598,-0.122171359326083,0.353965679518035,-0.345150296753157,0.729981382698471,0.999884470867876
"MRPL20",37.2276187193058,-0.336867062124451,0.45104995805162,-0.7468508889339,0.455153573580254,0.999884470867876
"AL391244.3",8.04401604620498,-0.143945700160126,0.812815433101901,-0.177095185817024,0.859433623321326,NA
"ANKRD65",45.4129589987658,-1.36147780395504,0.684632617206123,-1.988625387892,0.0467425670026695,0.758553732391256
"VWA1",54.3579535355394,-0.432235034062803,0.471644977425588,-0.916441507385707,0.359435373309064,0.999884470867876
"ATAD3B",53.5755748303848,-0.500991871946503,0.494983727697878,-1.01213806416742,0.311472044804333,0.999884470867876
"ATAD3A",29.4944370808407,-0.643444633480072,0.577782644421765,-1.11364479305885,0.265431601952999,0.999884470867876
"TMEM240",21.8431673577196,0.880308703497301,0.714969655573358,1.2312532380012,0.218228165415619,0.999884470867876
"SSU72",51.4187295261772,-0.250791202874361,0.426791515222084,-0.587619936033312,0.556787426579355,0.999884470867876
"FNDC10",11.9183486640567,-0.36910051497809,0.705333246492332,-0.523299471297647,0.600765868857886,NA
"AL691432.2",8.98007574945223,-0.383062910941373,0.781236422361166,-0.490329047618677,0.623901075372997,NA
"MIB2",106.839869193004,-0.289291504181624,0.358400256812157,-0.807174377481671,0.419566025509302,0.999884470867876
"MMP23B",8.99941289205815,-1.1114997635714,0.817109994654096,-1.36028168893214,0.173740800623391,NA
"CDK11B",54.1978855566351,0.570221727686419,0.465118527519603,1.22597078797809,0.22020966814309,0.999884470867876
"SLC35E2B",28.2043288972869,0.320907788596815,0.515743305557626,0.62222385659441,0.533794681190859,0.999884470867876
"CDK11A",17.2586440819948,0.54503453932581,0.638339383434318,0.853831916798678,0.393198127315458,0.999884470867876
"SLC35E2A",65.5224652385277,0.233151504908242,0.476434948239561,0.489366923584726,0.624581948829873,0.999884470867876
"NADK",45.1001666771001,-0.963357082687582,0.463509682353388,-2.07839689086171,0.0376728188514195,0.70025866497201
"GNB1",150.90811121231,-0.0209570715801086,0.342520645296275,-0.061184842046473,0.951212001409135,0.999884470867876
"CFAP74",5.93769802269354,0.14493526459189,0.922572632919815,0.1570990287596,0.875166803016001,NA
"GABRD",17.42094318914,-0.742709132559439,0.584210272698901,-1.27130447249466,0.203620351849329,0.999884470867876
"PRKCZ",21.5823727628145,0.374715903683605,0.552071501837583,0.67874523940532,0.497299296352285,0.999884470867876
"FAAP20",66.9890876957859,-0.152158095112064,0.451675043033922,-0.336875143886657,0.736211023547964,0.999884470867876
"SKI",83.6507752710272,-0.120378260871987,0.378381642364337,-0.318139802237226,0.750378892999888,0.999884470867876
"MORN1",37.2022128962281,-0.230151834451618,0.459042038012384,-0.501374199731592,0.616107793949619,0.999884470867876
"RER1",62.6778202797997,-0.219918601480401,0.402564323075929,-0.546294315899727,0.584863642828547,0.999884470867876
"PEX10",13.3557704649286,0.91343904130246,0.688589031532725,1.32653730958979,0.184661785419645,NA
"PLCH2",14.7893481201852,-0.0620764043702035,0.67531418645897,-0.0919222572469608,0.926759807600914,0.999884470867876
"PANK4",16.4008611842395,0.278574445088042,0.656685003082148,0.424213197774511,0.671410336617943,0.999884470867876
"HES5",42.5250654601041,2.10167085760317,0.716319904526205,2.93398360749626,0.00334641881596562,0.254573919626809
"AL139246.5",11.0043176285654,0.7595578161784,0.899930124085793,0.84401865861531,0.398658979207225,NA
"TNFRSF14",23.5915170903413,-0.22827538361582,0.582121313870652,-0.392144005341372,0.694951814522126,0.999884470867876
"FAM213B",19.4500660029532,-0.677123251010101,0.562683646229312,-1.20338178574707,0.228828613036626,0.999884470867876
"TTC34",14.6535894910479,0.51920069876401,0.650024117548576,0.798740669380179,0.424440799523264,0.999884470867876
"LINC00982",267.97347155703,-0.257674624599908,0.405224031102822,-0.635881894513126,0.524853404396406,0.999884470867876
"PRDM16",458.284743833308,-0.406813759908683,0.325326241466071,-1.25047938978237,0.211124479588623,0.999884470867876
"ARHGEF16",12.1796178175794,-1.24467221013913,0.77238004890096,-1.61147638641134,0.107075929945221,NA
"TPRG1L",23.6211961319636,-0.545983299492268,0.523812112187705,-1.04232660297213,0.297260282518247,0.999884470867876
"WRAP73",16.9670292719406,0.0787917611504639,0.615102869207164,0.128095258687417,0.89807358815827,0.999884470867876
"LRRC47",27.4604492214715,-0.0904301184325305,0.565703840487239,-0.159854170964516,0.872995950443455,0.999884470867876
"CEP104",40.7086723332788,0.133516461523403,0.473154932567435,0.282183387160134,0.777802896050345,0.999884470867876
"DFFB",16.6821996852849,0.224130642044829,0.63420540322499,0.353403867114826,0.723785687097152,0.999884470867876
"C1orf174",14.0932337943306,1.02864623893558,0.708907632475581,1.45102999574633,0.146771507867561,NA
"AJAP1",28.8155940452369,0.219503400943347,0.668164712983613,0.328516901114367,0.74252086750839,0.999884470867876
