"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.1",143.214728388578,-0.35512653808144,0.323603962732548,-1.0974109682796,0.272461780859087,0.789595449185867
"AL669831.5",821.798353013547,-0.0426956127726932,0.226129715918943,-0.188810270243286,0.850241522134972,0.977473925832135
"LINC00115",9.88400137943725,-0.522528633916601,1.13530909134119,-0.460252311816966,0.645335126489172,NA
"FAM41C",7.66976564862677,0.208039863759724,1.02069795694548,0.203821181715989,0.838493239671165,NA
"NOC2L",577.58394512659,-0.673066311119263,0.23049488870808,-2.92009213259256,0.00349927916628296,0.124450554294744
"KLHL17",236.793178315713,-0.211936630660187,0.394260479162009,-0.537554844732733,0.590884411604424,0.924063327510597
"HES4",225.950616322851,-1.10694509693637,0.428534501474358,-2.5830944606046,0.00979185093649516,0.219707281957067
"ISG15",37.7732892050185,-0.870776357920695,0.540181161602097,-1.61200800734721,0.106960197280099,NA
"AGRN",795.003533636671,-0.434093141659985,0.20868262059767,-2.08015952845875,0.0375109030036784,0.399810399394966
"C1orf159",564.058303686154,0.0355074246213089,0.288978479004544,0.122872210912117,0.902208291328705,0.984467155657475
"TNFRSF18",54.5730969549649,-0.39186649510786,0.585896923553719,-0.668831801899589,0.503602777770751,NA
"TNFRSF4",27.7137672981722,-0.273570430681674,0.551928859617505,-0.495662486051668,0.620132558669493,NA
"SDF4",755.3370075493,0.0150388815215571,0.20546019503261,0.0731960831594178,0.94165008321514,0.9895370120701
"B3GALT6",117.78622498459,-0.438136263402694,0.371118677666334,-1.18058262698547,0.237768568521522,NA
"C1QTNF12",25.196285215912,-1.13776021233079,0.602643708613446,-1.88794837823584,0.059032880925316,NA
"UBE2J2",469.625264075313,-0.540675921641839,0.227714560641746,-2.37435814432816,0.0175794897195613,0.287204913293333
"LINC01786",18.8061630384587,0.497592871650514,0.783300559605597,0.635251520694763,0.525264386275396,NA
"SCNN1D",355.267727436605,-0.225919601139147,0.319269863189408,-0.707613298926119,0.479185431919933,0.891956415909504
"ACAP3",3000.80238254144,-0.385469250358516,0.25999942214049,-1.4825773349228,0.138186742641788,0.639482237603729
"PUSL1",78.4510307624063,0.21107481330429,0.365351415734629,0.577730930315056,0.563445793400236,NA
"INTS11",1202.76524031141,-0.128208424491591,0.251665423967672,-0.509439963862735,0.610443870032574,0.925634506000845
"CPTP",177.793647543787,-0.567430290808127,0.354827436625893,-1.59917253356704,0.109782271482736,0.599647880481821
"TAS1R3",8.51530233983298,0.0625950256839052,1.0848508213558,0.0576992010806397,0.953988230083029,NA
"DVL1",581.789411549339,-0.298665810901178,0.255490038161035,-1.16899200082677,0.242406854238019,0.766329034918152
