AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.80412
AGID00111	913	sc-23957	Old	1433EPSILON	0.20998
AGID00101	883	sc-1019	Old	1433ZETA	-0.28922
AGID00001	2	9452	Old	4EBP1	-0.76158
AGID00002	3	9456	Old	4EBP1_pS65	-0.082912
AGID00003	6	9459	Old	4EBP1_pT37T46	0.27588
AGID00443	8	9455	Old	4EBP1_pT70	0.48563
AGID00120	985	4937	Old	53BP1	-2.0324
AGID00004	13	3661	Old	ACC_pS79	-1.5141
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.8733
AGID00408	2372	3658	Set179	AceCS1	-1.337361
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.072065
AGID00404	2367	9189	Set179	ACSL1	-0.6034231
AGID02144	2450	PA5-27081	Old	ACVRL1	0.65099
AGID00186	1198	ab88574	Old	ADAR1	0.17789
AGID00146	1084	4691	Old	AKT	-1.8425
AGID00028	230	9271	Old	AKT_pS473	-0.37897
AGID00170	1154	2965	Old	AKT_pT308	-0.57254
AGID00316	1800	3063	Set179	Akt2	-1.449121
AGID00347	2009	8599	Set179	Akt2_pS474	1.948171
AGID02215	2577	ab195377	Set179	ALKBH5	-2.107607
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.5741191
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	1.145997
AGID00006	39	2532	Old	AMPKALPHA	-0.56582
AGID00007	40	2535	Old	AMPKALPHA_pT172	-1.127
AGID00193	1208	610066	Old	ANNEXIN1	-0.048025
AGID00166	1142	610668	Old	ANNEXINVII	-0.3252
AGID00371	756	1852-1/ab52615	Old	AR	-0.46028
AGID00194	1217	4432	Old	ARAF	-0.31902
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.093643
AGID00260	1053	sc-32761	Old	ARID1A	-0.17799
AGID00264	1560	HPA029318	Old	ASNS	0.10314
AGID00276	1612	3415	Set179	Atg3	-0.03167422
AGID00309	1775	13507	Set179	Atg4B	0.3676681
AGID00310	1776	12994	Set179	Atg5	-1.000733
AGID00277	1613	8558	Set179	Atg7	-0.7740565
AGID00242	1363	2873	Old	ATM	-1.0232
AGID02142	2447	13050	Set179	ATM_pS1981	4.249401
AGID00217	1289	ab14748	Set179	ATP5A	-0.5381269
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.08331926
AGID02150	2456	13934	Set179	ATR	0.1000403
AGID00315	1795	ab178407	Set179	ATR_pS428	0.1340365
AGID00268	1569	ab97508	Set179	ATRX	-2.072449
AGID00391	2332	14475	Set179	Aurora-A	-0.4739702
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.1866582
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.1858529
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.1124305
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.8883922
AGID00301	1725	14058	Set179	B7-H3	-0.2728269
AGID00302	1726	14572	Set179	B7-H4	0.3022036
AGID00008	63	9291	Old	BAD_pS112	-0.41434
AGID00009	71	1542-1/ab32371	Old	BAK	-0.22428
AGID00192	1207	sc-28383	Old	BAP1C4	-0.914
AGID00010	73	2772	Old	BAX	-0.17344
AGID00433	80	M0887	Old	BCL2	0.1693
AGID00219	1299	PAB8528	Old	BCL2A1	0.98262
AGID00012	84	1018-1	Old	BCLXL	0.081879
AGID00377	87	sc-10086	Old	BECLIN	0.58299
AGID00011	75	9562	Old	BETACATENIN	-2.2221
AGID00013	88	1008-1/ab32060	Old	BID	1.1543
AGID00180	90	1036-1/ab32158	Old	BIM	-0.23738
AGID00221	1311	610978	Set179	BiP-GRP78	-0.08222087
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.2281867
AGID00355	92	1647/ab33899	Old	BRAF	-1.6809
AGID00014	94	2696	Old	BRAF_pS445	-1.0255
AGID00445	761	9012	Old	BRCA2	0.32785
AGID00266	1567	13440	Old	BRD4	-1.337
AGID00168	1146	2865	Set179	c-Abl_pY412	1.416763
AGID00278	1615	3130	Set179	c-IAP2	0.4596659
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.28176
AGID00429	2407	2679	Set179	Calnexin	-0.7882322
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.9885021
AGID00623	111	9665	Old	CASPASE3	-0.50114
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.50567
AGID00118	951	9746	Old	CASPASE8	-0.071068
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	3.2906
AGID00358	2100	ab76000	Set179	CD134	0.4032726
