AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.27925
AGID00111	913	sc-23957	Old	1433EPSILON	-0.077039
AGID00101	883	sc-1019	Old	1433ZETA	-0.27497
AGID00001	2	9452	Old	4EBP1	-0.032961
AGID00002	3	9456	Old	4EBP1_pS65	-0.13612
AGID00003	6	9459	Old	4EBP1_pT37T46	0.94281
AGID00443	8	9455	Old	4EBP1_pT70	0.11427
AGID00120	985	4937	Old	53BP1	-0.50536
AGID00004	13	3661	Old	ACC_pS79	0.84233
AGID00005	14	1768-1/ab45174	Old	ACC1	1.3154
AGID00408	2372	3658	Set179	AceCS1	-0.1354428
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-2.6482
AGID00404	2367	9189	Set179	ACSL1	-0.3172126
AGID02144	2450	PA5-27081	Old	ACVRL1	0.0042389
AGID00186	1198	ab88574	Old	ADAR1	0.25071
AGID00146	1084	4691	Old	AKT	-0.21765
AGID00028	230	9271	Old	AKT_pS473	-0.37936
AGID00170	1154	2965	Old	AKT_pT308	-0.96604
AGID00316	1800	3063	Set179	Akt2	-0.1229255
AGID00347	2009	8599	Set179	Akt2_pS474	0.3597265
AGID02215	2577	ab195377	Set179	ALKBH5	-0.3341742
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.2935024
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.1908333
AGID00006	39	2532	Old	AMPKALPHA	-0.29707
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.03201
AGID00193	1208	610066	Old	ANNEXIN1	-1.1124
AGID00166	1142	610668	Old	ANNEXINVII	-0.052633
AGID00371	756	1852-1/ab52615	Old	AR	-1.6954
AGID00194	1217	4432	Old	ARAF	1.0713
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.44461
AGID00260	1053	sc-32761	Old	ARID1A	0.14648
AGID00264	1560	HPA029318	Old	ASNS	0.72207
AGID00276	1612	3415	Set179	Atg3	-0.2895616
AGID00309	1775	13507	Set179	Atg4B	-0.3686464
AGID00310	1776	12994	Set179	Atg5	-0.2087838
AGID00277	1613	8558	Set179	Atg7	-0.3857259
AGID00242	1363	2873	Old	ATM	1.0219
AGID02142	2447	13050	Set179	ATM_pS1981	3.354139
AGID00217	1289	ab14748	Set179	ATP5A	0.4086661
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.3033139
AGID02150	2456	13934	Set179	ATR	-0.03425527
AGID00315	1795	ab178407	Set179	ATR_pS428	0.1238274
AGID00268	1569	ab97508	Set179	ATRX	-0.4770714
AGID00391	2332	14475	Set179	Aurora-A	0.3445375
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.07120402
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.1047241
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.4206657
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.06084771
AGID00301	1725	14058	Set179	B7-H3	-0.3625765
AGID00302	1726	14572	Set179	B7-H4	-0.4125323
AGID00008	63	9291	Old	BAD_pS112	0.24002
AGID00009	71	1542-1/ab32371	Old	BAK	-0.53097
AGID00192	1207	sc-28383	Old	BAP1C4	0.017802
AGID00010	73	2772	Old	BAX	-0.8202
AGID00433	80	M0887	Old	BCL2	-0.57682
AGID00219	1299	PAB8528	Old	BCL2A1	-0.22195
AGID00012	84	1018-1	Old	BCLXL	-0.36513
AGID00377	87	sc-10086	Old	BECLIN	0.31716
AGID00011	75	9562	Old	BETACATENIN	-0.29433
AGID00013	88	1008-1/ab32060	Old	BID	-0.37442
AGID00180	90	1036-1/ab32158	Old	BIM	-0.53037
AGID00221	1311	610978	Set179	BiP-GRP78	0.2508441
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.2584771
AGID00355	92	1647/ab33899	Old	BRAF	-0.42166
AGID00014	94	2696	Old	BRAF_pS445	-0.13229
AGID00445	761	9012	Old	BRCA2	-0.4768
AGID00266	1567	13440	Old	BRD4	-0.39784
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.005921319
AGID00278	1615	3130	Set179	c-IAP2	0.8046848
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.094351
AGID00429	2407	2679	Set179	Calnexin	0.604327
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.4237194
AGID00623	111	9665	Old	CASPASE3	0.037815
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.4719
AGID00118	951	9746	Old	CASPASE8	0.83517
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.247
AGID00358	2100	ab76000	Set179	CD134	-0.3404336
AGID00303	1737	826701	Set179	CD171	0.1190191
AGID00410	125	1632-1/ab78237	Old	CD20	-0.35672
AGID00220	1308	ab28340	Old	CD26	-0.28936
AGID00191	1206	610467	Set179	CD29	0.07994624
AGID00017	127	M0823	Old	CD31	0.01233
AGID00369	2174	ab108403	Set179	CD38	-0.05838422
AGID00359	2104	ab133616	Set179	CD4	-0.6153721
AGID00411	1398	3570	Set179	CD44	-0.6377944
AGID00237	1352	M070101-2	Set179	CD45	0.1760885
AGID00115	937	611016	Old	CD49B	0.17206
AGID02171	2482	91882	Set179	CD86	-0.04672933
AGID00329	1873	4688	Set179	cdc25C	0.1978884
AGID00227	1332	4651	Set179	Cdc42	-0.009735352
AGID00422	2396	3387	Set179	Cdc6	-0.1621266
AGID00501	1007	9112	Old	CDK1	0.21675
AGID00293	1658	ab32384	Set179	CDK1_pT14	-0.8914089
