AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.15361
AGID00111	913	sc-23957	Old	1433EPSILON	0.17185
AGID00101	883	sc-1019	Old	1433ZETA	0.3084
AGID00001	2	9452	Old	4EBP1	0.41323
AGID00002	3	9456	Old	4EBP1_pS65	-0.18835
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.44741
AGID00443	8	9455	Old	4EBP1_pT70	0.067529
AGID00120	985	4937	Old	53BP1	-0.99877
AGID00004	13	3661	Old	ACC_pS79	0.72219
AGID00005	14	1768-1/ab45174	Old	ACC1	1.0229
AGID00408	2372	3658	Set179	AceCS1	-0.1440231
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4876
AGID00404	2367	9189	Set179	ACSL1	-0.09790525
AGID02144	2450	PA5-27081	Old	ACVRL1	0.31004
AGID00186	1198	ab88574	Old	ADAR1	0.26641
AGID00146	1084	4691	Old	AKT	-0.28475
AGID00028	230	9271	Old	AKT_pS473	-0.75354
AGID00170	1154	2965	Old	AKT_pT308	-1.0164
AGID00316	1800	3063	Set179	Akt2	0.4458432
AGID00347	2009	8599	Set179	Akt2_pS474	0.1874528
AGID02215	2577	ab195377	Set179	ALKBH5	-0.1422386
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.3425385
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.1197845
AGID00006	39	2532	Old	AMPKALPHA	-0.031432
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.78803
AGID00193	1208	610066	Old	ANNEXIN1	1.2559
AGID00166	1142	610668	Old	ANNEXINVII	0.15379
AGID00371	756	1852-1/ab52615	Old	AR	-1.6121
AGID00194	1217	4432	Old	ARAF	0.038828
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.24423
AGID00260	1053	sc-32761	Old	ARID1A	0.2852
AGID00264	1560	HPA029318	Old	ASNS	0.32364
AGID00276	1612	3415	Set179	Atg3	-0.2279405
AGID00309	1775	13507	Set179	Atg4B	-0.3590231
AGID00310	1776	12994	Set179	Atg5	0.008468299
AGID00277	1613	8558	Set179	Atg7	-0.2608549
AGID00242	1363	2873	Old	ATM	-0.42993
AGID02142	2447	13050	Set179	ATM_pS1981	1.31269
AGID00217	1289	ab14748	Set179	ATP5A	1.769471
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.3870399
AGID02150	2456	13934	Set179	ATR	0.00619092
AGID00315	1795	ab178407	Set179	ATR_pS428	0.2379631
AGID00268	1569	ab97508	Set179	ATRX	-1.308821
AGID00391	2332	14475	Set179	Aurora-A	-0.1734855
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.175559
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.4725878
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.3457914
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.5695389
AGID00301	1725	14058	Set179	B7-H3	-0.07018948
AGID00302	1726	14572	Set179	B7-H4	-0.297807
AGID00008	63	9291	Old	BAD_pS112	-0.27753
AGID00009	71	1542-1/ab32371	Old	BAK	-0.7508
AGID00192	1207	sc-28383	Old	BAP1C4	-0.16352
AGID00010	73	2772	Old	BAX	-0.46523
AGID00433	80	M0887	Old	BCL2	-0.43877
AGID00219	1299	PAB8528	Old	BCL2A1	-0.058139
AGID00012	84	1018-1	Old	BCLXL	-0.54499
AGID00377	87	sc-10086	Old	BECLIN	0.12341
AGID00011	75	9562	Old	BETACATENIN	-0.48793
AGID00013	88	1008-1/ab32060	Old	BID	-0.38292
AGID00180	90	1036-1/ab32158	Old	BIM	-0.0014889
AGID00221	1311	610978	Set179	BiP-GRP78	0.1406471
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.0003255085
AGID00355	92	1647/ab33899	Old	BRAF	-1.0874
AGID00014	94	2696	Old	BRAF_pS445	0.11831
AGID00445	761	9012	Old	BRCA2	-0.24399
AGID00266	1567	13440	Old	BRD4	-0.1566
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.4557659
AGID00278	1615	3130	Set179	c-IAP2	0.08141776
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.10984
AGID00429	2407	2679	Set179	Calnexin	-0.4270141
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.5092539
AGID00623	111	9665	Old	CASPASE3	0.10005
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.4449
AGID00118	951	9746	Old	CASPASE8	-0.26134
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.1235
AGID00358	2100	ab76000	Set179	CD134	-0.3017961
AGID00303	1737	826701	Set179	CD171	0.3133506
AGID00410	125	1632-1/ab78237	Old	CD20	-0.25393
AGID00220	1308	ab28340	Old	CD26	-0.18074
