AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.30625
AGID00111	913	sc-23957	Old	1433EPSILON	0.067204
AGID00101	883	sc-1019	Old	1433ZETA	-0.16022
AGID00001	2	9452	Old	4EBP1	-0.31606
AGID00002	3	9456	Old	4EBP1_pS65	-0.39928
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.0976
AGID00443	8	9455	Old	4EBP1_pT70	0.10616
AGID00120	985	4937	Old	53BP1	-1.3084
AGID00004	13	3661	Old	ACC_pS79	0.14748
AGID00005	14	1768-1/ab45174	Old	ACC1	0.24232
AGID00408	2372	3658	Set179	AceCS1	-0.02444857
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4053
AGID00404	2367	9189	Set179	ACSL1	-0.2357157
AGID02144	2450	PA5-27081	Old	ACVRL1	0.33831
AGID00186	1198	ab88574	Old	ADAR1	0.05533
AGID00146	1084	4691	Old	AKT	-0.69225
AGID00028	230	9271	Old	AKT_pS473	-0.10577
AGID00170	1154	2965	Old	AKT_pT308	-0.35165
AGID00316	1800	3063	Set179	Akt2	-0.4215283
AGID00347	2009	8599	Set179	Akt2_pS474	0.7412255
AGID02215	2577	ab195377	Set179	ALKBH5	-0.4265274
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.3513719
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	-0.02974694
AGID00006	39	2532	Old	AMPKALPHA	-0.16413
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.50875
AGID00193	1208	610066	Old	ANNEXIN1	0.19741
AGID00166	1142	610668	Old	ANNEXINVII	0.097295
AGID00371	756	1852-1/ab52615	Old	AR	-1.9872
AGID00194	1217	4432	Old	ARAF	0.25835
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.090916
AGID00260	1053	sc-32761	Old	ARID1A	0.096831
AGID00264	1560	HPA029318	Old	ASNS	0.47095
AGID00276	1612	3415	Set179	Atg3	-0.3767939
AGID00309	1775	13507	Set179	Atg4B	-0.3122869
AGID00310	1776	12994	Set179	Atg5	-0.0359957
AGID00277	1613	8558	Set179	Atg7	-0.08565085
AGID00242	1363	2873	Old	ATM	-0.28935
AGID02142	2447	13050	Set179	ATM_pS1981	4.58071
AGID00217	1289	ab14748	Set179	ATP5A	2.957475
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.3454424
AGID02150	2456	13934	Set179	ATR	-0.1148178
AGID00315	1795	ab178407	Set179	ATR_pS428	0.2042355
AGID00268	1569	ab97508	Set179	ATRX	-1.223316
AGID00391	2332	14475	Set179	Aurora-A	0.09714714
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.01607026
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.4751377
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.114525
