AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.51665
AGID00111	913	sc-23957	Old	1433EPSILON	0.17391
AGID00101	883	sc-1019	Old	1433ZETA	-0.25244
AGID00001	2	9452	Old	4EBP1	-1.0839
AGID00002	3	9456	Old	4EBP1_pS65	-0.1637
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.45762
AGID00443	8	9455	Old	4EBP1_pT70	0.15023
AGID00120	985	4937	Old	53BP1	-1.5058
AGID00004	13	3661	Old	ACC_pS79	-1.3005
AGID00005	14	1768-1/ab45174	Old	ACC1	-1.1765
AGID00408	2372	3658	Set179	AceCS1	-0.03774158
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.2261
AGID00404	2367	9189	Set179	ACSL1	-0.3587461
AGID02144	2450	PA5-27081	Old	ACVRL1	0.58826
AGID00186	1198	ab88574	Old	ADAR1	-1.3154
AGID00146	1084	4691	Old	AKT	-0.27961
AGID00028	230	9271	Old	AKT_pS473	-0.27762
AGID00170	1154	2965	Old	AKT_pT308	-0.49007
AGID00316	1800	3063	Set179	Akt2	-0.1808445
AGID00347	2009	8599	Set179	Akt2_pS474	1.200951
AGID02215	2577	ab195377	Set179	ALKBH5	-0.941326
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.2629807
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.9092467
AGID00006	39	2532	Old	AMPKALPHA	-0.057361
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.64283
AGID00193	1208	610066	Old	ANNEXIN1	0.58058
AGID00166	1142	610668	Old	ANNEXINVII	0.27368
AGID00371	756	1852-1/ab52615	Old	AR	-1.688
AGID00194	1217	4432	Old	ARAF	0.0599
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.040774
AGID00260	1053	sc-32761	Old	ARID1A	-0.082204
AGID00264	1560	HPA029318	Old	ASNS	-0.10663
AGID00276	1612	3415	Set179	Atg3	-0.1930489
AGID00309	1775	13507	Set179	Atg4B	0.02226981
AGID00310	1776	12994	Set179	Atg5	-0.1637192
AGID00277	1613	8558	Set179	Atg7	0.1049648
AGID00242	1363	2873	Old	ATM	0.2496
AGID02142	2447	13050	Set179	ATM_pS1981	2.815303
AGID00217	1289	ab14748	Set179	ATP5A	0.8574326
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.08337267
AGID02150	2456	13934	Set179	ATR	-0.1239753
AGID00315	1795	ab178407	Set179	ATR_pS428	0.07473617
AGID00268	1569	ab97508	Set179	ATRX	-1.372734
AGID00391	2332	14475	Set179	Aurora-A	-0.5236525
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.06154377
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.430011
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.4416757
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.05710893
AGID00301	1725	14058	Set179	B7-H3	0.2121285
AGID00302	1726	14572	Set179	B7-H4	-0.2466656
AGID00008	63	9291	Old	BAD_pS112	-0.077152
AGID00009	71	1542-1/ab32371	Old	BAK	-1.0243
AGID00192	1207	sc-28383	Old	BAP1C4	-1.1196
AGID00010	73	2772	Old	BAX	-0.38003
AGID00433	80	M0887	Old	BCL2	0.077809
AGID00219	1299	PAB8528	Old	BCL2A1	0.19157
AGID00012	84	1018-1	Old	BCLXL	-0.31425
AGID00377	87	sc-10086	Old	BECLIN	0.2704
AGID00011	75	9562	Old	BETACATENIN	-2.0433
AGID00013	88	1008-1/ab32060	Old	BID	0.15505
AGID00180	90	1036-1/ab32158	Old	BIM	-0.3296
AGID00221	1311	610978	Set179	BiP-GRP78	-0.1014465
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.03571926
AGID00355	92	1647/ab33899	Old	BRAF	-1.2352
AGID00014	94	2696	Old	BRAF_pS445	0.014831
AGID00445	761	9012	Old	BRCA2	-0.12693
AGID00266	1567	13440	Old	BRD4	-1.0924
AGID00168	1146	2865	Set179	c-Abl_pY412	0.1692874
AGID00278	1615	3130	Set179	c-IAP2	0.1121003
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.11981
AGID00429	2407	2679	Set179	Calnexin	-0.1467603
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.1957572
AGID00623	111	9665	Old	CASPASE3	-0.20457
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.2351
AGID00118	951	9746	Old	CASPASE8	2.0132
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.54558
AGID00358	2100	ab76000	Set179	CD134	-0.1535197
AGID00303	1737	826701	Set179	CD171	0.4282113
AGID00410	125	1632-1/ab78237	Old	CD20	0.45372
AGID00220	1308	ab28340	Old	CD26	0.057573
AGID00191	1206	610467	Set179	CD29	0.07115029
AGID00017	127	M0823	Old	CD31	0.20677
AGID00369	2174	ab108403	Set179	CD38	0.2818801
AGID00359	2104	ab133616	Set179	CD4	0.5919889
AGID00411	1398	3570	Set179	CD44	-0.03335355
AGID00237	1352	M070101-2	Set179	CD45	0.5212396
AGID00115	937	611016	Old	CD49B	0.36691
AGID02171	2482	91882	Set179	CD86	0.2283758
AGID00329	1873	4688	Set179	cdc25C	-0.4755935
AGID00227	1332	4651	Set179	Cdc42	0.3187564
AGID00422	2396	3387	Set179	Cdc6	0.3742998
AGID00501	1007	9112	Old	CDK1	0.0035591
AGID00293	1658	ab32384	Set179	CDK1_pT14	-1.949461
AGID00314	1783	4539	Old	CDK1_pY15	-0.53413
AGID00423	2397	8064	Set179	CDT1	0.2879379
AGID02101	2348	15102	Set179	cGAS	-0.08252271
AGID00447	2410	13460	Set179	CHD1L	-0.4826219
AGID00189	1203	2360	Old	CHK1	-0.91144
AGID00234	1348	ab79758	Old	CHK1_pS296	0.32935
AGID00107	903	2348	Old	CHK1_pS345	-0.7221
AGID00018	146	3440	Old	CHK2	-0.25077
AGID00019	147	2197	Old	CHK2_pT68	0.83222
AGID00527	2078	4952	Old	CIAP	0.20152
AGID00350	2018	3793	Set179	CIITA	0.5590064
AGID00434	155	9164	Old	CJUN_pS73	-0.23676
AGID00020	157	1522-1/ab32363	Old	CKIT	0.52674
AGID00400	852	NB100-91714	Old	CLAUDIN7	-1.0678
AGID00466	726	3127	Old	CMET	2.3506
AGID00079	727	3129	Old	CMET_pY1235	0.2201
AGID00167	161	9402	Old	CMYC	0.26186
AGID00292	1656	11130-1-AP	Old	COG3	-0.87268
AGID00021	171	sc-20649	Old	COLLAGENVI	0.49844
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-1.950901
AGID00269	1571	6434	Set179	Coup-TFII	-0.2406597
AGID00150	1116	4850	Set179	Cox-IV	-0.2746133
AGID00195	1218	4842	Set179	Cox2	0.2158492
AGID00188	803	05-739	Old	CRAF	-0.12519
AGID00022	179	9427	Old	CRAF_pS338	0.65974
AGID00023	181	9197	Set179	Creb	0.05695504
AGID00393	2334	9198	Set179	CREB_pS133	-0.7044136
AGID00365	2155	4980	Set179	CSK	0.7989263
AGID00367	2160	9201	Set179	CtIP	0.4290581
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.4759461
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-1.505
AGID00382	194	sc-718	Old	CYCLIND1	0.36957
AGID00437	199	sc-25303	Old	CYCLINE1	-0.54026
AGID00449	202	1142-1	Old	CYCLINE2	-0.95659
AGID00209	1257	ab110324	Set179	Cyclophilin-F	-0.5552586
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.4181748
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.259811
AGID00304	1744	ab51601	Set179	DAPK2	0.4451006
AGID00343	1980	6998	Set179	DDB-1	0.02398278
AGID00427	2402	5583	Set179	DDR1	-0.8597699
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.1062191
AGID00532	1273	Bast Lab	Old	DIRAS3	0.62091
AGID00104	891	ab76008	Old	DJ1	0.059103
AGID02146	2452	4658	Set179	DM-Histone-H3	0.03748404
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.1603914
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.5635336
AGID00407	2371	13609	Set179	DNA_POLG	-0.4480529
AGID00399	2344	5032	Set179	DNMT1	-0.3542324
AGID00409	2373	5391	Set179	DRP1	-0.04863191
AGID00253	1406	5149	Old	DUSP4	1.0581
AGID00334	1936	ab76310	Set179	DUSP6	0.1008541
AGID00116	940	3218	Old	DVL3	-1.1176
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-2.3542
AGID00135	1060	2332	Old	EEF2	-1.0809
AGID00136	1061	3692	Old	EEF2K	-1.5433
AGID00152	1120	2232	Old	EGFR	0.3342
AGID00450	217	2234	Old	EGFR_pY1068	-0.2338
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.77188
AGID00078	722	9742	Old	EIF4E	-0.46098
AGID00328	1871	ab76256	Set179	eIF4E_pS209	-0.1117433
AGID00154	1124	2498	Old	EIF4G	-0.87619
AGID00027	228	9181	Set179	Elk1_pS383	-0.119248
AGID00235	1350	M061329-2	Set179	EMA	-1.767445
AGID00394	2337	3810	Set179	Enolase-1	0.2203139
AGID00395	2338	8171	Set179	Enolase-2	-0.417222
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	0.4007553
AGID00552	2422	6347	Set179	EphA2_pS897	0.7609097
AGID00553	2423	12677	Set179	EphA2_pY588	0.2750317
AGID00075	693	556347	Old	EPPK1	-2.4136
AGID00335	238	RM-9101	Old	ERALPHA	-1.2674
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.95677
AGID00240	247	MS-671	Old	ERCC1	-1.2569
AGID00239	1355	11331-1-AP	Old	ERCC5	-1.0678
AGID00484	249	sc-154	Old	ERK2	0.072051
AGID00372	2193	3552	Set179	Erk5	-0.2127968
AGID00405	2369	13826	Set179	ERRalpha	0.1099537
AGID00187	1200	A303-501A	Old	ETS1	0.81702
AGID00511	2492	2593	Set179	EVI1	-0.3858386
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set179	FAK	-1.549787
AGID02151	2457	8556	Set179	FAK_pY397	0.043746
AGID00171	1156	3180	Old	FASN	-1.7051
AGID00356	2085	500-P18/10775-082	Set179	FGF-basic	0.1372489
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.26581
AGID00339	1959	4403	Set179	FN14	0.4674767
AGID02152	2458	20459	Old	FOXM1	0.18952
AGID00378	269	9467	Old	FOXO3A	0.16431
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.54731
AGID02167	2475	PA5-64616	Set179	FRS2-alpha_pY196	-0.3438947
AGID02213	2575	ab124892	Set179	FTO	-0.3576553
AGID02141	2446	12263	Old	G6PD	-0.0026538
AGID00117	943	3239	Old	GAB2	-0.42868
AGID00412	274	AM4300	Old	GAPDH	-2.4072
AGID00086	764	558686	Old	GATA3	-0.83706
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set179	GCLC	0.5919633
