AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.24846
AGID00111	913	sc-23957	Old	1433EPSILON	0.068068
AGID00101	883	sc-1019	Old	1433ZETA	0.12749
AGID00001	2	9452	Old	4EBP1	-0.79164
AGID00002	3	9456	Old	4EBP1_pS65	-0.21352
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.31108
AGID00443	8	9455	Old	4EBP1_pT70	-0.098652
AGID00120	985	4937	Old	53BP1	-2.0112
AGID00004	13	3661	Old	ACC_pS79	-0.66188
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.21673
AGID00408	2372	3658	Set179	AceCS1	-0.08853546
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-0.90516
AGID00404	2367	9189	Set179	ACSL1	-0.4418807
AGID02144	2450	PA5-27081	Old	ACVRL1	1.2597
AGID00186	1198	ab88574	Old	ADAR1	0.18419
AGID00146	1084	4691	Old	AKT	-0.16101
AGID00028	230	9271	Old	AKT_pS473	-0.62663
AGID00170	1154	2965	Old	AKT_pT308	-0.68987
AGID00316	1800	3063	Set179	Akt2	-0.09840503
AGID00347	2009	8599	Set179	Akt2_pS474	0.7182749
AGID02215	2577	ab195377	Set179	ALKBH5	-1.403002
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.4011271
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.7413354
AGID00006	39	2532	Old	AMPKALPHA	0.084194
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.064609
AGID00193	1208	610066	Old	ANNEXIN1	0.16108
AGID00166	1142	610668	Old	ANNEXINVII	0.481
AGID00371	756	1852-1/ab52615	Old	AR	-1.7511
AGID00194	1217	4432	Old	ARAF	0.2142
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.064669
AGID00260	1053	sc-32761	Old	ARID1A	-0.13529
AGID00264	1560	HPA029318	Old	ASNS	-0.089485
AGID00276	1612	3415	Set179	Atg3	-0.3085373
AGID00309	1775	13507	Set179	Atg4B	-0.1270747
AGID00310	1776	12994	Set179	Atg5	-0.1326648
AGID00277	1613	8558	Set179	Atg7	-0.1471455
AGID00242	1363	2873	Old	ATM	-1.1373
AGID02142	2447	13050	Set179	ATM_pS1981	1.999715
AGID00217	1289	ab14748	Set179	ATP5A	0.1761999
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.1948732
AGID02150	2456	13934	Set179	ATR	0.09245851
AGID00315	1795	ab178407	Set179	ATR_pS428	0.1358768
