AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.00066379
AGID00111	913	sc-23957	Old	1433EPSILON	0.046272
AGID00101	883	sc-1019	Old	1433ZETA	0.72206
AGID00001	2	9452	Old	4EBP1	1.2072
AGID00002	3	9456	Old	4EBP1_pS65	0.2698
AGID00003	6	9459	Old	4EBP1_pT37T46	1.2429
AGID00443	8	9455	Old	4EBP1_pT70	0.20442
AGID00120	985	4937	Old	53BP1	-1.0297
AGID00004	13	3661	Old	ACC_pS79	0.56381
AGID00005	14	1768-1/ab45174	Old	ACC1	0.21853
AGID00408	2372	3658	Set179	AceCS1	-0.4906183
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.2369
AGID00404	2367	9189	Set179	ACSL1	-0.5228692
AGID02144	2450	PA5-27081	Old	ACVRL1	-0.12331
AGID00186	1198	ab88574	Old	ADAR1	-0.47411
AGID00146	1084	4691	Old	AKT	0.16777
AGID00028	230	9271	Old	AKT_pS473	-0.24455
AGID00170	1154	2965	Old	AKT_pT308	-0.1473
AGID00316	1800	3063	Set179	Akt2	-0.3213809
AGID00347	2009	8599	Set179	Akt2_pS474	-0.09163975
AGID02215	2577	ab195377	Set179	ALKBH5	-0.2536747
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	0.0864177
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.2385851
AGID00006	39	2532	Old	AMPKALPHA	-0.24124
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.13426
AGID00193	1208	610066	Old	ANNEXIN1	2.4822
AGID00166	1142	610668	Old	ANNEXINVII	0.029129
AGID00371	756	1852-1/ab52615	Old	AR	-1.6404
AGID00194	1217	4432	Old	ARAF	0.24657
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.1243
AGID00260	1053	sc-32761	Old	ARID1A	0.2191
AGID00264	1560	HPA029318	Old	ASNS	-0.10317
AGID00276	1612	3415	Set179	Atg3	-0.04363925
AGID00309	1775	13507	Set179	Atg4B	-0.3333742
AGID00310	1776	12994	Set179	Atg5	-0.09261964
AGID00277	1613	8558	Set179	Atg7	0.1817718
AGID00242	1363	2873	Old	ATM	-0.90452
AGID02142	2447	13050	Set179	ATM_pS1981	0.6072692
AGID00217	1289	ab14748	Set179	ATP5A	-0.4124575
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.5176191
AGID02150	2456	13934	Set179	ATR	-0.1086179
AGID00315	1795	ab178407	Set179	ATR_pS428	0.01060968
AGID00268	1569	ab97508	Set179	ATRX	-0.674289
AGID00391	2332	14475	Set179	Aurora-A	-0.1587932
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.1276138
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.5528209
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	0.4594548
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.5701042
AGID00301	1725	14058	Set179	B7-H3	-0.1544588
AGID00302	1726	14572	Set179	B7-H4	-0.3392228
AGID00008	63	9291	Old	BAD_pS112	0.74989
AGID00009	71	1542-1/ab32371	Old	BAK	-0.97912
AGID00192	1207	sc-28383	Old	BAP1C4	-0.46046
AGID00010	73	2772	Old	BAX	-0.67387
AGID00433	80	M0887	Old	BCL2	-0.71506
AGID00219	1299	PAB8528	Old	BCL2A1	0.15474
AGID00012	84	1018-1	Old	BCLXL	-0.57064
AGID00377	87	sc-10086	Old	BECLIN	-0.11408
AGID00011	75	9562	Old	BETACATENIN	1.5513
AGID00013	88	1008-1/ab32060	Old	BID	-0.14275
AGID00180	90	1036-1/ab32158	Old	BIM	-0.74688
AGID00221	1311	610978	Set179	BiP-GRP78	0.03439794
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.08966698
AGID00355	92	1647/ab33899	Old	BRAF	0.012541
AGID00014	94	2696	Old	BRAF_pS445	0.27667
AGID00445	761	9012	Old	BRCA2	-0.0057144
AGID00266	1567	13440	Old	BRD4	-0.33505
AGID00168	1146	2865	Set179	c-Abl_pY412	0.02494754
AGID00278	1615	3130	Set179	c-IAP2	0.06554392
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.17567
AGID00429	2407	2679	Set179	Calnexin	-0.2183414
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.09824478
AGID00623	111	9665	Old	CASPASE3	-0.15555
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.4388
AGID00118	951	9746	Old	CASPASE8	0.075028
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	1.4326
AGID00358	2100	ab76000	Set179	CD134	-0.2803786
AGID00303	1737	826701	Set179	CD171	-0.7217196
AGID00410	125	1632-1/ab78237	Old	CD20	-0.27397
AGID00220	1308	ab28340	Old	CD26	-0.023698
AGID00191	1206	610467	Set179	CD29	0.2508976
AGID00017	127	M0823	Old	CD31	-0.28574
AGID00369	2174	ab108403	Set179	CD38	-0.02291292
AGID00359	2104	ab133616	Set179	CD4	-0.4182006
AGID00411	1398	3570	Set179	CD44	1.49298
AGID00237	1352	M070101-2	Set179	CD45	0.08636442
AGID00115	937	611016	Old	CD49B	0.14306
AGID02171	2482	91882	Set179	CD86	0.2137459
AGID00329	1873	4688	Set179	cdc25C	-0.1426911
AGID00227	1332	4651	Set179	Cdc42	-0.04059825
AGID00422	2396	3387	Set179	Cdc6	-0.3209478
AGID00501	1007	9112	Old	CDK1	-0.72979
AGID00293	1658	ab32384	Set179	CDK1_pT14	-0.251722
AGID00314	1783	4539	Old	CDK1_pY15	-0.37383
AGID00423	2397	8064	Set179	CDT1	-0.7163429
AGID02101	2348	15102	Set179	cGAS	0.5461621
AGID00447	2410	13460	Set179	CHD1L	0.1400256
AGID00189	1203	2360	Old	CHK1	-0.57684
AGID00234	1348	ab79758	Old	CHK1_pS296	0.015111
AGID00107	903	2348	Old	CHK1_pS345	0.060325
AGID00018	146	3440	Old	CHK2	-0.23274
AGID00019	147	2197	Old	CHK2_pT68	0.16438
AGID00527	2078	4952	Old	CIAP	-0.013141
AGID00350	2018	3793	Set179	CIITA	0.131837
AGID00434	155	9164	Old	CJUN_pS73	-0.10562
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.49535
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.84122
AGID00466	726	3127	Old	CMET	-0.37678
AGID00079	727	3129	Old	CMET_pY1235	-0.071894
AGID00167	161	9402	Old	CMYC	-0.77163
AGID00292	1656	11130-1-AP	Old	COG3	-0.35349
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.27716
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	3.230851
AGID00269	1571	6434	Set179	Coup-TFII	-1.073694
AGID00150	1116	4850	Set179	Cox-IV	0.1280571
AGID00195	1218	4842	Set179	Cox2	-0.5039767
AGID00188	803	05-739	Old	CRAF	0.0948
AGID00022	179	9427	Old	CRAF_pS338	-0.072444
AGID00023	181	9197	Set179	Creb	-0.6154285
AGID00393	2334	9198	Set179	CREB_pS133	1.193137
AGID00365	2155	4980	Set179	CSK	0.08965512
AGID00367	2160	9201	Set179	CtIP	-0.4572722
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.2641492
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.21797
AGID00382	194	sc-718	Old	CYCLIND1	0.14442
AGID00437	199	sc-25303	Old	CYCLINE1	0.09457
AGID00449	202	1142-1	Old	CYCLINE2	-0.48008
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.1783587
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.01337242
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.2816277
AGID00304	1744	ab51601	Set179	DAPK2	0.04033098
AGID00343	1980	6998	Set179	DDB-1	0.1409248
AGID00427	2402	5583	Set179	DDR1	-0.05761715
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.2787827
AGID00532	1273	Bast Lab	Old	DIRAS3	-0.036114
AGID00104	891	ab76008	Old	DJ1	-0.7685
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.4012856
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.04363587
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.4801467
