AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.22628
AGID00111	913	sc-23957	Old	1433EPSILON	0.22498
AGID00101	883	sc-1019	Old	1433ZETA	0.39235
AGID00001	2	9452	Old	4EBP1	0.022107
AGID00002	3	9456	Old	4EBP1_pS65	-0.19322
AGID00003	6	9459	Old	4EBP1_pT37T46	-1.2453
AGID00443	8	9455	Old	4EBP1_pT70	0.087033
AGID00120	985	4937	Old	53BP1	-0.93949
AGID00004	13	3661	Old	ACC_pS79	0.015529
AGID00005	14	1768-1/ab45174	Old	ACC1	0.50745
AGID00408	2372	3658	Set179	AceCS1	-0.0249164
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4166
AGID00404	2367	9189	Set179	ACSL1	-0.1055238
AGID02144	2450	PA5-27081	Old	ACVRL1	0.49536
AGID00186	1198	ab88574	Old	ADAR1	0.43861
AGID00146	1084	4691	Old	AKT	-1.2698
AGID00028	230	9271	Old	AKT_pS473	-0.88874
AGID00170	1154	2965	Old	AKT_pT308	-0.98633
AGID00316	1800	3063	Set179	Akt2	0.02996462
AGID00347	2009	8599	Set179	Akt2_pS474	0.3978176
AGID02215	2577	ab195377	Set179	ALKBH5	-0.3837755
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.5273569
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.2507225
AGID00006	39	2532	Old	AMPKALPHA	-0.4236
AGID00007	40	2535	Old	AMPKALPHA_pT172	-0.093091
AGID00193	1208	610066	Old	ANNEXIN1	1.8928
AGID00166	1142	610668	Old	ANNEXINVII	0.14736
AGID00371	756	1852-1/ab52615	Old	AR	-1.5981
AGID00194	1217	4432	Old	ARAF	0.47778
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.000208
AGID00260	1053	sc-32761	Old	ARID1A	0.027743
AGID00264	1560	HPA029318	Old	ASNS	0.78375
AGID00276	1612	3415	Set179	Atg3	-0.0920899
AGID00309	1775	13507	Set179	Atg4B	-0.3152104
AGID00310	1776	12994	Set179	Atg5	-0.4850378
AGID00277	1613	8558	Set179	Atg7	-0.2911917
AGID00242	1363	2873	Old	ATM	-1.4298
AGID02142	2447	13050	Set179	ATM_pS1981	1.616654
AGID00217	1289	ab14748	Set179	ATP5A	-0.5327558
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.3948026
AGID02150	2456	13934	Set179	ATR	0.005093371
AGID00315	1795	ab178407	Set179	ATR_pS428	0.1965895
AGID00268	1569	ab97508	Set179	ATRX	-0.839944
AGID00391	2332	14475	Set179	Aurora-A	0.249076
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.2401087
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.2996847
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	1.054191
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.24136
AGID00301	1725	14058	Set179	B7-H3	0.4130284
AGID00302	1726	14572	Set179	B7-H4	-0.2475974
AGID00008	63	9291	Old	BAD_pS112	-0.65143
AGID00009	71	1542-1/ab32371	Old	BAK	-0.12622
AGID00192	1207	sc-28383	Old	BAP1C4	-0.3814
AGID00010	73	2772	Old	BAX	-0.24206
AGID00433	80	M0887	Old	BCL2	-0.26278
AGID00219	1299	PAB8528	Old	BCL2A1	0.025605
AGID00012	84	1018-1	Old	BCLXL	-0.50927
AGID00377	87	sc-10086	Old	BECLIN	0.012363
AGID00011	75	9562	Old	BETACATENIN	-1.3386
AGID00013	88	1008-1/ab32060	Old	BID	-0.29655
AGID00180	90	1036-1/ab32158	Old	BIM	0.28833
AGID00221	1311	610978	Set179	BiP-GRP78	0.5148175
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.01289953
AGID00355	92	1647/ab33899	Old	BRAF	-1.5244
AGID00014	94	2696	Old	BRAF_pS445	-0.20676
AGID00445	761	9012	Old	BRCA2	0.43811
AGID00266	1567	13440	Old	BRD4	-1.0336
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.1197031
AGID00278	1615	3130	Set179	c-IAP2	0.08301331
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.13745
AGID00429	2407	2679	Set179	Calnexin	-0.1560423
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.2780553
AGID00623	111	9665	Old	CASPASE3	0.15935
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.77572
AGID00118	951	9746	Old	CASPASE8	0.29031
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	2.2473
AGID00358	2100	ab76000	Set179	CD134	-0.1373005
AGID00303	1737	826701	Set179	CD171	-0.128795
AGID00410	125	1632-1/ab78237	Old	CD20	-0.21838
AGID00220	1308	ab28340	Old	CD26	-0.27414
AGID00191	1206	610467	Set179	CD29	0.1598057
AGID00017	127	M0823	Old	CD31	0.3916
AGID00369	2174	ab108403	Set179	CD38	0.7688828
AGID00359	2104	ab133616	Set179	CD4	-0.1216117
AGID00411	1398	3570	Set179	CD44	2.276231
AGID00237	1352	M070101-2	Set179	CD45	0.1455161
AGID00115	937	611016	Old	CD49B	0.74871
AGID02171	2482	91882	Set179	CD86	0.5298579
AGID00329	1873	4688	Set179	cdc25C	-0.08280041
AGID00227	1332	4651	Set179	Cdc42	-0.02946302
AGID00422	2396	3387	Set179	Cdc6	-0.06223131
AGID00501	1007	9112	Old	CDK1	0.055135
AGID00293	1658	ab32384	Set179	CDK1_pT14	0.2916134
AGID00314	1783	4539	Old	CDK1_pY15	0.38311
AGID00423	2397	8064	Set179	CDT1	-0.1723552
AGID02101	2348	15102	Set179	cGAS	0.4206264
AGID00447	2410	13460	Set179	CHD1L	-0.2674761
AGID00189	1203	2360	Old	CHK1	-0.36489
AGID00234	1348	ab79758	Old	CHK1_pS296	-0.059083
AGID00107	903	2348	Old	CHK1_pS345	-0.39055
AGID00018	146	3440	Old	CHK2	-0.20824
AGID00019	147	2197	Old	CHK2_pT68	0.42004
AGID00527	2078	4952	Old	CIAP	0.42274
AGID00350	2018	3793	Set179	CIITA	0.3874959
AGID00434	155	9164	Old	CJUN_pS73	-0.088289
AGID00020	157	1522-1/ab32363	Old	CKIT	-0.10479
AGID00400	852	NB100-91714	Old	CLAUDIN7	-0.2895
AGID00466	726	3127	Old	CMET	0.31852
AGID00079	727	3129	Old	CMET_pY1235	0.037135
AGID00167	161	9402	Old	CMYC	-0.29177
AGID00292	1656	11130-1-AP	Old	COG3	-0.71537
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.096601
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-1.122801
AGID00269	1571	6434	Set179	Coup-TFII	-0.9585002
AGID00150	1116	4850	Set179	Cox-IV	-0.3038038
AGID00195	1218	4842	Set179	Cox2	0.8173048
AGID00188	803	05-739	Old	CRAF	-0.28109
AGID00022	179	9427	Old	CRAF_pS338	0.20762
AGID00023	181	9197	Set179	Creb	-0.269459
AGID00393	2334	9198	Set179	CREB_pS133	-2.338872
AGID00365	2155	4980	Set179	CSK	0.6783023
AGID00367	2160	9201	Set179	CtIP	-0.1386697
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.2147896
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.57404
AGID00382	194	sc-718	Old	CYCLIND1	-0.062749
AGID00437	199	sc-25303	Old	CYCLINE1	1.2125
AGID00449	202	1142-1	Old	CYCLINE2	-0.14958
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.5569647
AGID00247	1379	ab48389	Set179	D-a-Tubulin	-0.2812515
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.7184214
