AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.25858
AGID00111	913	sc-23957	Old	1433EPSILON	0.13319
AGID00101	883	sc-1019	Old	1433ZETA	0.2646
AGID00001	2	9452	Old	4EBP1	0.53051
AGID00002	3	9456	Old	4EBP1_pS65	-0.20602
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.26296
AGID00443	8	9455	Old	4EBP1_pT70	0.066214
AGID00120	985	4937	Old	53BP1	-1.4524
AGID00004	13	3661	Old	ACC_pS79	0.61072
AGID00005	14	1768-1/ab45174	Old	ACC1	0.9446
AGID00408	2372	3658	Set179	AceCS1	1.142667
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-3.5232
AGID00404	2367	9189	Set179	ACSL1	0.311043
AGID02144	2450	PA5-27081	Old	ACVRL1	0.2237
AGID00186	1198	ab88574	Old	ADAR1	-0.29078
AGID00146	1084	4691	Old	AKT	-0.68726
AGID00028	230	9271	Old	AKT_pS473	-0.97752
AGID00170	1154	2965	Old	AKT_pT308	-1.0428
AGID00316	1800	3063	Set179	Akt2	-0.1278823
AGID00347	2009	8599	Set179	Akt2_pS474	-0.5098697
AGID02215	2577	ab195377	Set179	ALKBH5	0.1171431
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.4345733
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	-0.5346023
AGID00006	39	2532	Old	AMPKALPHA	-0.38122
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.39182
AGID00193	1208	610066	Old	ANNEXIN1	1.154
AGID00166	1142	610668	Old	ANNEXINVII	0.29872
AGID00371	756	1852-1/ab52615	Old	AR	-1.7444
AGID00194	1217	4432	Old	ARAF	0.43021
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.14616
AGID00260	1053	sc-32761	Old	ARID1A	0.13453
AGID00264	1560	HPA029318	Old	ASNS	2.4503
AGID00276	1612	3415	Set179	Atg3	-0.2278522
AGID00309	1775	13507	Set179	Atg4B	0.0807416
AGID00310	1776	12994	Set179	Atg5	0.4754612
AGID00277	1613	8558	Set179	Atg7	0.3478139
AGID00242	1363	2873	Old	ATM	0.21251
AGID02142	2447	13050	Set179	ATM_pS1981	0.8549134
AGID00217	1289	ab14748	Set179	ATP5A	0.05371652
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.4890053
AGID02150	2456	13934	Set179	ATR	-0.05532202
AGID00315	1795	ab178407	Set179	ATR_pS428	0.6975166
AGID00268	1569	ab97508	Set179	ATRX	-1.093015
AGID00391	2332	14475	Set179	Aurora-A	0.5156881
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	0.1104405
AGID02195	2512	MA5-27890	Set179	Aurora-B	-0.0793488
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	-0.2038339
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.6613545
AGID00301	1725	14058	Set179	B7-H3	-0.5108875
AGID00302	1726	14572	Set179	B7-H4	-0.5202333
AGID00008	63	9291	Old	BAD_pS112	-0.54228
AGID00009	71	1542-1/ab32371	Old	BAK	-0.52773
AGID00192	1207	sc-28383	Old	BAP1C4	-0.60958
AGID00010	73	2772	Old	BAX	-0.34266
AGID00433	80	M0887	Old	BCL2	-0.29049
AGID00219	1299	PAB8528	Old	BCL2A1	-0.13734
AGID00012	84	1018-1	Old	BCLXL	-0.2
AGID00377	87	sc-10086	Old	BECLIN	0.030457
AGID00011	75	9562	Old	BETACATENIN	-1.2377
AGID00013	88	1008-1/ab32060	Old	BID	-0.34964
AGID00180	90	1036-1/ab32158	Old	BIM	0.2394
AGID00221	1311	610978	Set179	BiP-GRP78	0.4561014
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	0.1683639
AGID00355	92	1647/ab33899	Old	BRAF	-1.4857
AGID00014	94	2696	Old	BRAF_pS445	0.30173
AGID00445	761	9012	Old	BRCA2	-0.0068732
AGID00266	1567	13440	Old	BRD4	-0.55506
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.3987607
AGID00278	1615	3130	Set179	c-IAP2	0.5744779
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	-0.045241
AGID00429	2407	2679	Set179	Calnexin	0.5539722
AGID00176	1165	9496	Set179	Caspase-8-cleaved	1.417488
AGID00623	111	9665	Old	CASPASE3	0.17593
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	2.9371
AGID00118	951	9746	Old	CASPASE8	0.6464
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.86284
AGID00358	2100	ab76000	Set179	CD134	-0.3237685
AGID00303	1737	826701	Set179	CD171	3.526492
AGID00410	125	1632-1/ab78237	Old	CD20	-0.33657
AGID00220	1308	ab28340	Old	CD26	0.088298
AGID00191	1206	610467	Set179	CD29	0.2533887
AGID00017	127	M0823	Old	CD31	0.38649
AGID00369	2174	ab108403	Set179	CD38	1.283581
AGID00359	2104	ab133616	Set179	CD4	0.5825827
AGID00411	1398	3570	Set179	CD44	0.6628054
AGID00237	1352	M070101-2	Set179	CD45	1.134822
AGID00115	937	611016	Old	CD49B	0.78103
AGID02171	2482	91882	Set179	CD86	0.4439349
AGID00329	1873	4688	Set179	cdc25C	-0.32905
AGID00227	1332	4651	Set179	Cdc42	-0.1933224
AGID00422	2396	3387	Set179	Cdc6	0.1656678
AGID00501	1007	9112	Old	CDK1	0.11083
AGID00293	1658	ab32384	Set179	CDK1_pT14	0.2823512
AGID00314	1783	4539	Old	CDK1_pY15	0.62052
AGID00423	2397	8064	Set179	CDT1	-0.8322961
AGID02101	2348	15102	Set179	cGAS	-0.1540908
AGID00447	2410	13460	Set179	CHD1L	-0.005562737
AGID00189	1203	2360	Old	CHK1	-0.40863
AGID00234	1348	ab79758	Old	CHK1_pS296	0.22139
AGID00107	903	2348	Old	CHK1_pS345	-0.41609
AGID00018	146	3440	Old	CHK2	0.20067
AGID00019	147	2197	Old	CHK2_pT68	0.4767
AGID00527	2078	4952	Old	CIAP	0.53121
AGID00350	2018	3793	Set179	CIITA	0.4813908
AGID00434	155	9164	Old	CJUN_pS73	-0.15962
AGID00020	157	1522-1/ab32363	Old	CKIT	0.0035543
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.45052
AGID00466	726	3127	Old	CMET	0.030741
AGID00079	727	3129	Old	CMET_pY1235	0.030224
AGID00167	161	9402	Old	CMYC	-0.54589
AGID00292	1656	11130-1-AP	Old	COG3	-0.40965
AGID00021	171	sc-20649	Old	COLLAGENVI	-0.047485
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-2.193419
AGID00269	1571	6434	Set179	Coup-TFII	-1.172364
AGID00150	1116	4850	Set179	Cox-IV	0.4733065
AGID00195	1218	4842	Set179	Cox2	-0.1174113
AGID00188	803	05-739	Old	CRAF	-0.27511
AGID00022	179	9427	Old	CRAF_pS338	0.075013
AGID00023	181	9197	Set179	Creb	-0.470803
AGID00393	2334	9198	Set179	CREB_pS133	-1.06505
AGID00365	2155	4980	Set179	CSK	0.537247
AGID00367	2160	9201	Set179	CtIP	-0.496935
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	0.146349
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	0.42995
AGID00382	194	sc-718	Old	CYCLIND1	0.06183
AGID00437	199	sc-25303	Old	CYCLINE1	0.042422
AGID00449	202	1142-1	Old	CYCLINE2	-0.34091
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.6528731
AGID00247	1379	ab48389	Set179	D-a-Tubulin	0.3804152
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.9833692
AGID00304	1744	ab51601	Set179	DAPK2	0.3186133
AGID00343	1980	6998	Set179	DDB-1	0.5047595
AGID00427	2402	5583	Set179	DDR1	0.05961307
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.3192492
AGID00532	1273	Bast Lab	Old	DIRAS3	0.0050675
AGID00104	891	ab76008	Old	DJ1	-0.051301
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.490956
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.08480424
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.4101464
AGID00407	2371	13609	Set179	DNA_POLG	-0.6042238
AGID00399	2344	5032	Set179	DNMT1	0.6512956
AGID00409	2373	5391	Set179	DRP1	0.1756002
AGID00253	1406	5149	Old	DUSP4	2.6765
AGID00334	1936	ab76310	Set179	DUSP6	0.5962581
AGID00116	940	3218	Old	DVL3	-0.6942
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-1.4923
AGID00135	1060	2332	Old	EEF2	0.02239
AGID00136	1061	3692	Old	EEF2K	-1.6448
AGID00152	1120	2232	Old	EGFR	0.065673
AGID00450	217	2234	Old	EGFR_pY1068	0.35903
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.092915
AGID00078	722	9742	Old	EIF4E	0.29693
AGID00328	1871	ab76256	Set179	eIF4E_pS209	0.2708576
AGID00154	1124	2498	Old	EIF4G	-1.0522
AGID00027	228	9181	Set179	Elk1_pS383	-0.8525138
AGID00235	1350	M061329-2	Set179	EMA	0.2368255
AGID00394	2337	3810	Set179	Enolase-1	0.8008204
AGID00395	2338	8171	Set179	Enolase-2	-0.7585544
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	1.298471
AGID00552	2422	6347	Set179	EphA2_pS897	1.341254
AGID00553	2423	12677	Set179	EphA2_pY588	0.3668214
AGID00075	693	556347	Old	EPPK1	0.94276
AGID00335	238	RM-9101	Old	ERALPHA	-1.5058
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.65906
AGID00240	247	MS-671	Old	ERCC1	-0.82204
AGID00239	1355	11331-1-AP	Old	ERCC5	0.21147
AGID00484	249	sc-154	Old	ERK2	-0.26308
AGID00372	2193	3552	Set179	Erk5	-1.120454
AGID00405	2369	13826	Set179	ERRalpha	0.0449331
AGID00187	1200	A303-501A	Old	ETS1	-0.38413
AGID00511	2492	2593	Set179	EVI1	-0.3473076
AGID00485	1284	4905	Old	EZH2	NA
