AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.4336
AGID00111	913	sc-23957	Old	1433EPSILON	0.19473
AGID00101	883	sc-1019	Old	1433ZETA	0.63074
AGID00001	2	9452	Old	4EBP1	-0.090144
AGID00002	3	9456	Old	4EBP1_pS65	-0.35245
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.93616
AGID00443	8	9455	Old	4EBP1_pT70	0.096978
AGID00120	985	4937	Old	53BP1	-1.453
AGID00004	13	3661	Old	ACC_pS79	-0.86606
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.11475
AGID00408	2372	3658	Set179	AceCS1	0.233880494559103
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.4894
AGID00404	2367	9189	Set179	ACSL1	-0.495144675871624
AGID02144	2450	PA5-27081	Old	ACVRL1	0.41267
AGID00186	1198	ab88574	Old	ADAR1	0.122
AGID00146	1084	4691	Old	AKT	-1.1948
AGID00028	230	9271	Old	AKT_pS473	-1.1362
AGID00170	1154	2965	Old	AKT_pT308	-0.8935
AGID00316	1800	3063	Set179	Akt2	-0.326269801043057
AGID00347	2009	8599	Set179	Akt2_pS474	0.858332554778368
AGID02215	2577	ab195377	Set179	ALKBH5	-0.42473295441111
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.275734023572401
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.174304812315369
AGID00006	39	2532	Old	AMPKALPHA	-0.17694
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.38307
AGID00193	1208	610066	Old	ANNEXIN1	0.69133
AGID00166	1142	610668	Old	ANNEXINVII	0.12624
AGID00371	756	1852-1/ab52615	Old	AR	-1.4629
AGID00194	1217	4432	Old	ARAF	0.88654
AGID02191	2507	PA5-39728	Old	ARAF_pS299	0.26598
AGID00260	1053	sc-32761	Old	ARID1A	0.059264
AGID00264	1560	HPA029318	Old	ASNS	1.8804
AGID00276	1612	3415	Set179	Atg3	-0.248456316597236
AGID00309	1775	13507	Set179	Atg4B	-0.412919294603491
AGID00310	1776	12994	Set179	Atg5	-0.0710178283247486
AGID00277	1613	8558	Set179	Atg7	0.529570755639283
AGID00242	1363	2873	Old	ATM	-0.55775
AGID02142	2447	13050	Set179	ATM_pS1981	2.40541562970373
AGID00217	1289	ab14748	Set179	ATP5A	2.6126104928886
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.0490950128187692
AGID02150	2456	13934	Set179	ATR	-0.0977600656032047
AGID00315	1795	ab178407	Set179	ATR_pS428	0.907104462788531
AGID00268	1569	ab97508	Set179	ATRX	-1.17584320959945
AGID00391	2332	14475	Set179	Aurora-A	-0.334517076451532
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.208706759996947
AGID02195	2512	MA5-27890	Set179	Aurora-B	0.488624806328923
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	1.7756485784025
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	-0.0280476879288396
AGID00301	1725	14058	Set179	B7-H3	-0.13632937928496
AGID00302	1726	14572	Set179	B7-H4	-0.147888924835609
AGID00008	63	9291	Old	BAD_pS112	-0.70734
AGID00009	71	1542-1/ab32371	Old	BAK	-0.1527
AGID00192	1207	sc-28383	Old	BAP1C4	-0.49666
AGID00010	73	2772	Old	BAX	-0.42228
AGID00433	80	M0887	Old	BCL2	0.073398
AGID00219	1299	PAB8528	Old	BCL2A1	0.077876
AGID00012	84	1018-1	Old	BCLXL	-0.03165
AGID00377	87	sc-10086	Old	BECLIN	0.31985
AGID00011	75	9562	Old	BETACATENIN	-1.8872
AGID00013	88	1008-1/ab32060	Old	BID	-0.15874
AGID00180	90	1036-1/ab32158	Old	BIM	0.21844
AGID00221	1311	610978	Set179	BiP-GRP78	0.188117779975302
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.0172725324371436
AGID00355	92	1647/ab33899	Old	BRAF	-1.0096
AGID00014	94	2696	Old	BRAF_pS445	-0.35296
AGID00445	761	9012	Old	BRCA2	0.017614
AGID00266	1567	13440	Old	BRD4	-0.57346
AGID00168	1146	2865	Set179	c-Abl_pY412	-0.198913434269605
AGID00278	1615	3130	Set179	c-IAP2	0.205363872984537
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.043743
AGID00429	2407	2679	Set179	Calnexin	-0.311744287200418
AGID00176	1165	9496	Set179	Caspase-8-cleaved	-0.0553116065548355
AGID00623	111	9665	Old	CASPASE3	0.096435
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	0.21145
AGID00118	951	9746	Old	CASPASE8	0.063231
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	0.12261
AGID00358	2100	ab76000	Set179	CD134	-0.3035020857839
AGID00303	1737	826701	Set179	CD171	-0.130759201446771
AGID00410	125	1632-1/ab78237	Old	CD20	0.055028
AGID00220	1308	ab28340	Old	CD26	-0.025952
AGID00191	1206	610467	Set179	CD29	-0.00175395980993306
AGID00017	127	M0823	Old	CD31	0.35574
AGID00369	2174	ab108403	Set179	CD38	0.667716135625215
AGID00359	2104	ab133616	Set179	CD4	0.509433052147589
AGID00411	1398	3570	Set179	CD44	1.58321009850735
AGID00237	1352	M070101-2	Set179	CD45	0.956447160411648
AGID00115	937	611016	Old	CD49B	1.3257
AGID02171	2482	91882	Set179	CD86	0.122755986082391
AGID00329	1873	4688	Set179	cdc25C	-0.489634000714497
AGID00227	1332	4651	Set179	Cdc42	0.164615438572379
AGID00422	2396	3387	Set179	Cdc6	-0.0935363836057525
AGID00501	1007	9112	Old	CDK1	0.25066
AGID00293	1658	ab32384	Set179	CDK1_pT14	-1.13812418204776
AGID00314	1783	4539	Old	CDK1_pY15	0.114
AGID00423	2397	8064	Set179	CDT1	0.0172799630097447
AGID02101	2348	15102	Set179	cGAS	-0.0254399039080622
AGID00447	2410	13460	Set179	CHD1L	-0.0991940238330154
AGID00189	1203	2360	Old	CHK1	-0.53396
AGID00234	1348	ab79758	Old	CHK1_pS296	0.04187
AGID00107	903	2348	Old	CHK1_pS345	-0.40635
AGID00018	146	3440	Old	CHK2	-0.26637
AGID00019	147	2197	Old	CHK2_pT68	0.42541
AGID00527	2078	4952	Old	CIAP	0.074913
AGID00350	2018	3793	Set179	CIITA	0.542490414962216
AGID00434	155	9164	Old	CJUN_pS73	-0.22804
AGID00020	157	1522-1/ab32363	Old	CKIT	0.36391
AGID00400	852	NB100-91714	Old	CLAUDIN7	0.033229
AGID00466	726	3127	Old	CMET	0.074294
AGID00079	727	3129	Old	CMET_pY1235	0.13856
AGID00167	161	9402	Old	CMYC	-0.17871
AGID00292	1656	11130-1-AP	Old	COG3	-0.35507
AGID00021	171	sc-20649	Old	COLLAGENVI	0.00075842
AGID00141	1069	459230	Old	COMPLEXIISUBUNIT30	NA
AGID00267	1568	3512	Set179	Connexin-43	-1.68772901052092
AGID00269	1571	6434	Set179	Coup-TFII	-0.454617062300659
AGID00150	1116	4850	Set179	Cox-IV	0.417658993355738
AGID00195	1218	4842	Set179	Cox2	0.425336511732936
AGID00188	803	05-739	Old	CRAF	-0.31743
AGID00022	179	9427	Old	CRAF_pS338	0.060722
AGID00023	181	9197	Set179	Creb	-0.0113993137388623
AGID00393	2334	9198	Set179	CREB_pS133	-1.81529727926
AGID00365	2155	4980	Set179	CSK	0.783479879575938
AGID00367	2160	9201	Set179	CtIP	0.185702450740538
AGID00536	2096	ab107198	Old	CTLA4	NA
AGID00025	198	2936	Set179	Cyclin-D3	-0.0577794880148848
AGID00024	192	1495-1/ab32053	Old	CYCLINB1	-0.9305
AGID00382	194	sc-718	Old	CYCLIND1	0.29195
AGID00437	199	sc-25303	Old	CYCLINE1	-0.38423
AGID00449	202	1142-1	Old	CYCLINE2	-0.41859
AGID00209	1257	ab110324	Set179	Cyclophilin-F	0.132266862014104
AGID00247	1379	ab48389	Set179	D-a-Tubulin	1.53006094198293
AGID00308	1770	GTX10524	Set179	DAPK1_pS308	0.889752694772174
AGID00304	1744	ab51601	Set179	DAPK2	0.384320209462471
AGID00343	1980	6998	Set179	DDB-1	0.0766709918108986
AGID00427	2402	5583	Set179	DDR1	-0.522991892997167
AGID00428	2403	SAB4504671	Set179	DDR1_pY513	0.207412526580996
AGID00532	1273	Bast Lab	Old	DIRAS3	0.29112
AGID00104	891	ab76008	Old	DJ1	-0.082755
AGID02146	2452	4658	Set179	DM-Histone-H3	-0.192213811983777
AGID00386	1397	ab32521	Set179	DM-K9-Histone-H3	-0.0746909693324998
AGID00352	2030	14649	Set179	DNA-Ligase-IV	0.198805147671895
AGID00407	2371	13609	Set179	DNA_POLG	-0.268221238355608
AGID00399	2344	5032	Set179	DNMT1	-0.212323843864515
AGID00409	2373	5391	Set179	DRP1	0.313545677339351
AGID00253	1406	5149	Old	DUSP4	0.76451
AGID00334	1936	ab76310	Set179	DUSP6	0.300288980470745
AGID00116	940	3218	Old	DVL3	-0.51983
AGID00211	1261	sc-251	Old	E2F1	NA
AGID00148	1099	3195	Old	ECADHERIN	-1.3409
AGID00135	1060	2332	Old	EEF2	-0.64094
AGID00136	1061	3692	Old	EEF2K	-0.38106
AGID00152	1120	2232	Old	EGFR	0.60891
AGID00450	217	2234	Old	EGFR_pY1068	0.15294
AGID00026	221	1124-1/ab32578	Old	EGFR_pY1173	0.0069572
AGID00078	722	9742	Old	EIF4E	-0.1126
AGID00328	1871	ab76256	Set179	eIF4E_pS209	0.0842919135720059
AGID00154	1124	2498	Old	EIF4G	-0.44294
AGID00027	228	9181	Set179	Elk1_pS383	-0.494192737624427
AGID00235	1350	M061329-2	Set179	EMA	1.12225666718122
AGID00394	2337	3810	Set179	Enolase-1	0.728693348145035
AGID00395	2338	8171	Set179	Enolase-2	-0.41533027706972
AGID00196	1219	GTX629542	Old	ENY2	NA
AGID00438	1849	A302-024A	Set179	EphA2	0.550624440311794
AGID00552	2422	6347	Set179	EphA2_pS897	0.140685966399907
AGID00553	2423	12677	Set179	EphA2_pY588	-0.257219558591134
AGID00075	693	556347	Old	EPPK1	-0.052171
AGID00335	238	RM-9101	Old	ERALPHA	-1.1603
AGID00029	241	1091-1/ab32396	Old	ERALPHA_pS118	-0.52637
AGID00240	247	MS-671	Old	ERCC1	-0.88343
AGID00239	1355	11331-1-AP	Old	ERCC5	-0.07323
AGID00484	249	sc-154	Old	ERK2	-0.38985
AGID00372	2193	3552	Set179	Erk5	-0.761886509163371
AGID00405	2369	13826	Set179	ERRalpha	-0.237355063061036
AGID00187	1200	A303-501A	Old	ETS1	-0.29539
AGID00511	2492	2593	Set179	EVI1	-0.282251074772084
AGID00485	1284	4905	Old	EZH2	NA
AGID00030	252	1700-1/ab40794	Set179	FAK	-1.63772187044162
AGID02151	2457	8556	Set179	FAK_pY397	-0.417866920485395
AGID00171	1156	3180	Old	FASN	-1.0126
AGID00356	2085	500-P18/10775-082	Set179	FGF-basic	0.103162505986973
AGID00031	262	1574-1/ab45688	Old	FIBRONECTIN	-0.41811
AGID00339	1959	4403	Set179	FN14	0.783421767016729
AGID02152	2458	20459	Old	FOXM1	0.15574
AGID00378	269	9467	Old	FOXO3A	0.47409
AGID02197	2515	orb6051	Old	FOXO3A_pS318S321	0.30255
AGID02167	2475	PA5-64616	Set179	FRS2-alpha_pY196	-0.252815599686374
AGID02213	2575	ab124892	Set179	FTO	-0.84917158681788
AGID02141	2446	12263	Old	G6PD	1.5796
AGID00117	943	3239	Old	GAB2	-0.73198
AGID00412	274	AM4300	Old	GAPDH	-0.93412
AGID00086	764	558686	Old	GATA3	-0.43501
AGID00383	1578	4253	Old	GATA6	NA
AGID00289	1634	12601-1-AP	Set179	GCLC	0.0806008393415086
AGID00305	1745	ab124827	Set179	GCLM	0.0995226186981185
AGID00212	1263	3305	Old	GCN5L2	NA
AGID00270	1579	3538	Set179	Gli1	-0.112878205809059
AGID00263	1520	ab69838	Set179	Gli3	0.475127847671378
AGID00548	2530	3660	Set179	Glucocorticoid-Receptor	-0.591391098305769
AGID00387	1617	12793	Set179	Glutamate-D1-2	1.25696319726203
AGID00262	1491	ab156876	Set179	Glutaminase	0.328420675911801
AGID00319	1807	4275	Set179	Granzyme-B	-0.503889973921529
AGID00368	2169	ab183737	Set179	GRB7	0.605418374490703
AGID00396	2339	3593	Set179	Grp75	0.922771472366121
AGID00174	1163	9315	Set179	GSK-3B	-1.38106346235733
AGID00502	1082	9336	Old	GSK3_pS9	-1.731
AGID00033	284	sc-7291	Old	GSK3ALPHABETA	-0.30523
AGID00034	285	9331	Old	GSK3ALPHABETA_pS21S9	-1.1067
AGID00129	1035	3886	Old	GYS	NA
AGID00130	1036	3891	Old	GYS_pS641	NA
AGID01354	1342	9718	Set179	H2AX_pS139	-0.0597882370568709
AGID00363	1409	MA1-2022	Set179	H2AX_pS140	0.283504985058136
AGID00131	1038	MS-325-P1	Old	HER2	-0.40099
AGID00142	299	06-229	Old	HER2_pY1248	0.56534
AGID00110	911	sc-285	Old	HER3	-0.0015948
AGID00080	728	4791	Old	HER3_pY1289	0.0085056
AGID00103	890	2573	Old	HEREGULIN	0.17216
AGID00271	1582	11988	Set179	HES1	-0.497469685289686
AGID00397	2340	2024	Set179	Hexokinase-I	0.677339490701832
AGID00442	1023	2867	Set179	Hexokinase-II	0.980388766545095
AGID00419	1402	610958	Old	HIF1ALPHA	NA
AGID00205	1250	ab1791	Set179	Histone-H3	-1.31310136896811
AGID00398	2341	3377	Set179	Histone-H3_pS10	-0.700882407108183
AGID00332	1901	ab128959	Set179	HLA-DQA1	0.67571752307608
AGID00333	1902	14832-1-AP	Set179	HMHA1	-0.894888791218203
AGID00035	321	2402	Set179	HSP27	0.366923409361879
AGID00036	323	2401	Set179	HSP27_pS82	0.595479702603165
AGID00320	1808	12165	Set179	HSP60	0.224402461001898
AGID00037	325	4872	Old	HSP70	-0.75563
AGID00366	2158	86630	Set179	IDO	2.05157126886985
AGID00197	1221	3024	Old	IGF1R_pY1135Y1136	0.28271
AGID00038	335	3922	Old	IGFBP2	-0.86462
AGID00090	793	611504	Set179	IGFBP3	0.633864326084635
AGID00039	336	3027	Set179	IGFRb	-1.181822106731
AGID00336	1949	12153	Set179	IL-6	0.467344206211458
AGID02221	2583	57145	Set179	IMP3	-0.0808912435684864
AGID02153	2459	14543	Old	INPP4B	1.2986
AGID00272	1586	3025	Set179	IR-b	0.912344402305671
AGID00519	2519	4302	Set179	IRF-3	0.347863036667865
AGID00520	2520	4947	Set179	IRF-3_pS396	0.106022128530611
AGID00223	1316	sc-497	Old	IRF1	-0.1086
AGID00092	802	06-248	Old	IRS1	0.70109
AGID00040	371	4502	Set179	IRS2	-0.359648095073372
AGID00250	1394	sc-13157	Old	JAB1	0.43032
AGID00256	1413	ab109536	Set179	Jagged1	-0.31193023460967
AGID00177	1166	3230	Old	JAK2	-0.49915
AGID00758	377	4671	Old	JNK_pT183Y185	-0.042819
AGID02136	2439	PA5-28262	Old	JNK2	-0.12326
AGID00307	1757	ab10484	Set179	KAP1	-1.18113796056239
AGID00528	904	2180	Old	KU80	-0.63857
AGID00375	2237	HPA028732	Set179	LAD1	0.725800904553186
AGID00290	1643	IHC-00439	Set179	Lasu1	-1.0796645650227
AGID00279	1618	4108	Set179	LC3A-B	0.171111452988516
AGID00042	397	2752	Old	LCK	0.52815
AGID00119	976	3582	Old	LDHA	NA
AGID00533	977	ab85319	Old	LDHB	NA
AGID00529	1477	3050	Old	LKB1	0.22883
AGID00244	1367	2568	Set179	LRP6_pS1490	-0.172715553460568
AGID00439	2424	2796	Set179	Lyn	1.10804806675604
AGID02154	2460	4370	Old	MAPK_pT202Y204	-0.37696
AGID00198	1222	5453	Set179	Mcl-1	-1.21801721292003
AGID00288	1633	AB3314P	Set179	MCT4	0.5383120709466
AGID00175	1164	3521	Set179	MDM2_pS166	-0.381793113746372
AGID00044	417	1235-1/ab32576	Old	MEK1	-0.37115
AGID00143	1076	9154	Old	MEK1_pS217S221	0.70677
AGID00201	1243	9125	Set179	MEK2	0.104734421169667
AGID00361	2118	ab51061	Set179	MelanA	0.315316292085918
AGID00362	2119	ab137078	Set179	Melanoma-gp100	0.654023576656263
AGID00337	1951	12711	Set179	MERIT40	0.179359277669593
AGID00338	1952	12110	Set179	MERIT40_pS29	0.114772638540876
AGID02212	2574	ab195352	Set179	METTL3	-0.496875801979995
AGID00225	1323	sc-20121	Set179	MIF	-0.548173246027329
AGID00137	1062	WH0054206M1	Old	MIG6	0.4293
AGID00403	2117	ab20663	Set179	MITF	0.389115165777759
AGID00503	1067	ab3298	Old	MITOCHONDRIA	NA
AGID00321	1809	14739	Set179	Mitofusin-1	0.59739682376003
AGID00322	1810	11925	Set179	Mitofusin-2	-0.515282339257932
AGID00389	2324	3515	Set179	MLH1	-0.977197345504973
AGID00312	1780	14993	Set179	MLKL	1.5853107725584
AGID00402	2359	MAB3328	Set179	MMP14	-1.12651298388531
AGID00045	435	4022	Set179	MMP2	-0.163207574913255
AGID00122	1005	2195	Set179	Mnk1	-0.762621251470984
AGID00331	1899	sc-377312	Set179	MR1	-0.401822358501751
AGID00273	1589	ab103319	Set179	MRAP	0.348526008118702
AGID00530	440	4847	Old	MRE11	0.73325
AGID00390	905	2850	Old	MSH2	0.18315
AGID00138	1063	22030002	Old	MSH6	-0.95783
AGID00299	1675	ab76148	Set179	MSI2	0.364594680481869
AGID00232	1344	ab14705	Set179	MTCO1	1.32136040561143
AGID00046	444	2983	Old	MTOR	-0.46935
AGID00047	446	2971	Old	MTOR_pS2448	-0.32708
AGID00204	1247	H00009788-M01A	Set179	MTSS1	1.55768895320815
AGID00401	1139	21370002	Old	MYH11	0.029539
AGID00291	1647	3403	Old	MYOSINIIA	NA
AGID00173	1160	5026	Old	MYOSINIIA_pS1943	0.41695
AGID00318	1803	4282	Set179	Myt1	0.693418079151522
AGID00216	1274	5795-1/ab129189	Old	NAPSINA	NA
AGID00418	452	4061	Old	NCADHERIN	0.28855
AGID00156	1126	3217	Old	NDRG1_pT346	-0.27977
AGID02133	2436	PA5-45913	Set179	NDUFB4	-0.150652273344718
AGID00134	1046	22710002	Old	NF2	-0.37211
AGID00048	457	3033	Old	NFKBP65_pS536	-0.13572
AGID02155	2461	3608	Old	NOTCH1	0.14479
AGID00340	1969	4147	Set179	Notch1-cleaved	-0.0399003352509008
AGID00087	767	sc-5593	Set179	Notch3	-0.0505746327225613
AGID00258	1420	3187	Set179	NQO1	1.81774093360811
AGID00162	1136	sc-31	Old	NRAS	0.48793
AGID00257	1419	12721	Old	NRF2	NA
AGID00297	1669	2750	Set179	Oct-4	1.22432820858679
AGID00420	466	1712-1/ab40803	Old	P16INK4A	1.4759
AGID00384	470	sc-6246	Old	P21	-0.29744
AGID00105	897	1591-1/ab32034	Old	P27	0.24152
AGID00096	842	AF1555	Old	P27_pT157	-0.085081
AGID00099	878	ab64949	Old	P27_pT198	0.054019
AGID00181	1175	9228	Set179	p38-a	0.435858047466225
AGID00098	479	9211	Old	P38_pT180Y182	-0.56698
AGID00049	478	9212	Old	P38MAPK	0.139
AGID00151	1119	4695	Set179	p44-42-MAPK	-0.219017049883748
AGID00050	481	9282	Old	P53	0.55055
AGID00490	1187	610833	Old	P62LCKLIGAND	0.74643
AGID00545	1415	ab53039	Old	P63	NA
AGID00052	494	9205	Old	P70S6K_pT389	0.70111
AGID00051	493	1494-1/ab32529	Old	P70S6K1	-0.74642
AGID00085	759	9347	Old	P90RSK	-0.16198
AGID00531	770	9344	Old	P90RSK_pT359S363	-0.01211
AGID00182	1178	9346	Set179	p90RSK_pT573	-0.0105581038537847
AGID00053	499	612024	Old	PAI1	0.41121
AGID00224	1322	HPA035895	Set179	PAICS	-0.657855686906579
AGID00323	1811	2602	Set179	PAK1	-0.0954724323478243
AGID02199	2517	PA5-69540	Set179	PAK4	0.736754301809214
AGID00245	1370	4336-BPC-100	Set179	PAR	-0.547629986925826
AGID00374	2209	66564	Set179	PARG	-0.321054290243537
