AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.56409
AGID00111	913	sc-23957	Old	1433EPSILON	-0.018378
AGID00101	883	sc-1019	Old	1433ZETA	0.029356
AGID00001	2	9452	Old	4EBP1	-0.38689
AGID00002	3	9456	Old	4EBP1_pS65	-0.073622
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.30894
AGID00443	8	9455	Old	4EBP1_pT70	0.19018
AGID00120	985	4937	Old	53BP1	-2.0417
AGID00004	13	3661	Old	ACC_pS79	-0.57634
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.53258
AGID00408	2372	3658	Set179	AceCS1	-0.6151913
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	-1.5246
AGID00404	2367	9189	Set179	ACSL1	-0.8627042
AGID02144	2450	PA5-27081	Old	ACVRL1	0.96094
AGID00186	1198	ab88574	Old	ADAR1	-0.051968
AGID00146	1084	4691	Old	AKT	-0.18336
AGID00028	230	9271	Old	AKT_pS473	0.059986
AGID00170	1154	2965	Old	AKT_pT308	-0.15503
AGID00316	1800	3063	Set179	Akt2	-0.626415
AGID00347	2009	8599	Set179	Akt2_pS474	2.443333
AGID02215	2577	ab195377	Set179	ALKBH5	-0.9197339
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.3714078
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.3713807
AGID00006	39	2532	Old	AMPKALPHA	0.0098338
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.41141
AGID00193	1208	610066	Old	ANNEXIN1	0.20673
AGID00166	1142	610668	Old	ANNEXINVII	0.33438
AGID00371	756	1852-1/ab52615	Old	AR	-1.3944
AGID00194	1217	4432	Old	ARAF	0.26065
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.12972
AGID00260	1053	sc-32761	Old	ARID1A	0.030945
AGID00264	1560	HPA029318	Old	ASNS	0.29721
AGID00276	1612	3415	Set179	Atg3	-0.1683134
AGID00309	1775	13507	Set179	Atg4B	-0.5136861
AGID00310	1776	12994	Set179	Atg5	-0.4567599
AGID00277	1613	8558	Set179	Atg7	-0.05930503
AGID00242	1363	2873	Old	ATM	0.22102
AGID02142	2447	13050	Set179	ATM_pS1981	5.598893
AGID00217	1289	ab14748	Set179	ATP5A	-0.2617413
AGID02145	2451	PA5-43776	Set179	ATP5H	-0.2845456
AGID02150	2456	13934	Set179	ATR	-0.1067856
AGID00315	1795	ab178407	Set179	ATR_pS428	-0.2385357
AGID00268	1569	ab97508	Set179	ATRX	-1.715353
AGID00391	2332	14475	Set179	Aurora-A	-0.1371688
AGID00392	2333	2914	Set179	Aurora-ABC_pT288_pT232_pT198	-0.1380741
AGID02195	2512	MA5-27890	Set179	Aurora-B	1.033094
AGID00215	1271	8661	Old	AXL	NA
AGID02143	2449	8457	Set179	b-Actin	1.049393
AGID00179	1170	9565	Set179	b-Catenin_pT41_S45	0.413793
AGID00301	1725	14058	Set179	B7-H3	-1.319388
AGID00302	1726	14572	Set179	B7-H4	0.1143576
AGID00008	63	9291	Old	BAD_pS112	-0.27324
AGID00009	71	1542-1/ab32371	Old	BAK	-0.14683
AGID00192	1207	sc-28383	Old	BAP1C4	-1.0491
AGID00010	73	2772	Old	BAX	-0.5792
AGID00433	80	M0887	Old	BCL2	-0.045742
AGID00219	1299	PAB8528	Old	BCL2A1	0.40401
AGID00012	84	1018-1	Old	BCLXL	-0.44901
AGID00377	87	sc-10086	Old	BECLIN	0.26813
AGID00011	75	9562	Old	BETACATENIN	-2.2182
AGID00013	88	1008-1/ab32060	Old	BID	0.028122
AGID00180	90	1036-1/ab32158	Old	BIM	-0.4063
AGID00221	1311	610978	Set179	BiP-GRP78	-0.09089636
AGID00373	2194	07-507	Set179	BMK1-Erk5_pT218_Y220	-0.08503417
AGID00355	92	1647/ab33899	Old	BRAF	-1.2975
AGID00014	94	2696	Old	BRAF_pS445	-0.061143
AGID00445	761	9012	Old	BRCA2	0.89545
AGID00266	1567	13440	Old	BRD4	-0.85261
AGID00168	1146	2865	Set179	c-Abl_pY412	0.4427182
AGID00278	1615	3130	Set179	c-IAP2	0.2529306
AGID00345	1990	5649	Old	CA9	NA
AGID00265	1565	2862	Old	CABL	0.15937
AGID00429	2407	2679	Set179	Calnexin	-0.439768
AGID00176	1165	9496	Set179	Caspase-8-cleaved	0.2973666
AGID00623	111	9665	Old	CASPASE3	0.022055
AGID00015	109	9491	Old	CASPASE7CLEAVEDD198	1.1945
AGID00118	951	9746	Old	CASPASE8	-0.30951
AGID00537	935	551246	Old	CASPASE9	NA
AGID00016	114	3238	Old	CAVEOLIN1	3.6236
AGID00358	2100	ab76000	Set179	CD134	0.402872
AGID00303	1737	826701	Set179	CD171	1.709402
AGID00410	125	1632-1/ab78237	Old	CD20	0.28168
AGID00220	1308	ab28340	Old	CD26	1.1926
AGID00191	1206	610467	Set179	CD29	0.1276354
AGID00017	127	M0823	Old	CD31	0.34647
