AGID	lab_id	catalog_number	set_id	peptide_target	protein_expression
AGID00100	882	sc-628	Old	1433BETA	0.24489
AGID00111	913	sc-23957	Old	1433EPSILON	0.15381
AGID00101	883	sc-1019	Old	1433ZETA	0.045238
AGID00001	2	9452	Old	4EBP1	0.09315
AGID00002	3	9456	Old	4EBP1_pS65	-0.17079
AGID00003	6	9459	Old	4EBP1_pT37T46	-0.66867
AGID00443	8	9455	Old	4EBP1_pT70	0.15721
AGID00120	985	4937	Old	53BP1	-0.034382
AGID00004	13	3661	Old	ACC_pS79	-0.21974
AGID00005	14	1768-1/ab45174	Old	ACC1	-0.25544
AGID00408	2372	3658	Set179	AceCS1	-0.1974193
AGID00473	1182	5335	Old	ACETYLATUBULINLYS40	0.53052
AGID00404	2367	9189	Set179	ACSL1	0.03884347
AGID02144	2450	PA5-27081	Old	ACVRL1	0.15977
AGID00186	1198	ab88574	Old	ADAR1	0.7939
AGID00146	1084	4691	Old	AKT	-0.17539
AGID00028	230	9271	Old	AKT_pS473	-0.68404
AGID00170	1154	2965	Old	AKT_pT308	-0.79719
AGID00316	1800	3063	Set179	Akt2	-0.1115928
AGID00347	2009	8599	Set179	Akt2_pS474	0.005337211
AGID02215	2577	ab195377	Set179	ALKBH5	0.3878389
AGID00498	924	CA1030	Old	ALPHACATENIN	NA
AGID00287	1630	ABC80	Set179	Ambra1_pS52	-0.2612736
AGID00236	1351	ab129081	Set179	AMPK-a2_pS345	0.1863092
AGID00006	39	2532	Old	AMPKALPHA	-0.16259
AGID00007	40	2535	Old	AMPKALPHA_pT172	0.06632
AGID00193	1208	610066	Old	ANNEXIN1	1.6772
AGID00166	1142	610668	Old	ANNEXINVII	0.027204
AGID00371	756	1852-1/ab52615	Old	AR	-1.1397
AGID00194	1217	4432	Old	ARAF	0.078309
AGID02191	2507	PA5-39728	Old	ARAF_pS299	-0.19646
AGID00260	1053	sc-32761	Old	ARID1A	0.15434
AGID00264	1560	HPA029318	Old	ASNS	0.77927
AGID00276	1612	3415	Set179	Atg3	-0.3996802
AGID00309	1775	13507	Set179	Atg4B	-0.3850148
AGID00310	1776	12994	Set179	Atg5	-0.1504658
