"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL645608.8",9.49294834655631,-0.972301602342332,0.844276265070028,-1.15163915245407,0.249469385606976,0.999543227048232
"HES4",111.684516672553,-1.45412113262478,0.668950020747154,-2.17373658349045,0.0297249235521714,0.999543227048232
"ISG15",5.87950258260462,-0.864512573902333,0.843636710635743,-1.02474508636645,0.305483483209844,0.999543227048232
"AGRN",24.2391445658572,-0.738578097815912,0.622035485629461,-1.18735685484007,0.235086890751138,0.999543227048232
"SDF4",6.54211386106012,0.403807300868408,0.890346498936495,0.453539494287617,0.650160311081409,0.999543227048232
"ACAP3",10.9858226019871,-0.917986546086645,0.696614897029091,-1.31778196246112,0.18757664777533,0.999543227048232
"INTS11",5.17632106945458,0.155065079096051,0.906784348922763,0.171005464838762,0.86421946857285,0.999543227048232
"DVL1",7.58918652583804,-0.33894334875701,0.794360994498568,-0.426686797443981,0.669607468070078,0.999543227048232
"MXRA8",5.89733012906746,-0.124719879374226,1.06288268597913,-0.117341152527415,0.906589715261713,0.999543227048232
"CCNL2",13.7246188232031,-0.564716337055549,0.670232876074091,-0.84256734817813,0.399470458812311,0.999543227048232
"SSU72",9.01696744537288,0.186114580954709,0.782854683336466,0.23773835031746,0.812084037027959,0.999543227048232
"NADK",5.49231089990458,-0.229025419991315,0.881403978935839,-0.259841599839189,0.794985960727435,0.999543227048232
"GNB1",27.8036971220699,0.175605745652532,0.580939770044378,0.302278746795244,0.762439578594065,0.999543227048232
"SKI",10.6515043823974,0.35670201399894,0.729982636501313,0.488644518599174,0.625093389320944,0.999543227048232
"RER1",6.98762020736015,0.692526990552335,0.876911135618382,0.789734515190045,0.429682829721459,0.999543227048232
"CHD5",5.8542324983026,-0.556742800811331,0.845238319144633,-0.658681449008068,0.510100347956213,0.999543227048232
"CAMTA1",34.6134270843625,0.231595060953191,0.55613080098101,0.416439910439521,0.677088129180236,0.999543227048232
"PER3",10.5117714620097,0.250862270339139,0.752730466752361,0.333269717939648,0.738930695637778,0.999543227048232
"PARK7",5.8001883667779,-0.122715903017094,0.870299373485973,-0.141004241477914,0.887866591608197,0.999543227048232
"RERE",54.1840213291819,0.167887612517121,0.52554920892059,0.319451746225517,0.74938397682543,0.999543227048232
"ENO1",12.058508234908,-0.523522956787797,0.681508559576689,-0.768182511328951,0.442378762050295,0.999543227048232
"CLSTN1",15.0830592930741,0.241118860456159,0.708524003196689,0.340311491732516,0.733621963927171,0.999543227048232
"UBE4B",12.5967512221235,-0.10884087416456,0.679980928474538,-0.160064598295032,0.872830188030895,0.999543227048232
"KIF1B",24.0271852090653,0.709397370503656,0.622995759118512,1.1386873186864,0.254833593853225,0.999543227048232
"SRM",4.01652487234265,0.336053712540204,1.04086519083098,0.322859977930392,0.74680128741131,0.999543227048232
"MTOR",5.31727286486302,0.189596232563141,0.904836764786572,0.209536393680756,0.834029527837426,0.999543227048232
"FBXO44",4.69543477017961,-0.359638312713028,0.952433680697262,-0.377599322663329,0.705728267939422,0.999543227048232
"PLOD1",11.8569468955521,-0.524969433914605,0.723426290768962,-0.725670936504936,0.468040522873236,0.999543227048232
"TNFRSF1B",10.7534136871858,0.22503475636909,0.750957388666936,0.299663815504314,0.764433601889838,0.999543227048232
"VPS13D",38.8564309398296,-0.104484301659292,0.59266828281513,-0.176294741407451,0.860062393083495,0.999543227048232
"PRDM2",15.9541353800326,-0.221129257029865,0.649347520590056,-0.340540696650272,0.73344938060906,0.999543227048232
"KAZN",38.3854598417041,0.586915909381717,0.562458334796084,1.04348335347275,0.296724486612333,0.999543227048232
"EFHD2",9.71568645282452,-1.16238610231937,0.779602359367109,-1.49099869741673,0.135961836895561,0.999543227048232
"DNAJC16",5.85255980420452,-0.601832598590194,0.834445622358553,-0.721236450242401,0.470764048985556,0.999543227048232
"SPEN",16.1547138133693,0.43117919401375,0.718434409670712,0.600165009094396,0.548396270764383,0.999543227048232
"FBXO42",10.8664679936697,-0.671732818766636,0.702088551242188,-0.956763669736753,0.338686553353219,0.999543227048232
"CROCC",5.0895495080809,-0.615934031121538,0.917553450669211,-0.671278638505813,0.502043040298677,0.999543227048232
"ATP13A2",6.40116206565168,0.377701850127817,0.901970847856981,0.41875172687145,0.675397587701349,0.999543227048232
"RCC2",5.42268613257205,0.0769581707986044,0.900714549308112,0.0854412431304903,0.931910605745193,0.999543227048232
"UBR4",14.6742141731953,-0.0249728877501114,0.662353007964987,-0.0377032903146889,0.969924252572013,0.999543227048232
"NBL1",14.210956303559,-1.63688804678041,0.695038567593608,-2.35510390804313,0.0185175268617956,0.999543227048232
"CAMK2N1",11.4072744738708,0.0521535064430819,0.724223235979004,0.0720130256143755,0.942591541824602,0.999543227048232
"HP1BP3",32.0413015984019,-0.289034550890124,0.577710716810526,-0.500310176840496,0.616856689369237,0.999543227048232
"EIF4G3",57.7426855369994,-0.569148985824143,0.507208961996997,-1.12211934028782,0.261811701723779,0.999543227048232
"ECE1",30.7754971937758,-0.452777544851943,0.556496969801711,-0.813620863044906,0.415862182210614,0.999543227048232
"USP48",12.6723952387559,-0.8197900226537,0.683812790578856,-1.19885154818432,0.230585674485429,0.999543227048232
"HSPG2",8.45458951247269,0.0752270034807657,0.80727608512351,0.0931862158028085,0.925755624932771,0.999543227048232
"CDC42",19.3075108513207,-0.514083977007906,0.630069370045463,-0.815916471182867,0.414547910900346,0.999543227048232
"KDM1A",7.73412510277143,0.269110010551258,0.821235966882072,0.327689021674208,0.743146804920436,0.999543227048232
"LUZP1",12.8351515697046,0.540515228446617,0.709743213676618,0.761564489847863,0.446319975308526,0.999543227048232
"HNRNPR",19.1325642142318,-0.374301475701037,0.608972380535597,-0.614644420116124,0.538789572395903,0.999543227048232
"ID3",36.1771631925642,0.76623971891259,0.616829150941573,1.2422235845095,0.214154080282112,0.999543227048232
"RPL11",22.6222135874158,-0.445356432292746,0.601573915436977,-0.74031872204639,0.459106623430689,0.999543227048232
"LYPLA2",4.61413454305918,-1.04128990991941,0.923634030598891,-1.12738365567175,0.25958030640584,0.999543227048232
"SRSF10",11.7616035703048,-0.0469833662461986,0.699250220268357,-0.0671910639201049,0.946429599007842,0.999543227048232
"SRRM1",12.555413851156,0.27196876865652,0.694174956915218,0.391787064553723,0.695215553543728,0.999543227048232
"CLIC4",27.4347240275097,0.389934536112971,0.576811282830012,0.676017525523831,0.499029518074213,0.999543227048232
"RSRP1",17.9715387825332,0.0516172941292929,0.631945047046215,0.081680035899574,0.934901154347813,0.999543227048232
"TMEM50A",8.08552771797667,-0.596857413142947,0.769347014182123,-0.775797399795531,0.43786861947968,0.999543227048232
"SH3BGRL3",14.3257324568403,-0.853613279081406,0.647346495612255,-1.31863427834589,0.187291408166376,0.999543227048232
"ARID1A",15.2143949650981,0.01731888689738,0.664091874304204,0.0260790525641135,0.979194285012139,0.999543227048232
"ZDHHC18",3.88452590189367,0.307674515107559,1.03302908819413,0.297837223195152,0.765827403087276,0.999543227048232
"NUDC",8.05231420438834,-0.804251827963363,0.755708864880565,-1.06423500548782,0.287222252833713,0.999543227048232
"WDTC1",5.41171446453856,-0.451963738707886,0.869662229554664,-0.519700319673912,0.603272464066087,0.999543227048232
"MAP3K6",5.58226927474993,0.54925114503047,0.935629413753064,0.587039202655327,0.557177378080847,0.999543227048232
"WASF2",18.7148094618986,0.588126183074846,0.634888035025011,0.926346301441446,0.35426604088932,0.999543227048232
"AHDC1",7.37140410343844,0.208372232140158,0.815000310280003,0.255671353141656,0.798204616995579,0.999543227048232
"STX12",20.953109342279,1.0204943160769,0.669066236674268,1.52525155229694,0.127196366689491,0.999543227048232
"EYA3",7.9725363770367,0.667891622617143,0.824278756690277,0.810273972483442,0.417782730874975,0.999543227048232
"ATP5IF1",5.95147043689102,-0.26251411512579,0.894462221409487,-0.293488208716208,0.769149010978351,0.999543227048232
"PHACTR4",17.807375672108,0.180951790384066,0.636827701741661,0.284145601532692,0.776298801556666,0.999543227048232
"TRNAU1AP",5.8919883700117,-0.495229130159936,0.88499949917579,-0.559581254702571,0.575765093821595,0.999543227048232
"YTHDF2",5.47569896332747,0.24149527974558,0.893943470488038,0.27014603016647,0.787047911114135,0.999543227048232
"SRSF4",19.9265002380271,0.133702064466566,0.657137614946895,0.203461286381195,0.838774501783473,0.999543227048232
"SDC3",10.6885892941324,-0.236736766255931,0.700697528811445,-0.3378587143835,0.735469661051997,0.999543227048232
"PUM1",28.4707058086226,-0.0895882179977608,0.565006689227823,-0.158561340433329,0.874014489241802,0.999543227048232
"TINAGL1",17.0271064648588,0.535133346998529,0.730882118955962,0.732174632706773,0.464061985450156,0.999543227048232
"KHDRBS1",15.2020005756436,-0.129960818627442,0.642324090645539,-0.202329043110979,0.839659496354797,0.999543227048232
"KPNA6",8.21305439027967,-0.265796834088501,0.75541822348845,-0.35185388149769,0.724947847454216,0.999543227048232
"MARCKSL1",9.77898693405674,0.345000548721947,0.746445528611138,0.462191192120699,0.643944218984422,0.999543227048232
"BSDC1",5.02406952987949,0.321483477299094,0.95211146935816,0.337653192557184,0.735624552005389,0.999543227048232
"RBBP4",10.0635649530957,-0.298988086717018,0.715250872979246,-0.418018485558274,0.675933601787627,0.999543227048232
"YARS",5.56582627246319,-0.180448791270104,0.882640135610588,-0.204442086859413,0.838008044079192,0.999543227048232
"S100PBP",6.96219154833364,0.975777937598249,0.913599914738008,1.06805826254709,0.285494231354109,0.999543227048232
"PHC2",18.1692080034518,-0.621648325943442,0.645177085229787,-0.963531315936361,0.335280956403917,0.999543227048232
"GJA4",10.3697806525551,-0.715317726873249,0.786002232814718,-0.910070858592419,0.362785141861401,0.999543227048232
"SFPQ",30.1830023487707,-0.133362474313429,0.556988923157906,-0.239434697475341,0.810768527613339,0.999543227048232
"ZMYM4",28.2039956441898,-0.192359886076718,0.591746950214858,-0.32507119133757,0.745127191888797,0.999543227048232
"NCDN",8.63327087807995,-1.19455281023133,0.779021189399689,-1.53340220585252,0.125176785583399,0.999543227048232
"PSMB2",6.453503936433,-0.633375050562369,0.827050002348109,-0.765824374299172,0.44378080906834,0.999543227048232
"AGO4",7.94694914328571,0.851490942331267,0.860524391355867,0.989502390501254,0.322417400851107,0.999543227048232
"AGO3",17.8940990268752,-0.2857383796485,0.615110939548959,-0.464531454859221,0.642267028916321,0.999543227048232
"MAP7D1",6.83280460768111,0.082280075587979,0.826734219559172,0.0995242166604063,0.920722061235037,0.999543227048232
"THRAP3",14.7479073275578,0.837377898113337,0.718341625602525,1.16570983535998,0.243731782260124,0.999543227048232
"EVA1B",10.0937874561313,0.60885402598586,0.780596987056871,0.779985108937528,0.435399640251538,0.999543227048232
"MEAF6",6.14063795391075,-0.387617066001232,0.851196552971718,-0.455379036308329,0.648836574392322,0.999543227048232
"C1orf122",4.98068374919264,-0.127629951551948,0.923946285518104,-0.138135683375121,0.890133184837802,0.999543227048232
"INPP5B",5.22969040875184,-0.532845644503039,0.902530346454236,-0.59039083460897,0.554928653882377,0.999543227048232
"SF3A3",4.44041155933723,-0.405601761723501,0.936253865853505,-0.433217716386942,0.664856609340924,0.999543227048232
"FHL3",3.97030935384429,-0.853283694726083,0.977288316109146,-0.873113574224688,0.382601175802844,0.999543227048232
"AL139260.1",6.30956056335355,0.23385706923664,0.957809424216703,0.244158246227205,0.807108263245513,0.999543227048232
"AKIRIN1",4.65001921973455,-0.301854991624552,0.929874322491692,-0.324619127900748,0.745469348639624,0.999543227048232
"NDUFS5",7.8778098925742,0.106808598858578,0.882269319547435,0.121061218487531,0.903642546354868,0.999543227048232
"MACF1",95.4791283945577,-0.050637662873899,0.485116437276734,-0.104382492496359,0.916865815743365,0.999543227048232
"PABPC4",6.0491950263371,-0.461251416206084,0.863849779502237,-0.533948641477762,0.59337706754512,0.999543227048232
"HEYL",11.4456962902939,-1.34586265482319,0.848525807392509,-1.58611870505033,0.112712384474349,0.999543227048232
"MFSD2A",19.25237495887,1.58986650219269,0.738205700088105,2.15369036300172,0.031264462403803,0.999543227048232
"RLF",15.1529159602409,-0.248618269503784,0.660608929687968,-0.376347122072989,0.706658851562363,0.999543227048232
"NFYC",8.57877462883286,-0.42497389778674,0.763416739338738,-0.55667353869506,0.577750499380774,0.999543227048232
"SCMH1",23.1833005020334,-0.185334885346364,0.638329246181787,-0.290343715966265,0.771553297981708,0.999543227048232
"FOXJ3",17.2259732228203,-0.122322095117846,0.643659426838354,-0.190041643169418,0.84927649857464,0.999543227048232
"CCDC30",4.95886558895153,-0.525129929191021,0.921228553106869,-0.570032189536468,0.568655865784048,0.999543227048232
"YBX1",9.60291759824591,1.0398830517345,0.808620046279912,1.28599712129142,0.198444066344235,0.999543227048232
"SLC2A1",42.8419726537237,0.324338747003774,0.621647061474166,0.521740979897245,0.601850687890697,0.999543227048232
"ATP6V0B",8.94297691575913,0.152650504628659,0.760631338496664,0.200689212898278,0.84094159497601,0.999543227048232
"RNF220",22.6326872959753,0.724808561549995,0.709402805137709,1.02171651465248,0.306915092453299,0.999543227048232
"RPS8",18.2068697791916,-0.0742362586408312,0.673539722800439,-0.110218085330101,0.912236419637187,0.999543227048232
"EIF2B3",6.26317937569983,-0.899417731936136,0.84499175775828,-1.06441006516116,0.287142976128979,0.999543227048232
"ZSWIM5",24.3358313272215,-0.655987089662912,0.579751707991023,-1.13149660556596,0.257846131322258,0.999543227048232
"PRDX1",15.7438836282898,0.163213618418249,0.653023913900199,0.249935132457022,0.802637513462245,0.999543227048232
"NASP",6.39827049653287,0.53242559685374,0.905682222803608,0.587872416448206,0.556617932237868,0.999543227048232
"GPBP1L1",15.8255731957324,-0.161752352255937,0.651588877697066,-0.248242960849215,0.803946428446808,0.999543227048232
"MAST2",8.96679527911318,-0.205730648533806,0.768372187852834,-0.267748692347529,0.788892766629972,0.999543227048232
"LRRC41",4.22497548902652,-0.115827676440235,0.989437743915157,-0.117064137842479,0.906809228146886,0.999543227048232
"CMPK1",9.77019268382176,0.401645810074023,0.777086237244288,0.516861309368113,0.605252978068009,0.999543227048232
"SPATA6",21.2867176206175,-1.14061759287899,0.594893923343588,-1.91734618243901,0.05519396645648,0.999543227048232
"FAF1",34.5292867598647,0.24198973900621,0.560659810400136,0.431615989798708,0.666020535090313,0.999543227048232
"RNF11",7.87788742891198,-0.705449124874779,0.790753313634022,-0.89212288170224,0.372327071559388,0.999543227048232
"EPS15",26.8639187124823,0.00792808335784018,0.588569442832913,0.0134700899857808,0.989252748171553,0.999543227048232
"OSBPL9",19.2360068454732,0.103398860263621,0.643157031729082,0.160767674397714,0.872276386099085,0.999543227048232
"NRDC",14.621846568022,-0.283038884323512,0.652012393239776,-0.43410046689009,0.664215486471899,0.999543227048232
"ZFYVE9",8.9782098395398,0.921551889807704,0.829732261784044,1.11066175470414,0.266713970308608,0.999543227048232
"TUT4",15.5552317616547,0.123519015706761,0.65901521539967,0.187429687236965,0.85132374797781,0.999543227048232
"ZYG11B",7.53101681226163,1.1430563761834,0.895765505467193,1.27606652545437,0.20193200352274,0.999543227048232
"ECHDC2",11.3239444769922,-0.0897244669208495,0.694171016237792,-0.129254124447791,0.89715657023541,0.999543227048232
"SCP2",8.69844255434591,0.0859525325940755,0.765296057077782,0.112312786403576,0.910575403865825,0.999543227048232
"SSBP3",10.4865789140455,-0.203509265093632,0.72525421376529,-0.280604043700865,0.77901411417607,0.999543227048232
"USP24",20.3668145524824,-0.703643551115336,0.596437599430001,-1.17974378507959,0.23810213371186,0.999543227048232
"DAB1",48.8792463114878,-0.409114773032552,0.689797371065106,-0.59309413197798,0.553118157337409,0.999543227048232
"MYSM1",7.76972602889645,0.135001023592384,0.790537642288688,0.170771151645027,0.864403713480681,0.999543227048232
"NFIA",104.99755800432,0.423673875007641,0.482595757118423,0.877906340365269,0.379994548125215,0.999543227048232
"TM2D1",8.65293082760197,-0.168851645078115,0.754607287828107,-0.223760951957011,0.822943315377527,0.999543227048232
"PATJ",10.4329548237248,-0.141806057693783,0.752328427253786,-0.188489564606,0.850492895145112,0.999543227048232
"DOCK7",14.6387833155973,-0.162030235473192,0.657681381796681,-0.246365854284261,0.805399036073568,0.999543227048232
"EFCAB7",5.61352634368985,-0.0350181334709155,0.881712054097442,-0.0397160652484915,0.968319493566021,0.999543227048232
"ROR1",7.81476529660197,-0.831042417663788,0.75468717454944,-1.1011746928917,0.270820633736827,0.999543227048232
"CACHD1",36.9922592878641,-0.786607814344173,0.576099573182106,-1.36540252928728,0.172126569377889,0.999543227048232
"JAK1",32.3668251869834,0.683962968295566,0.574452601693367,1.19063429476929,0.233797182278899,0.999543227048232
"DNAJC6",8.81927901737492,0.45372115427138,0.794668078949826,0.570956813656067,0.568028917576965,0.999543227048232
"LEPR",14.0899787209611,0.0586093326448395,0.712409840235493,0.082269122820462,0.934432707584233,0.999543227048232
"PDE4B",30.2398565785266,0.691650172886646,0.724242101879821,0.954998571736467,0.33957841923964,0.999543227048232
"SGIP1",132.121565357948,-1.06926516639546,0.632501492339593,-1.6905338237864,0.0909258729557468,0.999543227048232
"MIER1",14.9648350450277,0.605543997608193,0.71584294083998,0.845917397603502,0.397598826357553,0.999543227048232
"GNG12",10.8025021348419,-0.272484279053671,0.714305760544848,-0.381467284886278,0.702856542175817,0.999543227048232
"WLS",9.61291326950486,1.42503064313671,0.86495341534948,1.64752299701705,0.0994505932999303,0.999543227048232
"LRRC7",16.0359491266393,0.634116323626634,0.6764868246542,0.937366849606828,0.348569887017551,0.999543227048232
"LRRC40",4.1588026457549,-0.690236952935586,0.964282909726452,-0.715803366391085,0.474112773476064,0.999543227048232
"SRSF11",21.1600600314085,0.17609786816947,0.616090491732872,0.285831173394936,0.775007430823034,0.999543227048232
"ANKRD13C",14.0617821554304,-0.213390312210781,0.698004135062267,-0.305714968567837,0.759821675368017,0.999543227048232
"ZRANB2",18.1418098421942,0.122515559675805,0.623391463460916,0.196530698376311,0.844194807322298,0.999543227048232
"NEGR1",27.0155989228197,0.408346192461918,0.695618276052293,0.587026256382057,0.557186072774398,0.999543227048232
"ST6GALNAC3",209.333573014791,0.578836929784902,0.479329888002844,1.20759615511701,0.22720263887797,0.999543227048232
"AK5",9.71998711866343,0.413501175159373,0.779355661345503,0.530568000809145,0.595718174989662,0.999543227048232
"AC118549.1",21.8980085366133,-0.23720585048572,0.595877263301881,-0.398078371326526,0.690572416927648,0.999543227048232
"USP33",15.721128830367,-0.266883995268895,0.631442116450264,-0.422657894232997,0.672544880227505,0.999543227048232
"FUBP1",14.3932312781157,-0.973203243450522,0.642481427252646,-1.51475700645869,0.129833951975815,0.999543227048232
"IFI44",8.43163678073255,-0.223348874349629,0.786475162828495,-0.283987193627797,0.776420194793834,0.999543227048232
"ADGRL4",32.5336003272051,0.365709379991341,0.62144192615059,0.588485206102301,0.556206660887967,0.999543227048232
"ADGRL2",33.3331023483413,0.465537127309162,0.580504928648972,0.801952066785414,0.422580686019126,0.999543227048232
"TTLL7",17.4142386323361,0.614248970174766,0.701669772225412,0.875410334731419,0.381350678558362,0.999543227048232
"PRKACB",19.7364699767128,1.6881037190548,0.698815773223091,2.41566344627411,0.0157065714476488,0.999543227048232
"GNG5",7.07385747838811,0.251177770593578,0.82094444864567,0.305961957606207,0.75963361105048,0.999543227048232
"ZNHIT6",9.3175127425251,-0.286327396350766,0.748839565638028,-0.382361468984092,0.702193266301819,0.999543227048232
"ODF2L",14.3896394192914,-0.173130495428693,0.670348129396776,-0.25826952867682,0.796198901280134,0.999543227048232
"SH3GLB1",11.3139313517365,0.0475126783320658,0.720566751377138,0.0659379276677146,0.947427244361481,0.999543227048232
