"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.1",15.7110107309915,0.180807331417511,0.70249509187965,0.257378782439218,0.796886380462936,NA
"AL669831.5",67.4844396275889,0.558283841497442,0.392911271100401,1.42089037032176,0.15534863291987,0.774419215859329
"NOC2L",56.3587498097865,-0.857199286696244,0.430657246352553,-1.99044435907275,0.0465420075181346,0.475187739775361
"KLHL17",24.6260819458061,-0.340246645545867,0.610307666353076,-0.557500199168442,0.577185723039549,NA
"HES4",39.7105029287565,-0.919226235862456,0.517261458025944,-1.77710173762135,0.0755515023444045,NA
"AGRN",33.3033278333851,0.259413663035003,0.517845359150984,0.500948127565179,0.616407630088698,NA
"C1orf159",47.2374042408499,0.208920930112261,0.442857296891888,0.471756774876544,0.637100407284559,0.978501556821137
"SDF4",87.5064943260792,0.106612494130206,0.361918762579251,0.294575758853785,0.768317982500196,0.988483713198879
"B3GALT6",17.6940276039182,-0.388376161032944,0.702084649199303,-0.55317569110202,0.580143110854733,NA
"UBE2J2",62.3531882668265,-0.219661839151774,0.450820182122269,-0.487249346552544,0.626081639119783,0.977129226762815
"SCNN1D",54.4476082602489,-0.29284180051214,0.428542574888706,-0.683343540809668,0.494389787115807,0.959929640109761
"ACAP3",252.88455058355,-0.210866680521502,0.309237144668085,-0.681893117166867,0.495306537906273,0.960258844215429
"INTS11",134.866011063927,-0.100315947411534,0.347349461562986,-0.288804096485819,0.772731297090352,0.988671457995272
"DVL1",47.4398089612306,-0.205450580827699,0.427263696936665,-0.480851947639618,0.630621726756253,0.977251748423548
"AURKAIP1",32.4268815295918,-0.529583383779198,0.525564606290023,-1.00764659081125,0.313624153601055,NA
"CCNL2",111.618884457148,0.479872658408728,0.336313569806777,1.42686082718705,0.153620014022763,0.77146956056322
"MRPL20",23.9721359957852,-0.288329925677067,0.566242988004778,-0.509198227236385,0.610613285568185,NA
"AL391244.3",6.69680552022526,0.649718859087189,1.07647229679121,0.603563009493042,0.546134212040832,NA
"VWA1",12.0490449417973,0.204067121403776,0.837522925697658,0.243655564692498,0.807497590470744,NA
"ATAD3B",36.0690813268306,0.213579057827114,0.495743590894211,0.43082565614588,0.666595143124536,NA
"ATAD3A",30.4760290042129,0.58268299316316,0.543829159150259,1.07144492596464,0.283969421565138,NA
"SSU72",65.569300860379,-0.670115661340027,0.429832997241321,-1.55901400227727,0.118993066090978,0.697592537806838
"FNDC10",38.8752928271139,-0.500389812169694,0.541778616812079,-0.923605688083586,0.355691651264251,NA
"AL691432.2",17.1780841232314,-1.10451056069975,0.669393596193429,-1.65001662247839,0.0989395363209213,NA
"MIB2",85.0118701993872,0.085680980456073,0.364851172917687,0.234838166397791,0.814334343465711,0.9899579545079
"CDK11B",43.4243672926583,0.388737946850824,0.500164944604127,0.777219497377018,0.437029280914502,NA
"SLC35E2B",24.146492901969,0.385710193449406,0.584303757608119,0.660119310251116,0.509177267675305,NA
"SLC35E2A",53.3608305405241,-0.279807870504671,0.473352613954146,-0.591119309910004,0.55444048248103,0.972547380877364
"GNB1",246.408646314007,-0.447940332666701,0.272396091073103,-1.64444478957845,0.100084359768052,0.668807514388274
"CFAP74",19.5779103960507,0.86626120581774,0.652404962978703,1.3277967749703,0.184245252654077,NA
"AL391845.2",6.69202070357573,1.03758250531025,1.0929428547462,0.949347443742788,0.342443931045252,NA
"GABRD",183.987910205135,0.157762961727785,0.289985163609912,0.544038045822261,0.586415292171733,0.976297396729918
"PRKCZ",127.535286682942,-0.544744707306862,0.315205779525377,-1.72821928622983,0.0839489172823653,0.616381957581744
"FAAP20",61.4409674249059,-0.299583066949117,0.413986934247437,-0.723653434845019,0.469278527447413,0.956896936122565
"SKI",106.709143748321,-0.29967909461372,0.34283272501888,-0.874126280089559,0.382049487151176,0.929725876089205
"RER1",56.1606124344256,-0.0542097670222051,0.430886497102014,-0.125809853376238,0.899882441886215,0.9899579545079
"PLCH2",125.258723533741,0.84339343041287,0.352403741451757,2.3932590129107,0.0166994475447847,0.301840360406715
"TPRG1L",38.3110106077029,-1.00716546394196,0.481303195510604,-2.09258004795393,0.0363866591768203,NA
"WRAP73",15.0420032886663,-0.354075404675878,0.740898351545572,-0.477900111313851,0.632721302166965,NA
"LRRC47",32.8340047449654,-0.570221125015834,0.50206418419768,-1.13575344141919,0.256059767548347,NA
"CEP104",50.4684957264955,0.204706696895546,0.42419777624275,0.48257371528134,0.629398446006916,0.977251748423548
"DFFB",41.8569614618502,-0.113461674809925,0.472336826957494,-0.240213483968159,0.810164760979139,NA
"AJAP1",138.475185632678,0.231956835558949,0.33082289077513,0.701151105401037,0.483208719773708,0.958562941501679
"NPHP4",44.353775591076,-0.0173432574635057,0.461989488491416,-0.0375403724447033,0.970054150263734,NA
"KCNAB2",137.553868870404,-0.198441154254061,0.353485936552804,-0.561383449053899,0.574536164490672,0.97312939926756
"CHD5",395.137916310663,-0.0349104335264823,0.259017269957101,-0.134780331567329,0.892785557062667,0.9899579545079
"RPL22",40.5722104436803,-0.802298864708895,0.472037362569463,-1.69965118935015,0.0891965556120324,NA
"GPR153",12.8595159083444,-0.0528803403952621,0.807742263156133,-0.065466848532402,0.947802300730357,NA
"ACOT7",83.4350071146435,-0.275422985043568,0.376741256383544,-0.731066694652552,0.464738416272242,0.956136063248691
"TNFRSF25",44.5431335853481,-0.232918004349313,0.47345377242243,-0.491955113500492,0.622751075513569,NA
"NOL9",30.8699399935127,0.0759744981375461,0.536684011657888,0.141562812543737,0.887425342330361,NA
"KLHL21",36.3406286996224,-0.728957304870958,0.478206774573996,-1.52435587203954,0.127419837098034,NA
"PHF13",13.4609439336265,-0.755849331568708,0.753908756809061,-1.00257401806534,0.316066437022483,NA
"THAP3",19.6998799583257,-0.32608434930505,0.639906192493064,-0.509581487303054,0.61034469627722,NA
"DNAJC11",83.3856443279913,0.0757242627611911,0.383784255477854,0.197309456238391,0.84358537979879,0.9899579545079
"CAMTA1",1122.85059150798,-0.0403017293611571,0.244293385809636,-0.164972658705389,0.868965502354184,0.9899579545079
"VAMP3",20.5512927935693,-0.271794288401247,0.599387795496,-0.453453157444312,0.650222466351866,NA
"PER3",157.156561841266,-0.116161917043781,0.298860881571594,-0.388682240489056,0.697511221424312,0.982580987359641
"PARK7",30.6905681954152,-0.416796968691933,0.529252739825476,-0.787519718517421,0.43097769001642,NA
"AL034417.4",7.42393127128444,0.530129412901228,1.14258043516626,0.463975573696996,0.642665246085987,NA
"ERRFI1",34.3951067411655,-0.119518298848847,0.488419647671737,-0.244704117491142,0.806685539660568,NA
"SLC45A1",21.2638811923765,0.114443186873972,0.599558504683042,0.190879098503444,0.84862031606082,NA
"RERE",866.867765277022,0.06855463610253,0.234057353164318,0.292896741656314,0.769601079476551,0.988483713198879
"ENO1",104.118982848145,-0.875655606513753,0.375597410956526,-2.3313675253611,0.0197339883909272,0.322843724518353
"MIR34AHG",51.8437865450445,0.498316499785105,0.476228801946709,1.04638043257381,0.295385423269256,0.876400490843234
"H6PD",21.3651658957595,0.206345570983366,0.636350595061212,0.324263971126666,0.745738194120023,NA
"SPSB1",8.21305776433224,1.1810028957059,1.22420169440771,0.964712678556856,0.334688743121215,NA
"SLC25A33",24.2309984729205,0.250824369609539,0.570883591032749,0.439361672938941,0.660399493210898,NA
"TMEM201",32.1265271124333,-0.327415325480306,0.551386353674351,-0.593803824302982,0.552643330910614,NA
"PIK3CD",39.0669342665832,-0.72826254994172,0.491262740181081,-1.48242984939847,0.138225956500736,NA
"CLSTN1",457.734492349019,-0.534533623632445,0.25273941652196,-2.11495947481544,0.0344334014172818,0.416064585046046
"CTNNBIP1",44.9274842483528,0.835767593119518,0.496589701426483,1.68301434910697,0.0923723136776589,NA
"LZIC",30.9402642227606,-0.534421511080058,0.532237186239202,-1.00410404401897,0.315328466397844,NA
"NMNAT1",17.763387023452,1.16216512985161,0.688657531604036,1.68758065731841,0.0914917548519039,NA
"UBE4B",219.423420875859,0.338207893664159,0.274038558646923,1.23416170094484,0.217142655634053,0.832427034528017
"KIF1B",605.833596222743,0.0783571289466483,0.243289277803662,0.322073909931549,0.747396702899028,0.987096981053196
"PGD",39.4477911125007,-0.244440523853672,0.472748062977546,-0.517062983429469,0.605112192695164,NA
"DFFA",32.860879793806,0.0179842247215428,0.532233269265679,0.0337901175293976,0.973044516516069,NA
"PEX14",96.5964044764922,0.187964205839662,0.339844165819168,0.553089400215504,0.58020219453985,0.975311743839074
"SRM",36.3667277380162,-0.641688605717162,0.496925041377035,-1.29131871466765,0.196593183797872,NA
"EXOSC10",40.1346011403677,0.292095504513028,0.4731353155612,0.617361450109816,0.536996343193763,NA
"MTOR",87.1850177748426,0.554296414901573,0.35247162206992,1.57259870070225,0.115811768730738,0.691012835922826
"DISP3",19.5970037409321,0.15871578049852,0.614929111555378,0.25810419041159,0.796326497645601,NA
