"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL669831.5",99.3503947534352,0.249454865739294,0.31329617756177,0.796226968616978,0.42590012511518,0.90621712123071
"NOC2L",81.2855739605723,-0.161099472821296,0.331833317391359,-0.485483115703232,0.627333686737304,0.954504920616359
"KLHL17",37.0422882288937,0.114672038103626,0.487301698520269,0.23532041536452,0.813960050803428,NA
"HES4",94.3111123006096,-0.538257943834051,0.330890847516677,-1.62669335786606,0.103802240147001,0.644414877626222
"AGRN",61.0451670446833,-0.323254362108563,0.361784342027348,-0.893500145133777,0.371589394440332,NA
"C1orf159",75.5671759042697,-0.0242485555825104,0.340449728185663,-0.0712250695917328,0.943218629432947,0.994130669287021
"SDF4",158.861709904086,0.138136710272334,0.273573063076482,0.50493534969748,0.613604244747591,0.951955403288811
"B3GALT6",21.855962857194,-0.171147963871338,0.566902660855118,-0.301900089184936,0.762728227770281,NA
"C1QTNF12",5.44618612594795,-0.455065876381645,1.0509060839116,-0.433022401666791,0.664998495403647,NA
"UBE2J2",94.6756868973516,-0.436322647376322,0.316788474250792,-1.37733119365605,0.168409875211153,0.725920741814034
"SCNN1D",58.2879947828422,-0.450708312474016,0.363640788700446,-1.23943277673752,0.215185269393587,NA
"ACAP3",370.849033291491,-0.189041805492705,0.254559049049283,-0.742624574528896,0.45770900608104,0.916539504366873
"PUSL1",11.0470928286313,-0.0471616395753651,0.742909329672062,-0.0634823627752573,0.949382403379475,NA
"INTS11",165.824550126988,-0.0271383117527132,0.261971157309487,-0.1035927467414,0.917492543955777,0.990223948281438
"CPTP",29.1953242055052,-0.453316888478402,0.514635442524636,-0.880850503133976,0.378398740671391,NA
"DVL1",95.5053549495517,-0.0119094616747953,0.308837481786711,-0.0385622289299075,0.969239416826686,0.997662303346045
"AURKAIP1",49.3617001501955,-0.695574772100469,0.449184557305435,-1.54852779506285,0.12149527503404,NA
"CCNL2",169.394967468949,0.325944480220487,0.254793971065767,1.27924722416746,0.200810010865404,0.766430736157623
"MRPL20",42.8726725532849,-0.341312348254528,0.423442133782221,-0.806042481426914,0.420218354798748,NA
"ANKRD65",10.8336836801336,0.0613533941000677,0.788769195908008,0.0777837096305967,0.938000105015612,NA
"VWA1",27.3105566070914,0.310894823305096,0.553339775085789,0.561851573487366,0.574217150273198,NA
"ATAD3B",43.9238880379603,-0.0807852689609106,0.47887806724635,-0.168696949153347,0.866035018610817,NA
"ATAD3A",33.818939940717,0.165370646913948,0.453929675683801,0.364308957471954,0.71562731171718,NA
"SSU72",120.154473380671,-0.56896865608808,0.298688929217604,-1.9048869925593,0.056794762432636,0.539946385334367
"FNDC10",49.642832811192,-0.445453314133811,0.49292319543959,-0.903697205274657,0.366155981443787,NA
"AL691432.2",20.2902229748544,-0.664974607741262,0.587484026570812,-1.13190244783806,0.257675449466386,NA
"MIB2",125.77829641476,0.0219595979025305,0.295711630055547,0.0742601767079825,0.940803363885746,0.994130669287021
"MMP23B",24.971142280265,-0.565172027697937,0.529401473336892,-1.06756791615176,0.285715462557194,NA
"CDK11B",62.6365818602955,0.112728223313255,0.380169252263971,0.296521148519876,0.766832118593176,NA
"SLC35E2B",42.9987053536497,-0.0162720013743732,0.42262766923095,-0.0385019783583576,0.969287454153196,NA
"CDK11A",14.4011321328474,0.682055081027629,0.670108481795243,1.01782785855863,0.308759770269743,NA
"SLC35E2A",84.6298115894186,0.0330860478354743,0.337428476185469,0.0980535140646767,0.921889799978724,0.990808216737227
"NADK",48.2583869180106,-0.629487032867981,0.407313247011669,-1.54546172383622,0.122234620352975,NA
"GNB1",429.391990968196,-0.339429758088174,0.210553571517649,-1.61208264310882,0.106943957182363,0.650418225170502
"GABRD",98.3493919828763,-0.781199494101704,0.330860361254471,-2.36111539968025,0.0182200599095184,0.330896532467864
"PRKCZ",182.93584350309,-0.379628070432837,0.253469303457429,-1.49772799015324,0.134203936536002,0.696369315136813
"FAAP20",75.5631915433531,-0.581922824048785,0.365113075663429,-1.5938153488242,0.110977398714519,0.655309657044741
"AL590822.1",3.97714819945109,-0.0624256307713557,1.24351522246765,-0.0502009381497377,0.959962263962966,NA
"SKI",179.739858245044,0.0209811699940145,0.250955844671415,0.0836050263004866,0.933370470520936,0.994130669287021
"MORN1",35.1782349157087,0.160673317423904,0.459867841676828,0.349390200536824,0.726796389185393,NA
"RER1",90.8314322475459,-0.0535844456600052,0.313882671698595,-0.170714889643413,0.864447954457547,0.983698181085508
"PEX10",15.3143305819834,0.203317911542342,0.689059543910453,0.295065808665099,0.767943608225074,NA
"PLCH2",109.695245243282,0.313136684117498,0.332640049940799,0.941367956664353,0.346516328609684,0.876072604969108
"PANK4",27.94830476998,-0.43113128621268,0.524840006341311,-0.821452787523042,0.411388406044591,NA
"HES5",4.51944808731062,1.64726425838869,1.21975943072515,1.35048290416528,0.176861133807329,NA
"TNFRSF14",9.60155265785659,-0.836606737819017,0.82684194111725,-1.01180975010602,0.31162902720598,NA
"FAM213B",38.9032826744494,-0.828880181669077,0.447157258660861,-1.85366594327775,0.0637869669482345,NA
"PRDM16",9.66295879280894,-0.276045263413435,0.798948679078073,-0.345510632462614,0.729710518332536,NA
"TPRG1L",58.8053059624034,-0.699014550332606,0.372164677270179,-1.87823991105192,0.0603483525848543,NA
"WRAP73",20.0943654548236,0.0386498660236165,0.580175853565661,0.0666175018937467,0.946886212200516,NA
"LRRC47",47.1737922956886,-0.490445141672938,0.405854632670107,-1.20842563369626,0.226883584744549,NA
"CEP104",68.9443900103965,0.169938695434746,0.357008289649013,0.476007701674991,0.634068891040272,0.955860820127592
"DFFB",50.6548224463219,-0.292911924746893,0.377197666625284,-0.77654755228875,0.437425755228692,NA
"C1orf174",20.1732613553584,-0.185765594588908,0.593164776968213,-0.313177049281979,0.754146154031441,NA
"AJAP1",156.766429324782,0.0918652807387798,0.258738275180307,0.355050989942487,0.722551391997086,0.960959293116774
"AL365255.1",19.8407324251237,-0.645684673567694,0.602276041635981,-1.07207431299077,0.283686655288114,NA
"NPHP4",69.8149544335346,0.187203345112632,0.33425076475797,0.56006856184214,0.575432673140805,0.944085023085215
"KCNAB2",114.26776422662,-0.297531913930654,0.31368740750597,-0.94849811248796,0.342875933256021,0.87529386758068
"CHD5",542.684496775025,-0.0863456839329509,0.225044342642403,-0.38368297962573,0.701213429175894,0.959320753556883
"RPL22",72.7219487232376,-0.297464729669651,0.338202977212173,-0.879544976574926,0.379105857807478,0.889647580446782
"RNF207",28.2757655084546,0.745126355946785,0.522602333411404,1.42579990235177,0.153926109121533,NA
"ICMT",28.3916258984701,-0.34532097416403,0.48471792790233,-0.712416344199284,0.476206997512162,NA
"GPR153",14.049029596562,-0.433334789385878,0.668085603232615,-0.648621654604042,0.516582955215143,NA
"ACOT7",126.079588189719,-0.337849896693772,0.337363474432485,-1.00144183439569,0.31661324746567,0.860755997782318
"TNFRSF25",216.622220473615,-0.0080107477603512,0.244364711414629,-0.0327819336678235,0.973848485313816,0.997662303346045
"PLEKHG5",44.2137273095942,0.269974607352316,0.457377166559903,0.590266911185994,0.555011719292902,NA
"NOL9",52.134590690894,-0.345702638041114,0.387738210462762,-0.891587748415409,0.372613939376911,NA
"ZBTB48",25.9729392767214,0.690827900722254,0.539002105115593,1.28167941120397,0.19995513027604,NA
"KLHL21",57.6923695004977,-0.76949537563244,0.377629873380856,-2.03769730594478,0.0415802137875337,NA
