"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.1",17.4328515284979,-0.312754185765346,0.682922783774257,-0.45796419916886,0.646978162220906,NA
"AL669831.5",39.158589618722,0.0995593932027667,0.52084182716859,0.191150917628857,0.848407356531868,0.999211251908953
"NOC2L",19.642801854654,-0.248662707486141,0.572656190213038,-0.434226874232573,0.664123699610103,NA
"KLHL17",10.3546469051882,-0.760818492361571,0.703950748875836,-1.08078369626931,0.279793342428175,NA
"HES4",4.87339886056021,-0.611839013047083,0.959576287491688,-0.637613727040314,0.523725157738028,NA
"ISG15",11.0246504971074,-0.960302125868674,0.691080917214138,-1.38956539234192,0.164660890879361,NA
"AGRN",13.0534841823042,0.0377137119944231,0.714107894527285,0.0528123443018205,0.957881425897267,NA
"C1orf159",15.3093863132454,-0.0534668493771449,0.632524631468609,-0.084529276358779,0.932635626963204,NA
"TNFRSF4",2.71796038784022,0.112380345830035,1.27924699451268,0.0878488253731212,0.929996830705915,NA
"SDF4",35.5087883724472,0.328240798150915,0.500616338568945,0.655673362737661,0.512034311308678,0.999211251908953
"B3GALT6",9.96750180091588,-0.737926862764178,0.720789971191605,-1.02377515262073,0.305941489088201,NA
"UBE2J2",31.6379611913106,-0.424149418534814,0.496017127806102,-0.855110428163719,0.392490017052137,0.999211251908953
"SCNN1D",18.6244709466169,-0.48698812822279,0.603915404222163,-0.806384677089048,0.42002107931177,NA
"ACAP3",88.6737575066431,-0.807288727504182,0.433631700357019,-1.86169213837347,0.0626464973609418,0.851873005762574
"INTS11",39.2980198468422,0.198934177152958,0.50636458155746,0.392867480069564,0.694417361483938,0.999211251908953
"CPTP",5.43779276631898,0.129429834138627,0.937864102817926,0.138004891913167,0.890236551356486,NA
"DVL1",16.3756363900819,-0.386937241583875,0.599870237623369,-0.64503490474354,0.518904566316723,NA
"AURKAIP1",20.7799328465906,-0.15251640985807,0.562509128929142,-0.271135883871641,0.786286523554229,0.999211251908953
"CCNL2",65.8640470214713,0.210968308718935,0.454881801577711,0.463787093674033,0.642800291040934,0.999211251908953
"MRPL20",25.2847753517507,-0.534552421512,0.565440658000638,-0.945373159762057,0.344468399977474,0.999211251908953
"ATAD3B",21.6231332421164,-0.502873682473092,0.573402574165847,-0.876999345886517,0.380486993360106,0.999211251908953
"ATAD3A",14.1318351245705,-1.27044253787007,0.678438257267529,-1.87259861050125,0.0611238333625528,NA
"SSU72",45.4327449938136,-0.506888889994973,0.475535263617674,-1.06593333612901,0.286453778173128,0.999211251908953
"FNDC10",5.0662667216091,-0.381990208810917,0.999946048636863,-0.382010818815325,0.702453339877654,NA
"AL691432.2",5.60426572068131,-0.515176338325448,0.900135121159902,-0.572332226812347,0.567096920845383,NA
"MIB2",34.3920169436231,-0.0940342682530756,0.494232615768013,-0.19026317821407,0.849102906097326,0.999211251908953
"CDK11B",30.5760119104716,0.241362656685889,0.525822555715351,0.459019214870935,0.646220367738638,0.999211251908953
