"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AL627309.1",10.8563682505394,0.0395261136267451,0.731500945677069,0.0540342618288213,0.956907867112517,0.999911437618272
"AL669831.5",65.3731242164967,0.192133554478202,0.355055505445669,0.541136671679077,0.588413383414374,0.999911437618272
"NOC2L",31.9228720146182,-0.481625664989852,0.484659702787502,-0.993739859575286,0.320349531906601,0.999911437618272
"KLHL17",14.2913663385543,-0.115856681919764,0.638958950935001,-0.181321009354715,0.856115616266338,0.999911437618272
"HES4",9.30693697487914,-0.424957437310648,0.777995809979462,-0.54622072748935,0.584914219860174,0.999911437618272
"ISG15",20.9791271835063,0.183402947282423,0.585383359260757,0.313303998791545,0.754049712370207,0.999911437618272
"AGRN",115.093383140442,-0.166025987840636,0.298114993972419,-0.556919280135223,0.577582581097534,0.999911437618272
"C1orf159",34.386997463287,0.15134717932269,0.444054320842267,0.340830326874469,0.733231318406335,0.999911437618272
"SDF4",70.8182809871454,0.0824482773670978,0.382804295004797,0.215379708229409,0.829471289256793,0.999911437618272
"B3GALT6",15.6546428493529,-0.00209792406849637,0.645546878557383,-0.0032498400010618,0.997407007402372,0.999911437618272
"UBE2J2",47.3594649526069,0.0495327496480809,0.430085118893953,0.115169643105681,0.908310659828061,0.999911437618272
"SCNN1D",85.6270159353275,-1.13381923453264,0.336309820933261,-3.37135332945759,0.000747998563100365,0.252987709134458
"ACAP3",536.560757340499,-0.459006639721553,0.265082046955498,-1.73156441559624,0.0833511465350153,0.999911437618272
"PUSL1",10.1057773083758,-0.16699854619887,0.767336917422165,-0.217633926385159,0.82771434858554,0.999911437618272
"INTS11",106.179734749972,-0.0771597157732364,0.324381666143755,-0.237867067798591,0.811984198564308,0.999911437618272
"CPTP",17.1646569485336,-0.438371654269812,0.569894705471089,-0.769215172664999,0.441765584678406,0.999911437618272
"DVL1",52.1086354632262,-0.318330044769893,0.405291083654067,-0.785435598286195,0.432198215926249,0.999911437618272
"AURKAIP1",31.3009462238135,-0.243876975644752,0.447854587659696,-0.544544998230683,0.586066492015644,0.999911437618272
"CCNL2",138.97330385196,-0.00894688045767616,0.291072943536048,-0.0307375888290631,0.975478813764643,0.999911437618272
"MRPL20",27.0124420497273,-0.356114182843206,0.512363084960869,-0.695042623670679,0.487028590142493,0.999911437618272
"AL391244.3",4.72732208029102,0.685379969366117,1.05046397456123,0.652454521015243,0.514108002413123,0.999911437618272
"ANKRD65",17.3332356803778,-0.11987411293393,0.740397763678965,-0.16190501756554,0.87138065150828,0.999911437618272
"VWA1",70.6364776241898,-0.231575940259121,0.357635456707173,-0.647519522788065,0.517295763480577,0.999911437618272
"ATAD3B",35.438340988421,-0.561225531236213,0.466999696150435,-1.20176851476029,0.229453227290553,0.999911437618272
"ATAD3A",30.3711922567988,-0.189638767970799,0.452225779386872,-0.419345328406336,0.67496377361122,0.999911437618272
"TMEM240",17.6910684918194,0.532179377974219,0.620371608269635,0.857839673641086,0.39098099921936,0.999911437618272
"SSU72",41.558722180388,-0.503387710577125,0.43657239945656,-1.15304520213311,0.248891831671426,0.999911437618272
"FNDC10",11.0055494341175,-0.528205348261971,0.726800402696441,-0.726754341772955,0.467376457491355,0.999911437618272
"AL691432.2",13.2904887531521,1.01644512412184,0.668626074275871,1.52019965004006,0.128460805351591,0.999911437618272
"MIB2",67.6405888545475,-0.081185757784068,0.348210463435543,-0.233151402123493,0.815643841414899,0.999911437618272
"CDK11B",31.6144089779805,0.547185997100425,0.462924922417137,1.18201887736639,0.237198210630843,0.999911437618272
"SLC35E2B",32.2903534959167,-0.31417005703542,0.462596215210368,-0.679145325243418,0.497045786062038,0.999911437618272
"CDK11A",10.1556324419418,0.165296091579327,0.746219290255892,0.221511415930623,0.82469424874083,0.999911437618272
"SLC35E2A",57.4641839328435,-0.124520386885397,0.386151261180089,-0.322465311921703,0.747100212472327,0.999911437618272
"NADK",30.5067898362427,-0.415300608026299,0.453520339634627,-0.915726532487782,0.359810345217535,0.999911437618272
"GNB1",195.924522947505,-0.0878280376991769,0.287799844882432,-0.305170552593784,0.760236258953913,0.999911437618272
"GABRD",13.0097918766695,-0.810181751487468,0.663144834283052,-1.22172670222695,0.221810995000296,0.999911437618272
"PRKCZ",62.7980446536966,-0.470679181640205,0.383860067762362,-1.22617386169897,0.220133255280118,0.999911437618272
"FAAP20",43.4138434142996,-0.164851846612455,0.427640130304582,-0.385491994156492,0.699872936784817,0.999911437618272
"SKI",71.1181347937276,-0.0531618061141697,0.375276092474968,-0.141660519228828,0.887348161455113,0.999911437618272
"MORN1",11.197963724027,0.49671203821364,0.789611118042282,0.629059073338735,0.529310382919921,0.999911437618272
"RER1",59.1373518612211,-0.207014194745803,0.381915870356946,-0.542041352071397,0.587790019164903,0.999911437618272
"PEX10",16.515044042717,0.544606144770409,0.627275829394059,0.868208400914303,0.385280256073311,0.999911437618272
"PANK4",15.5237777465829,-0.436521630761882,0.617410861492285,-0.707019681686207,0.479554246883934,0.999911437618272
"TNFRSF14",23.1892443761831,0.106861776588319,0.536595734716275,0.199147644445631,0.842147252687991,0.999911437618272
"FAM213B",14.5932318892608,-1.19306838103392,0.688757507860352,-1.73220381254388,0.0832372804742656,0.999911437618272
"LINC00982",18.3746507790599,0.67053431743805,0.581580584454275,1.15295168951908,0.248930214196355,0.999911437618272
"PRDM16",21.6507784682975,-0.283994826782535,0.564142875585219,-0.503409400478434,0.614676463753391,0.999911437618272
"TPRG1L",18.1287560363993,0.379168829878854,0.568814436446272,0.666594948341592,0.505030896741024,0.999911437618272
"WRAP73",25.6945864670683,-0.0270662816710363,0.498187490154604,-0.0543295088815593,0.956672639577893,0.999911437618272
"LRRC47",29.4588066523751,-0.196958639588621,0.476184034411736,-0.413618738460936,0.679153347813812,0.999911437618272
"CEP104",40.3597989750624,0.119761828130264,0.41276635865044,0.290144353144069,0.771705805552267,0.999911437618272
"DFFB",21.0580671283372,-0.149216068489426,0.582201269608207,-0.256296363953038,0.797722004660728,0.999911437618272
"C1orf174",12.8493928525546,0.266365542652785,0.663633663186048,0.401374368765423,0.688144517339418,0.999911437618272
"AJAP1",73.9239376698207,1.05236349411548,0.452753587281333,2.32436257531308,0.0201060696108861,0.999911437618272
"AL365255.1",3.27239240544519,0.77566148614259,1.25349761090704,0.618797737940097,0.536049612598514,0.999911437618272
"NPHP4",40.680082287177,0.12640734944815,0.439968021022972,0.287310312131867,0.773874727437351,0.999911437618272
"KCNAB2",28.9901611437088,0.0537398012171793,0.500281840849242,0.10741905228052,0.914456540422991,0.999911437618272
"CHD5",76.2540392226789,-0.316356122542612,0.341491196266861,-0.926396129683508,0.35424015472148,0.999911437618272
"RPL22",18.3718865346713,-0.643747411091086,0.567997566106053,-1.13336297460628,0.257061855944151,0.999911437618272
"ICMT",8.65068783083942,0.0104517203441102,0.823794297913553,0.0126872938676336,0.989877275676854,0.999911437618272
"GPR153",13.5239844472837,-0.242317311718912,0.709013964191689,-0.341766627960799,0.732526525938282,0.999911437618272
"ACOT7",53.2433478620821,-0.30105777527699,0.370205603689809,-0.813217769467485,0.416093213208167,0.999911437618272
"TNFRSF25",34.4356316870899,-0.524004678046734,0.445095852234311,-1.17728501718521,0.239081765031072,0.999911437618272
"PLEKHG5",8.55065159754623,1.73533897639669,0.885821096811716,1.95901743889663,0.0501107445304852,0.999911437618272
"NOL9",48.1086316000979,0.378604841370356,0.401795217747523,0.942283095087161,0.346047720740729,0.999911437618272
"ZBTB48",20.1069335039118,0.349057935917498,0.550994539970639,0.633505253856233,0.526403751032551,0.999911437618272
"KLHL21",27.8442552693143,0.130635263214676,0.498054509660507,0.262291096016222,0.793097026145686,0.999911437618272
"PHF13",13.7299862339103,-0.655086459714503,0.637993395590802,-1.02679191390041,0.304518457756441,0.999911437618272
"THAP3",18.9877492213423,0.14888739910373,0.591071031382862,0.251894258386162,0.801122797671393,0.999911437618272
"DNAJC11",60.4306015400327,-0.313972855183934,0.378324499214617,-0.829903577050193,0.406593302309323,0.999911437618272
"CAMTA1",899.287532730769,-0.0925641665742349,0.233639067553669,-0.396184454695155,0.691968958421123,0.999911437618272
"VAMP3",31.9833424488653,-0.0952064522888953,0.464301594908947,-0.205053037363712,0.837530687480207,0.999911437618272
"PER3",202.714095941087,-0.453740502211251,0.294486551974676,-1.54078513660029,0.123369088066889,0.999911437618272
"Z98884.1",6.57509155735768,-0.0764914575920316,0.896002398919701,-0.0853697017823349,0.931967479681694,0.999911437618272
"PARK7",35.2852092463344,-0.157536039373171,0.450378541157109,-0.349785846742233,0.726499421556355,0.999911437618272
"ERRFI1",36.081132638742,-0.327639845907067,0.430918318138154,-0.760329352724395,0.44705774063346,0.999911437618272
"SLC45A1",22.2447097097367,0.0344444781553865,0.59993902909274,0.0574132978270731,0.954215970341514,0.999911437618272
"RERE",1187.78844863909,-0.171186526366629,0.2411348770926,-0.709920225687179,0.477753607273234,0.999911437618272
"ENO1",187.59354432081,-0.743483296764748,0.302992173383885,-2.45380363611825,0.0141354146471074,0.823876443856244
"SLC2A5",6.95950355281418,-0.243410710409655,0.854109553313361,-0.28498769211208,0.775653571379546,0.999911437618272
"GPR157",5.5148731024323,0.99166047440255,1.04844900266413,0.945835679067575,0.344232404395325,0.999911437618272
"MIR34AHG",54.0983830667699,0.266473207335681,0.39371312430237,0.676820737962067,0.498519698724587,0.999911437618272
"LINC01759",5.08981816653668,-0.484490750046233,1.01485096984266,-0.477400883916334,0.633076684903147,0.999911437618272
"H6PD",37.8205272166588,0.184187154647561,0.421681546368068,0.436792067933635,0.662262152040902,0.999911437618272
"SPSB1",24.1372349332458,0.282269668908508,0.587313444295188,0.48061162510463,0.630792551653165,0.999911437618272
"SLC25A33",21.0152116142801,1.17769512113515,0.560816285528602,2.09996598088286,0.0357318337987373,0.999911437618272
"TMEM201",43.9688711245757,-0.181135835313587,0.512586818054456,-0.353375913959503,0.723806640404967,0.999911437618272
"PIK3CD",25.1496312335099,-0.282803022316119,0.512140596840061,-0.552198017616707,0.58081269242473,0.999911437618272
"CLSTN1",380.519850861323,-0.296129388676339,0.265915039833112,-1.11362406903419,0.26544049626048,0.999911437618272
"CTNNBIP1",40.9464724376056,0.212895211523921,0.429167712401976,0.496065303543885,0.619848337776623,0.999911437618272
"LZIC",37.0420456802411,-0.124747741109548,0.430663762665659,-0.289663890775027,0.772073383481193,0.999911437618272
"NMNAT1",16.4610937732368,0.135773831607066,0.606427488402777,0.223891288247289,0.822841894644368,0.999911437618272
"RBP7",4.31096839463678,0.370739368876188,1.08476048282457,0.341770717818585,0.732523447827788,0.999911437618272
"UBE4B",269.259454491503,0.228833265023077,0.284095725092628,0.805479438131169,0.420543067179309,0.999911437618272
"KIF1B",663.726687022181,0.119757828498833,0.232732840951442,0.514572107697599,0.606852060151238,0.999911437618272
"PGD",36.4206237618594,-0.270918540109692,0.484300444123725,-0.55940179984737,0.575887533309926,0.999911437618272
"DFFA",21.6987032185019,-0.482607611509076,0.553846400100892,-0.871374466677334,0.383549722630534,0.999911437618272
"PEX14",67.2578747087284,0.149981314273935,0.355432368144895,0.421968643589584,0.673047904973622,0.999911437618272
"CASZ1",6.31883049314167,-0.150829989683075,0.975746898786984,-0.154579010059454,0.877153218621557,0.999911437618272
"AL109811.4",5.25748954395501,0.597311123362784,1.00691032630195,0.59321183600978,0.553039392498989,0.999911437618272
"SRM",47.3285494863799,-0.231937812771823,0.391270177939819,-0.592781729476703,0.55332723658903,0.999911437618272
"EXOSC10",76.4678012483735,0.00262560816162724,0.336386169218299,0.00780533922583287,0.993772303575267,0.999911437618272
"AL109811.1",9.86102246599989,0.490557467416487,0.758079726811275,0.647105377002929,0.517563745527496,0.999911437618272
"MTOR",96.1781386955572,0.197529853904152,0.313966466398508,0.629143157133965,0.529255338615028,0.999911437618272
"UBIAD1",16.8993342659577,0.278900725523798,0.594072232698206,0.469472751246197,0.638731757440207,0.999911437618272
"DISP3",22.3358508344041,0.567526810683465,0.523657017485413,1.08377581457557,0.27846421112017,0.999911437618272
"FBXO2",23.8472695000604,0.273157856446798,0.589332073200938,0.463504141159583,0.643003047207176,0.999911437618272
"FBXO44",104.756960861348,-0.313750647154192,0.305609365334311,-1.02663950370426,0.304590245346373,0.999911437618272
"FBXO6",6.80112360735181,-0.223637191966104,0.884149571788336,-0.252940451595494,0.800314229750328,0.999911437618272
"MAD2L2",23.4687380129919,-0.118643775476233,0.504700714540229,-0.235077486633469,0.814148592179446,0.999911437618272
"AGTRAP",15.4281274165064,-0.752526459073415,0.620691972350063,-1.21239921345237,0.225359601860952,0.999911437618272
"MTHFR",32.5217215184914,0.133164094751747,0.478600366728885,0.278236507969875,0.780830811553763,0.999911437618272
"CLCN6",20.9339310332151,0.119407020510496,0.56081928144641,0.212915326667324,0.831393007520265,0.999911437618272
"KIAA2013",32.7733298608594,-0.374856496414529,0.442393479535818,-0.847337299835088,0.396807141831325,0.999911437618272
"PLOD1",31.9366355475948,-0.973078005407428,0.575161697925005,-1.69183380763701,0.09067766558979,0.999911437618272
"MFN2",33.0718926115759,0.308227175425882,0.44697277512895,0.68958825364019,0.490453156307126,0.999911437618272
"MIIP",33.2577070522728,-0.677853967300045,0.496027309593988,-1.36656582044825,0.171761436700314,0.999911437618272
"VPS13D",248.194001843982,0.136500989301241,0.261791919568622,0.521410246451327,0.602081015074308,0.999911437618272
"DHRS3",5.41664327615341,1.35216552070702,1.05827674976842,1.27770502470446,0.2013534528784,0.999911437618272
"PDPN",52.6319308944157,-1.5142865531341,0.442568694114638,-3.42158533414445,0.000622571847322244,0.239811216856043
"PRDM2",190.024475079825,0.124601128842038,0.270749267080243,0.460208554526241,0.645366531292881,0.999911437618272
"KAZN",2231.50097406287,0.423921403086431,0.250497070779589,1.6923207994693,0.090584824138205,0.999911437618272
"KAZN-AS1",4.40102111626421,-1.17804721549259,1.07563390931475,-1.09521204685996,0.273423749144273,0.999911437618272
"TMEM51-AS1",11.6539080841598,-0.504074935462633,0.676781431370773,-0.744812005911075,0.456385375923527,0.999911437618272
"TMEM51",23.212268879403,-0.0426772895403439,0.534308615504405,-0.079873856235792,0.936337583080538,0.999911437618272
"EFHD2",12.7035951150259,-0.133783252107537,0.675604238104742,-0.19802014931528,0.843029299003739,0.999911437618272
"CASP9",16.5810331978683,-0.333132433104061,0.591102454034808,-0.563578159471563,0.57304125406034,0.999911437618272
"DNAJC16",54.7236373127428,0.366785750454919,0.415794953350267,0.882131318573118,0.377705797678087,0.999911437618272
"DDI2",40.7413452270814,-0.234010073853134,0.417965633473099,-0.559878743878101,0.575562148285424,0.999911437618272
"PLEKHM2",68.0153219703656,-0.313610513791558,0.35734111170028,-0.877622259301077,0.380148745463307,0.999911437618272
"SLC25A34",13.2770652157741,-0.194730122502421,0.742195713996836,-0.262370313961758,0.793035957241352,0.999911437618272
"FBLIM1",9.87018356082841,0.649406738067722,0.880936911733989,0.737177349952864,0.46101450558507,0.999911437618272
"UQCRHL",7.23730301616469,-0.084910845876097,0.843161049189059,-0.100705370531244,0.919784347983606,0.999911437618272
"SPEN",150.604735158722,0.083645726378184,0.303498872996901,0.275604734713589,0.782851672691853,0.999911437618272
"ZBTB17",35.3732261929684,0.257282451172211,0.443304610425955,0.580373957593172,0.561662463149072,0.999911437618272
"FBXO42",151.073587017803,-0.199495030996402,0.297627980358523,-0.670283186265248,0.502677283358107,0.999911437618272
"SZRD1",32.8398094693256,-0.328447604537744,0.472150004847965,-0.695642488965994,0.486652750290729,0.999911437618272
"SPATA21",6.59337217524146,-0.533059606194399,0.910779130456936,-0.585278678846061,0.558360348753868,0.999911437618272
"NECAP2",20.7652835329834,0.189201708774911,0.558658136406533,0.338671714318737,0.73485705138458,0.999911437618272
"LINC01772",6.06966630863699,1.29583577567249,0.981234691399545,1.32061757195338,0.186628910750335,0.999911437618272
